PRCP       007057 18941101 20101130 missing_value=99999.9 MOUNT MAGNET                              
19161001 19161031    28.7
19161101 19161130    18.0
19161201 19161231     0.0
19170101 19170131    11.7
19170201 19170228     0.0
19170301 19170331    87.9
19170401 19170430    10.4
19170501 19170531    32.0
19170601 19170630    47.8
19170701 19170731    29.3
19170801 19170831    17.8
19170901 19170930    32.3
19171001 19171031    25.7
19171101 19171130    30.5
19171201 19171231    36.1
19180101 19180131    33.8
19180201 19180228   226.9
19180301 19180331    91.5
19180401 19180430    33.8
19180501 19180531    10.1
19180601 19180630    36.4
19180701 19180731    33.7
19180801 19180831    21.1
19180901 19180930    22.8
19181001 19181031     5.8
19181101 19181130     9.9
19181201 19181231     0.8
19190101 19190131     2.0
19190201 19190228    22.6
19190301 19190331     7.9
19190401 19190430     9.2
19190501 19190531    20.3
19190601 19190630    18.2
19190701 19190731    25.0
19190801 19190831    51.6
19190901 19190930     5.1
19191001 19191031     9.4
19191101 19191130    15.5
19191201 19191231    12.0
19200101 19200131     0.0
19200201 19200229    12.0
19200301 19200331     5.8
19200401 19200430    12.2
19200501 19200531    21.5
19200601 19200630    32.4
19200701 19200731    18.0
19200801 19200831    48.8
19200901 19200930     1.5
19201001 19201031     0.0
19201101 19201130    28.2
19201201 19201231     0.0
19210101 19210131     6.1
19210201 19210228    18.9
19210301 19210331     2.3
19210401 19210430     0.0
19210501 19210531   153.1
19210601 19210630    21.5
19210701 19210731     7.7
19210801 19210831    14.8
19210901 19210930    10.3
19211001 19211031    10.2
19211101 19211130     0.0
19211201 19211231    12.5
19220101 19220131     0.0
19220201 19220228     5.1
19220301 19220331    37.4
19220401 19220430     9.2
19220501 19220531    14.0
19220601 19220630    23.1
19220701 19220731    26.3
19220801 19220831    36.5
19220901 19220930     4.8
19221001 19221031     0.0
19221101 19221130     4.6
19221201 19221231     1.6
19230101 19230131     8.1
19230201 19230228     5.8
19230301 19230331     0.8
19230401 19230430   100.0
19230501 19230531    14.7
19230601 19230630    59.2
19230701 19230731    62.8
19230801 19230831     3.6
19230901 19230930     3.1
19231001 19231031     2.0
19231101 19231130     0.0
19231201 19231231     7.1
19240101 19240131     0.0
19240201 19240229     3.8
19240301 19240331    43.9
19240401 19240430     6.1
19240501 19240531    17.8
19240601 19240630    20.3
19240701 19240731    12.6
19240801 19240831    15.1
19240901 19240930     4.8
19241001 19241031     4.9
19241101 19241130     2.5
19241201 19241231     1.8
19250101 19250131    59.5
19250201 19250228    57.7
19250301 19250331    65.9
19250401 19250430     0.0
19250501 19250531    16.7
19250601 19250630    14.2
19250701 19250731    16.8
19250801 19250831     8.9
19250901 19250930    23.1
19251001 19251031     5.6
19251101 19251130     5.3
19251201 19251231    27.0
19260101 19260131     9.9
19260201 19260228    56.1
19260301 19260331   131.7
19260401 19260430    34.3
19260501 19260531    34.0
19260601 19260630    17.9
19260701 19260731    27.3
19260801 19260831     5.5
19260901 19260930     7.1
19261001 19261031     5.6
19261101 19261130    32.8
19261201 19261231     4.6
19270101 19270131     0.3
19270201 19270228     0.3
19270301 19270331    66.0
19270401 19270430     1.0
19270501 19270531     8.9
19270601 19270630    99.1
19270701 19270731    40.9
19270801 19270831     8.7
19270901 19270930    25.1
19271001 19271031     0.0
19271101 19271130     0.0
19271201 19271231     8.4
19280101 19280131    17.8
19280201 19280229    18.8
19280301 19280331    23.6
19280401 19280430     4.1
19280501 19280531    30.1
19280601 19280630    16.9
19280701 19280731    41.3
19280801 19280831     4.0
19280901 19280930     3.1
19281001 19281031     1.8
19281101 19281130     0.8
19281201 19281231     9.7
19290101 19290131    19.1
19290201 19290228    65.3
19290301 19290331    10.9
19290401 19290430     0.0
19290501 19290531    61.5
19290601 19290630    42.3
19290701 19290731     5.1
19290801 19290831    19.1
19290901 19290930     0.5
19291001 19291031     4.1
19291101 19291130     8.4
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    58.1
19300401 19300430    30.9
19300501 19300531    21.3
19300601 19300630    21.1
19300701 19300731    12.2
19300801 19300831    28.6
19300901 19300930     6.4
19301001 19301031     4.6
19301101 19301130     0.0
19301201 19301231     8.5
19310101 19310131     2.1
19310201 19310228    36.3
19310301 19310331    12.9
19310401 19310430    27.6
19310501 19310531    33.1
19310601 19310630    31.6
19310701 19310731    29.2
19310801 19310831    37.5
19310901 19310930     8.7
19311001 19311031     3.8
19311101 19311130    21.1
19311201 19311231     2.6
19320101 19320131    25.5
19320201 19320229     0.0
19320301 19320331    17.0
19320401 19320430    22.1
19320501 19320531    28.4
19320601 19320630     5.4
19320701 19320731    30.0
19320801 19320831    38.8
19320901 19320930     4.3
19321001 19321031     2.3
19321101 19321130     0.8
19321201 19321231    59.7
19330101 19330131     0.8
19330201 19330228     0.3
19330301 19330331    43.5
19330401 19330430     0.0
19330501 19330531    95.4
19330601 19330630    20.2
19330701 19330731    17.4
19330801 19330831    54.6
19330901 19330930     2.6
19331001 19331031     9.1
19331101 19331130     7.1
19331201 19331231    65.8
19340101 19340131    83.5
19340201 19340228     0.0
19340301 19340331    42.6
19340401 19340430    53.7
19340501 19340531     3.8
19340601 19340630    26.1
19340701 19340731    21.6
19340801 19340831     8.4
19340901 19340930    13.3
19341001 19341031     0.0
19341101 19341130     5.6
19341201 19341231    12.5
19350101 19350131    17.3
19350201 19350228    34.4
19350301 19350331    34.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     3.3
19350701 19350731    14.5
19350801 19350831    16.6
19350901 19350930     2.3
19351001 19351031     0.5
19351101 19351130     0.0
19351201 19351231     2.1
19360101 19360131    32.3
19360201 19360229     4.1
19360301 19360331    25.1
