PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
19071001 19071031    19.7
19071101 19071130    46.5
19071201 19071231    33.8
19080101 19080131     4.6
19080201 19080229    11.4
19080301 19080331    40.1
19080401 19080430    17.5
19080501 19080531    49.3
19080601 19080630    42.6
19080701 19080731    27.1
19080801 19080831    30.2
19080901 19080930    74.4
19081001 19081031    55.0
19081101 19081130     9.7
19081201 19081231     3.3
19090101 19090131    14.5
19090201 19090228     6.2
19090301 19090331    13.0
19090401 19090430    49.2
19090501 19090531    99.3
19090601 19090630    35.6
19090701 19090731    60.4
19090801 19090831   117.1
19090901 19090930    42.1
19091001 19091031    36.0
19091101 19091130    30.2
19091201 19091231    11.5
19100101 19100131     1.8
19100201 19100228     0.0
19100301 19100331   169.3
19100401 19100430     0.3
19100501 19100531    83.8
19100601 19100630    55.0
19100701 19100731    70.6
19100801 19100831    22.8
19100901 19100930    45.9
19101001 19101031    49.9
19101101 19101130    22.4
19101201 19101231    24.6
19110101 19110131     4.3
19110201 19110228    50.8
19110301 19110331    19.3
19110401 19110430     3.1
19110501 19110531    39.2
19110601 19110630    31.9
19110701 19110731    21.2
19110801 19110831     9.8
19110901 19110930    57.3
19111001 19111031    11.6
19111101 19111130     8.4
19111201 19111231    11.5
19120101 19120131     2.3
19120201 19120229     2.1
19120301 19120331    11.3
19120401 19120430     5.1
19120501 19120531     5.7
19120601 19120630    61.1
19120701 19120731    26.6
19120801 19120831    40.0
19120901 19120930    56.9
19121001 19121031    11.9
19121101 19121130    26.6
19121201 19121231    26.3
19130101 19130131     0.3
19130201 19130228    64.4
19130301 19130331    44.0
19130401 19130430    65.1
19130501 19130531    34.6
19130601 19130630     9.7
19130701 19130731    12.3
19130801 19130831    27.7
19130901 19130930    52.9
19131001 19131031    94.3
19131101 19131130    10.1
19131201 19131231    22.3
19140101 19140131    10.2
19140201 19140228    15.0
19140301 19140331    22.4
19140401 19140430    25.2
19140501 19140531    14.6
19140601 19140630     7.5
19140701 19140731    16.1
19140801 19140831     2.5
19140901 19140930    13.8
19141001 19141031     2.8
19141101 19141130    41.8
19141201 19141231    11.5
19150101 19150131     1.8
19150201 19150228     3.3
19150301 19150331     2.3
19150401 19150430    27.2
19150501 19150531    39.8
19150601 19150630    52.8
19150701 19150731    22.5
19150801 19150831    41.2
19150901 19150930    45.3
19151001 19151031     6.4
19151101 19151130     3.6
19151201 19151231     3.8
19160101 19160131    10.0
19160201 19160229     3.0
19160301 19160331     6.4
19160401 19160430    19.7
19160501 19160531    18.8
19160601 19160630    75.3
19160701 19160731    40.7
19160801 19160831    38.4
19160901 19160930    60.6
19161001 19161031    48.3
19161101 19161130    45.9
19161201 19161231    36.2
19170101 19170131     7.1
19170201 19170228    27.7
19170301 19170331    30.6
19170401 19170430    21.6
19170501 19170531    46.4
19170601 19170630    28.9
19170701 19170731    34.2
19170801 19170831    42.8
19170901 19170930    58.4
19171001 19171031    58.5
19171101 19171130    20.9
19171201 19171231    29.1
19180101 19180131     4.6
19180201 19180228     8.9
19180301 19180331    11.7
19180401 19180430    19.4
19180501 19180531    39.5
19180601 19180630    12.8
19180701 19180731    36.1
19180801 19180831    31.7
19180901 19180930    24.1
19181001 19181031    28.5
19181101 19181130     2.5
19181201 19181231     4.8
19190101 19190131     5.4
19190201 19190228    58.5
19190301 19190331     4.4
19190401 19190430     4.3
19190501 19190531    32.3
19190601 19190630    16.1
19190701 19190731    23.7
19190801 19190831    16.7
19190901 19190930    42.0
19191001 19191031    19.6
19191101 19191130    10.5
19191201 19191231    34.8
19200101 19200131     2.8
19200201 19200229     0.0
19200301 19200331    13.4
19200401 19200430    13.5
19200501 19200531    14.8
19200601 19200630    52.2
19200701 19200731    20.2
19200801 19200831    57.7
19200901 19200930    41.9
19201001 19201031    33.8
19201101 19201130    25.3
19201201 19201231    33.1
19210101 19210131    40.6
19210201 19210228    39.7
19210301 19210331    78.3
19210401 19210430     5.6
19210501 19210531    65.6
19210601 19210630    29.0
19210701 19210731    26.4
19210801 19210831    29.2
19210901 19210930    44.0
19211001 19211031    16.5
19211101 19211130    56.6
19211201 19211231     6.4
19220101 19220131    14.2
19220201 19220228     1.3
19220301 19220331     2.3
19220401 19220430    23.4
19220501 19220531    63.9
19220601 19220630    46.3
19220701 19220731    69.7
19220801 19220831    39.0
19220901 19220930    19.7
19221001 19221031    45.3
19221101 19221130     1.6
19221201 19221231    41.6
19230101 19230131     4.6
19230201 19230228     1.3
19230301 19230331     0.8
19230401 19230430     2.0
19230501 19230531    59.1
19230601 19230630    88.3
19230701 19230731    31.6
19230801 19230831    35.8
19230901 19230930    73.2
19231001 19231031    37.4
19231101 19231130     8.4
19231201 19231231    46.3
19240101 19240131    13.5
19240201 19240229    35.0
19240301 19240331    32.3
19240401 19240430    18.5
19240501 19240531    49.3
19240601 19240630    46.8
19240701 19240731     1.0
19240801 19240831    39.4
19240901 19240930    63.1
19241001 19241031    72.0
19241101 19241130    26.9
19241201 19241231     8.9
19250101 19250131    13.5
19250201 19250228    32.8
19250301 19250331    11.9
19250401 19250430    33.4
19250501 19250531    79.2
19250601 19250630    17.8
19250701 19250731    38.5
19250801 19250831    19.4
19250901 19250930    70.6
19251001 19251031     5.8
19251101 19251130    26.3
19251201 19251231     1.3
19260101 19260131     0.0
19260201 19260228     0.8
19260301 19260331     1.3
19260401 19260430    23.3
19260501 19260531    34.6
19260601 19260630    30.4
19260701 19260731    19.5
19260801 19260831    53.4
19260901 19260930    51.5
19261001 19261031    29.9
