PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
19810501 19810531    30.6
19810601 19810630    56.6
19810701 19810731    43.0
19810801 19810831    51.8
19810901 19810930     8.2
19811001 19811031    20.8
19811101 19811130    49.4
19811201 19811231     5.2
19820101 19820131    16.8
19820201 19820228     4.4
19820301 19820331    18.4
19820401 19820430    39.4
19820501 19820531    26.6
19820601 19820630    20.6
19820701 19820731     3.8
19820801 19820831     9.2
19820901 19820930    31.0
19821001 19821031    17.8
19821101 19821130     0.0
19821201 19821231     8.2
19830101 19830131     6.2
19830201 19830228     0.0
19830301 19830331    95.2
19830401 19830430    57.2
19830501 19830531    53.0
19830601 19830630    11.8
19830701 19830731    54.4
19830801 19830831    72.2
19830901 19830930    38.0
19831001 19831031    54.2
19831101 19831130    22.0
19831201 19831231    26.0
19840101 19840131    49.2
19840201 19840229     4.4
19840301 19840331    28.6
19840401 19840430    23.6
19840501 19840531    17.6
19840601 19840630    11.2
19840701 19840731    69.8
19840801 19840831    73.2
19840901 19840930    34.8
19841001 19841031    14.0
19841101 19841130    28.8
19841201 19841231     4.8
19850101 19850131     0.4
19850201 19850228     2.6
19850301 19850331    72.0
19850401 19850430    41.2
19850501 19850531    30.0
19850601 19850630    41.0
19850701 19850731    12.6
19850801 19850831    64.6
19850901 19850930    61.8
19851001 19851031    26.0
19851101 19851130    13.6
19851201 19851231    16.0
19860101 19860131     3.2
19860201 19860228     1.0
19860301 19860331     0.8
19860401 19860430    28.4
19860501 19860531    43.6
19860601 19860630    25.6
19860701 19860731    58.0
19860801 19860831    81.6
19860901 19860930    37.8
19861001 19861031    33.6
19861101 19861130    23.8
19861201 19861231    24.6
19870101 19870131    36.8
19870201 19870228    18.4
19870301 19870331    15.0
19870401 19870430    22.0
19870501 19870531    53.6
19870601 19870630    51.2
19870701 19870731    20.4
19870801 19870831    23.2
19870901 19870930    13.6
19871001 19871031    43.2
19871101 19871130    11.8
19871201 19871231    74.4
19880101 19880131    13.0
19880201 19880229     2.0
19880301 19880331    15.0
19880401 19880430    15.2
19880501 19880531    55.2
19880601 19880630    57.6
19880701 19880731    33.7
19880801 19880831    27.4
19880901 19880930    33.2
19881001 19881031     4.6
19881101 19881130    32.0
19881201 19881231    40.4
19890101 19890131     4.4
19890201 19890228     3.2
19890301 19890331     6.4
19890401 19890430    15.0
19890501 19890531    85.8
19890601 19890630    71.2
19890701 19890731    47.8
19890801 19890831    44.8
19890901 19890930    29.4
19891001 19891031    19.0
19891101 19891130    25.4
19891201 19891231    13.2
19900101 19900131    21.2
19900201 19900228    16.4
19900301 19900331     1.4
19900401 19900430    23.0
19900501 19900531     7.4
19900601 19900630    72.2
19900701 19900731    54.2
19900801 19900831    51.8
19900901 19900930    45.6
19901001 19901031    19.6
19901101 19901130     4.4
19901201 19901231    24.8
19910101 19910131     5.4
19910201 19910228     0.0
19910301 19910331    12.8
19910401 19910430    28.4
19910501 19910531     7.8
19910601 19910630    73.4
19910701 19910731    73.8
19910801 19910831    50.8
19910901 19910930    31.8
19911001 19911031     1.8
19911101 19911130    28.0
19911201 19911231     9.0
19920101 19920131     1.2
19920201 19920229    25.0
19920301 19920331    52.2
19920401 19920430    36.8
19920501 19920531    40.8
19920601 19920630    25.0
19920701 19920731    33.0
19920801 19920831    64.6
19920901 19920930    78.8
19921001 19921031    60.6
19921101 19921130    73.5
19921201 19921231   130.4
19930101 19930131    22.8
19930201 19930228    15.4
19930301 19930331     7.0
19930401 19930430     0.0
19930501 19930531    17.5
19930601 19930630    31.2
19930701 19930731    54.8
19930801 19930831    28.4
19930901 19930930    57.0
19931001 19931031    44.0
19931101 19931130    22.2
19931201 19931231    48.8
19940101 19940131     4.0
19940201 19940228    15.0
19940301 19940331     0.0
19940401 19940430    14.8
19940501 19940531    13.0
19940601 19940630    78.6
19940701 19940731    18.6
19940801 19940831    11.2
19940901 19940930    23.4
19941001 19941031    17.4
19941101 19941130    40.4
19941201 19941231    22.1
19950101 19950131    19.0
19950201 19950228    22.6
19950301 19950331    14.4
19950401 19950430    39.4
19950501 19950531    28.8
19950601 19950630    32.6
19950701 19950731    61.8
19950801 19950831    12.4
19950901 19950930    11.2
19951001 19951031    61.2
19951101 19951130     7.6
19951201 19951231     9.6
19960101 19960131    10.4
19960201 19960229    11.2
19960301 19960331     6.0
19960401 19960430    19.4
19960501 19960531    15.0
19960601 19960630    59.6
19960701 19960731    74.8
19960801 19960831    65.2
19960901 19960930    62.6
19961001 19961031    20.0
19961101 19961130     5.0
19961201 19961231    15.2
19970101 19970131    27.4
19970201 19970228    14.4
19970301 19970331     6.4
19970401 19970430     4.4
19970501 19970531    41.4
19970601 19970630    17.6
19970701 19970731     9.6
19970801 19970831    48.1
19970901 19970930    54.8
19971001 19971031    76.6
19971101 19971130    51.2
19971201 19971231    26.2
19980101 19980131     9.8
19980201 19980228    13.8
19980301 19980331     5.4
19980401 19980430    74.0
19980501 19980531    21.6
19980601 19980630    48.2
19980701 19980731    44.4
19980801 19980831    36.8
19980901 19980930    35.4
19981001 19981031    27.8
19981101 19981130    19.6
19981201 19981231    13.2
19990101 19990131    29.0
19990201 19990228     2.4
19990301 19990331    52.2
19990401 19990430     3.4
19990501 19990531    25.2
19990601 19990630    23.2
19990701 19990731    27.9
19990801 19990831    15.9
19990901 19990930    23.4
19991001 19991031    73.0
19991101 19991130    21.7
19991201 19991231    36.7
20000101 20000131     7.3
20000201 20000229    66.1
20000301 20000331    25.7
20000401 20000430    55.6
20000501 20000531    35.0
20000601 20000630    50.6
20000701 20000731    54.2
20000801 20000831    47.0
20000901 20000930    28.4
20001001 20001031    53.4
20001101 20001130     9.3
20001201 20001231     2.1
20010101 20010131     6.3
20010201 20010228     9.7
20010301 20010331     7.4
20010401 20010430    26.7
20010501 20010531    37.6
20010601 20010630    39.5
20010701 20010731    19.0
20010801 20010831    42.7
20010901 20010930    72.2
20011001 20011031    34.6
20011101 20011130    64.3
20011201 20011231     8.0
20020101 20020131    26.2
20020201 20020228     2.4
20020301 20020331    26.6
20020401 20020430    12.3
20020501 20020531    42.3
20020601 20020630    15.4
20020701 20020731    34.2
20020801 20020831    29.1
20020901 20020930    27.0
20021001 20021031    15.2
20021101 20021130    32.1
20021201 20021231     6.8
20030101 20030131     4.4
20030201 20030228    45.4
20030301 20030331     6.7
20030401 20030430    14.0
20030501 20030531    56.6
20030601 20030630    52.0
20030701 20030731    26.0
20030801 20030831    71.5
20030901 20030930    29.2
20031001 20031031    56.0
20031101 20031130    15.4
20031201 20031231    25.9
20040101 20040131     7.5
20040201 20040229     5.8
20040301 20040331     6.1
20040401 20040430     5.0
20040501 20040531    21.5
20040601 20040630    54.3
20040701 20040731    45.0
20040801 20040831    47.1
20040901 20040930    30.8
20041001 20041031     7.2
20041101 20041130    33.4
20041201 20041231   111.7
20050101 20050131    23.4
20050201 20050228    40.4
20050301 20050331     8.6
20050401 20050430     4.2
20050501 20050531     5.4
20050601 20050630   158.3
20050701 20050731    27.2
20050801 20050831    36.1
20050901 20050930    53.7
20051001 20051031    76.6
20051101 20051130    40.9
20051201 20051231    23.9
20060101 20060131    28.8
20060201 20060228    14.7
20060301 20060331    36.4
20060401 20060430    32.5
20060501 20060531    21.6
20060601 20060630    14.3
20060701 20060731    29.7
20060801 20060831     5.3
20060901 20060930    22.3
20061001 20061031     0.4
20061101 20061130    15.0
20061201 20061231    20.2
20070101 20070131    32.5
20070201 20070228     1.2
20070301 20070331    19.2
20070401 20070430    86.3
20070501 20070531    21.3
20070601 20070630    31.9
20070701 20070731    30.1
20070801 20070831     7.1
20070901 20070930    27.5
20071001 20071031    17.3
20071101 20071130    27.5
20071201 20071231    26.6
20080101 20080131     5.0
20080201 20080229     2.3
20080301 20080331     4.5
20080401 20080430    14.6
20080501 20080531    41.0
20080601 20080630    29.5
20080701 20080731    31.1
20080801 20080831    62.9
20080901 20080930    21.4
20081001 20081031     4.5
20081101 20081130    15.5
20081201 20081231    39.2
20090101 20090131     0.5
20090201 20090228     0.4
20090301 20090331     7.9
20090401 20090430    35.8
20090501 20090531    29.7
20090601 20090630    36.4
20090701 20090731    54.8
20090801 20090831    33.7
20090901 20090930    60.6
20091001 20091031    21.8
20091101 20091130    48.7
20091201 20091231    15.5
20100101 20100131    15.0
20100201 20100228    11.7
20100301 20100331    14.1
20100401 20100430    39.2
20100501 20100531    46.8
20100601 20100630    33.8
20100701 20100731    31.6
20100801 20100831    54.7
20100901 20100930    87.8
20101001 20101031    59.4
20101101 20101130    44.0
20101201 20101231    74.4
20110101 20110131    14.4
20110201 20110228    43.8
20110301 20110331    90.6
20110401 20110430    16.9
20110501 20110531    25.9
20110601 20110630    29.9
20110701 20110731    30.1
20110801 20110831    37.1
20110901 20110930    36.1
20111001 20111031    36.5
20111101 20111130    13.2
20111201 20111231    59.2
20120101 20120131    12.8
20120201 20120229    21.4
20120301 20120331    47.0
20120401 20120430    24.7
20120501 20120531    88.4
20120601 20120630    66.5
20120701 20120731    63.2
20120801 20120831    39.3
20120901 20120930    18.1
20121001 20121031    23.0
20121101 20121130     7.5
20121201 20121231    16.5
20130101 20130131    12.8
20130201 20130228    18.2
20130301 20130331     3.6
20130401 20130430    23.0
20130501 20130531    32.6
20130601 20130630    91.8
20130701 20130731    64.5
20130801 20130831    26.6
20130901 20130930    28.4
20131001 20131031    14.4
20131101 20131130    11.0
20131201 20131231    19.2
20140101 20140131     9.0
20140201 20140228    81.2
20140301 20140331    16.2
20140401 20140430    36.6
20140501 20140531    36.1
20140601 20140630    56.6
20140701 20140731    43.6
20140801 20140831    11.2
20140901 20140930    20.4
20141001 20141031     6.4
20141101 20141130    20.2
20141201 20141231     6.6
20150101 20150131    53.4
20150201 20150228     4.4
20150301 20150331    16.1
20150401 20150430    73.0
20150501 20150531    40.2
20150601 20150630     8.8
20150701 20150731    41.4
20150801 20150831    33.0
20150901 20150930    22.5
20151001 20151031     5.0
20151101 20151130    26.8
20151201 20151231     7.4
20160101 20160131    12.8
20160201 20160229    19.8
20160301 20160331    35.5
20160401 20160430     6.6
20160501 20160531    31.6
20160601 20160630    37.7
20160701 20160731    78.0
20160801 20160831    20.7
20160901 20160930   107.7
20161001 20161031    27.6
20161101 20161130    19.2
20161201 20161231    55.3
20170101 20170131    18.2
20170201 20170228    28.9
20170301 20170331    21.5
20170401 20170430    39.0
20170501 20170531    22.0
20170601 20170630    11.6
20170701 20170731    31.0
20170801 20170831    59.2
20170901 20170930    19.0
20171001 20171031    16.0
20171101 20171130    43.8
20171201 20171231    49.4
20180101 20180131     9.4
