PRCP       041082 18861201 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
19081001 19081031    53.8
19081101 19081130    76.1
19081201 19081231    37.6
19090101 19090131    33.8
19090201 19090228    79.5
19090301 19090331    36.6
19090401 19090430    83.1
19090501 19090531     9.7
19090601 19090630    40.7
19090701 19090731    40.7
19090801 19090831    62.4
19090901 19090930    46.0
19091001 19091031    31.8
19091101 19091130    20.8
19091201 19091231    65.8
19100101 19100131   228.3
19100201 19100228    16.2
19100301 19100331    54.4
19100401 19100430    11.9
19100501 19100531    21.1
19100601 19100630   110.7
19100701 19100731    71.9
19100801 19100831    10.0
19100901 19100930    26.1
19101001 19101031    84.0
19101101 19101130   105.9
19101201 19101231   144.2
19110101 19110131   125.3
19110201 19110228   135.7
19110301 19110331    74.1
19110401 19110430    13.2
19110501 19110531    33.9
19110601 19110630     1.8
19110701 19110731    22.6
19110801 19110831    21.6
19110901 19110930    13.0
19111001 19111031    63.5
19111101 19111130    46.2
19111201 19111231    12.4
19120101 19120131    26.0
19120201 19120229    44.7
19120301 19120331   142.6
19120401 19120430     8.3
19120501 19120531     2.0
19120601 19120630   134.3
19120701 19120731    53.8
19120801 19120831    19.3
19120901 19120930    24.3
19121001 19121031    73.2
19121101 19121130    27.8
19121201 19121231    61.2
19130101 19130131   142.8
19130201 19130228    28.4
19130301 19130331    16.5
19130401 19130430     3.4
19130501 19130531    72.6
19130601 19130630   127.4
19130701 19130731    26.2
19130801 19130831     0.0
19130901 19130930    22.6
19131001 19131031    43.6
19131101 19131130    15.3
19131201 19131231    29.5
19140101 19140131    70.4
19140201 19140228    59.0
19140301 19140331    96.5
19140401 19140430    51.3
19140501 19140531    79.3
19140601 19140630    49.0
19140701 19140731    34.3
19140801 19140831     0.3
19140901 19140930     8.9
19141001 19141031    87.8
19141101 19141130    16.0
19141201 19141231   104.6
19150101 19150131    37.6
19150201 19150228    19.5
19150301 19150331     8.4
19150401 19150430    26.5
19150501 19150531    51.8
19150601 19150630    10.8
19150701 19150731    40.3
19150801 19150831    48.6
19150901 19150930    42.6
19151001 19151031    21.9
19151101 19151130    17.0
19151201 19151231    40.3
19160101 19160131    99.3
19160201 19160229    68.5
19160301 19160331    77.8
19160401 19160430   110.2
19160501 19160531    19.1
19160601 19160630    79.7
19160701 19160731    58.5
19160801 19160831    61.6
19160901 19160930    37.3
19161001 19161031    72.1
19161101 19161130   143.4
19161201 19161231    43.0
19170101 19170131   133.5
19170201 19170228    88.4
19170301 19170331    35.1
19170401 19170430    31.0
19170501 19170531     3.8
19170601 19170630    13.5
19170701 19170731    18.8
19170801 19170831    19.0
19170901 19170930   148.9
19171001 19171031    65.3
19171101 19171130   130.9
19171201 19171231   200.0
19180101 19180131    85.9
19180201 19180228    45.6
19180301 19180331    21.1
19180401 19180430    22.7
19180501 19180531     3.3
19180601 19180630    15.8
19180701 19180731     8.7
19180801 19180831    59.0
19180901 19180930    20.9
19181001 19181031    30.1
19181101 19181130     8.4
19181201 19181231   130.8
19190101 19190131    39.8
19190201 19190228    91.4
19190301 19190331   105.4
19190401 19190430    11.2
19190501 19190531    57.8
19190601 19190630    15.9
19190701 19190731     4.1
19190801 19190831    11.5
19190901 19190930     3.8
19191001 19191031    10.2
19191101 19191130    29.2
19191201 19191231    10.2
19200101 19200131   133.7
19200201 19200229    19.8
19200301 19200331    36.0
19200401 19200430    21.5
19200501 19200531    56.9
19200601 19200630    63.3
19200701 19200731   108.0
19200801 19200831    39.2
19200901 19200930    43.7
19201001 19201031    64.5
19201101 19201130    84.4
19201201 19201231    91.7
19210101 19210131    33.3
19210201 19210228    37.4
19210301 19210331    43.7
19210401 19210430    15.7
19210501 19210531    61.4
19210601 19210630   138.6
19210701 19210731   131.9
19210801 19210831    22.1
19210901 19210930    44.6
19211001 19211031    49.3
19211101 19211130    54.4
19211201 19211231   150.4
19220101 19220131    88.0
19220201 19220228    37.7
19220301 19220331     9.9
19220401 19220430     5.8
19220501 19220531     1.8
19220601 19220630    43.6
19220701 19220731    70.5
19220801 19220831     5.1
19220901 19220930    48.4
19221001 19221031    91.2
19221101 19221130    60.3
19221201 19221231   153.3
19230101 19230131    83.3
19230201 19230228     0.8
19230301 19230331    25.7
19230401 19230430     9.9
19230501 19230531     4.6
19230601 19230630    56.4
19230701 19230731    24.4
19230801 19230831     9.7
19230901 19230930    29.6
19231001 19231031    37.1
19231101 19231130    12.5
19231201 19231231   155.3
19240101 19240131   118.8
19240201 19240229    87.0
19240301 19240331    97.3
19240401 19240430    50.0
19240501 19240531     1.3
19240601 19240630    30.0
19240701 19240731    84.0
19240801 19240831    27.7
19240901 19240930    78.2
19241001 19241031    56.3
19241101 19241130   193.1
19241201 19241231    72.1
19250101 19250131   189.3
19250201 19250228    59.7
19250301 19250331    59.3
19250401 19250430     1.3
19250501 19250531    49.0
19250601 19250630    30.2
19250701 19250731    29.6
19250801 19250831   103.2
19250901 19250930    13.3
19251001 19251031    10.6
19251101 19251130    86.2
19251201 19251231    42.9
19260101 19260131    88.3
19260201 19260228     3.8
19260301 19260331    35.4
19260401 19260430    20.3
19260501 19260531    22.9
19260601 19260630    40.1
19260701 19260731    25.4
19260801 19260831     7.9
19260901 19260930    31.7
19261001 19261031    25.5
19261101 19261130    17.8
19261201 19261231   143.6
19270101 19270131   172.9
19270201 19270228    86.9
19270301 19270331    68.5
19270401 19270430    68.5
19270501 19270531     0.8
19270601 19270630    84.1
19270701 19270731     9.4
19270801 19270831    10.4
19270901 19270930    14.8
19271001 19271031    61.1
19271101 19271130   100.9
19271201 19271231   112.9
19280101 19280131    73.6
19280201 19280229   167.9
19280301 19280331    38.6
19280401 19280430    83.7
19280501 19280531    13.9
19280601 19280630    40.2
19280701 19280731    67.1
19280801 19280831     6.9
19280901 19280930     0.0
19281001 19281031    40.1
19281101 19281130    60.5
19281201 19281231   174.0
