PRCP       076031 19080701 20180131 missing_value=99999.9 MILDURA AIRPORT                           
19300601 19300630     0.0
19300701 19300731    19.7
19300801 19300831    42.3
19300901 19300930     6.7
19301001 19301031    51.9
19301101 19301130    14.3
19301201 19301231    57.8
19310101 19310131     4.3
19310201 19310228     0.0
19310301 19310331    54.6
19310401 19310430    60.9
19310501 19310531    27.6
19310601 19310630    74.7
19310701 19310731    15.8
19310801 19310831     7.2
19310901 19310930    20.6
19311001 19311031    17.4
19311101 19311130    19.6
19311201 19311231     0.0
19320101 19320131     2.3
19320201 19320229    75.5
19320301 19320331    25.4
19320401 19320430    20.5
19320501 19320531    34.9
19320601 19320630    59.4
19320701 19320731    15.7
19320801 19320831    65.1
19320901 19320930     2.8
19321001 19321031    13.8
19321101 19321130     3.8
19321201 19321231    17.6
19330101 19330131    22.7
19330201 19330228     0.0
19330301 19330331     8.9
19330401 19330430     1.1
19330501 19330531    16.4
19330601 19330630     1.1
19330701 19330731    27.9
19330801 19330831    33.7
19330901 19330930    30.9
19331001 19331031    10.7
19331101 19331130    61.1
19331201 19331231    14.4
19340101 19340131     6.8
19340201 19340228    20.6
19340301 19340331     9.9
19340401 19340430     9.9
19340501 19340531     0.0
19340601 19340630     3.6
19340701 19340731    25.0
19340801 19340831    15.9
19340901 19340930    19.9
19341001 19341031    55.0
19341101 19341130    33.2
19341201 19341231     1.3
19350101 19350131     6.7
19350201 19350228     1.3
19350301 19350331    17.1
19350401 19350430    18.0
19350501 19350531    11.2
19350601 19350630     3.3
19350701 19350731    14.9
19350801 19350831    10.2
19350901 19350930     8.3
19351001 19351031    37.6
19351101 19351130     1.8
19351201 19351231     3.6
19360101 19360131   141.6
19360201 19360229     0.8
19360301 19360331     7.4
19360401 19360430    15.7
19360501 19360531    33.1
19360601 19360630    10.9
19360701 19360731    43.5
19360801 19360831     6.1
19360901 19360930     0.0
19361001 19361031    13.8
19361101 19361130     1.3
19361201 19361231    29.5
19370101 19370131    69.9
19370201 19370228     1.1
19370301 19370331    10.9
19370401 19370430     5.6
19370501 19370531    13.8
19370601 19370630    28.3
19370701 19370731    14.7
19370801 19370831    47.7
19370901 19370930     3.5
19371001 19371031    54.5
19371101 19371130     0.0
19371201 19371231    41.7
19380101 19380131    18.1
19380201 19380228     5.5
19380301 19380331     0.5
19380401 19380430     5.4
19380501 19380531     7.1
19380601 19380630    10.4
19380701 19380731    34.9
19380801 19380831    10.2
19380901 19380930     1.5
19381001 19381031    24.6
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131     1.3
19390201 19390228    87.4
19390301 19390331    10.4
19390401 19390430     3.9
19390501 19390531    27.3
19390601 19390630    27.1
19390701 19390731    14.5
19390801 19390831    26.3
19390901 19390930     7.3
19391001 19391031    34.6
19391101 19391130    72.3
19391201 19391231     0.0
19400101 19400131     6.6
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    34.6
19400501 19400531    12.8
19400601 19400630     1.1
19400701 19400731    13.6
19400801 19400831     6.6
19400901 19400930    48.8
19401001 19401031     5.3
19401101 19401130     5.9
19401201 19401231     8.5
19410101 19410131   154.0
19410201 19410228     2.3
19410301 19410331     7.4
19410401 19410430     0.3
19410501 19410531     5.6
19410601 19410630    20.4
19410701 19410731    31.9
19410801 19410831    26.1
19410901 19410930    23.2
19411001 19411031    13.6
19411101 19411130    22.0
19411201 19411231     7.9
19420101 19420131     8.1
19420201 19420228     8.1
19420301 19420331     1.0
19420401 19420430    23.3
19420501 19420531    55.4
19420601 19420630    63.4
19420701 19420731    20.8
19420801 19420831    49.3
19420901 19420930     9.9
19421001 19421031    56.4
19421101 19421130     6.0
19421201 19421231     2.8
19430101 19430131     0.3
19430201 19430228    25.2
19430301 19430331     0.8
19430401 19430430    11.5
19430501 19430531    12.1
19430601 19430630     4.7
19430701 19430731    19.8
19430801 19430831    20.2
19430901 19430930    14.3
19431001 19431031     7.7
19431101 19431130    27.0
19431201 19431231     0.8
19440101 19440131     2.3
19440201 19440229     0.3
19440301 19440331     0.6
19440401 19440430     4.3
19440501 19440531    22.7
19440601 19440630     0.8
19440701 19440731    16.5
19440801 19440831     1.8
19440901 19440930     2.4
19441001 19441031     9.5
19441101 19441130    16.9
19441201 19441231    18.2
19450101 19450131     8.2
19450201 19450228     7.6
19450301 19450331     0.8
19450401 19450430     0.0
19450501 19450531    22.0
19450601 19450630    39.3
19450701 19450731    18.0
19450801 19450831    16.6
19450901 19450930     3.1
19451001 19451031    30.6
19451101 19451130     7.5
19451201 19451231    17.3
19460101 19460131    26.7
19460201 19460228    54.3
19460301 19460331    15.3
19460401 19460430    22.8
19460501 19460531    26.4
19460601 19460630    40.1
19460701 19460731    32.2
19460801 19460831     8.2
19460901 19460930     2.5
19461001 19461031    11.4
19461101 19461130    43.7
19461201 19461231    14.4
19470101 19470131     0.3
19470201 19470228    75.3
19470301 19470331    68.6
19470401 19470430     5.9
19470501 19470531     0.6
19470601 19470630    28.4
19470701 19470731    33.4
19470801 19470831    13.4
19470901 19470930    23.2
19471001 19471031    49.4
19471101 19471130    13.1
19471201 19471231    35.7
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430    29.1
19480501 19480531    14.0
19480601 19480630    28.8
19480701 19480731     9.7
19480801 19480831    16.3
19480901 19480930     5.9
19481001 19481031    45.4
19481101 19481130    51.7
19481201 19481231    19.9
19490101 19490131     9.7
19490201 19490228    30.4
19490301 19490331    13.1
19490401 19490430     4.6
19490501 19490531    80.2
19490601 19490630     8.1
19490701 19490731    24.6
19490801 19490831     3.8
19490901 19490930    30.8
19491001 19491031    32.4
19491101 19491130     9.1
19491201 19491231     6.9
19500101 19500131     0.0
19500201 19500228    96.0
19500301 19500331   113.9
19500401 19500430     2.5
19500501 19500531    21.2
19500601 19500630     5.1
19500701 19500731    14.3
19500801 19500831    18.2
19500901 19500930    14.9
19501001 19501031    31.4
19501101 19501130    23.9
19501201 19501231    14.1
19510101 19510131    13.5
19510201 19510228     4.0
19510301 19510331     0.8
19510401 19510430    12.9
19510501 19510531    22.1
19510601 19510630    79.5
19510701 19510731    17.2
19510801 19510831    32.2
19510901 19510930    26.5
19511001 19511031    20.8
19511101 19511130     2.0
19511201 19511231     2.4
19520101 19520131    30.4
19520201 19520229     9.6
19520301 19520331    11.2
19520401 19520430    20.4
19520501 19520531    78.7
19520601 19520630    14.1
19520701 19520731    11.5
19520801 19520831    21.1
19520901 19520930     9.9
19521001 19521031    67.1
19521101 19521130    43.6
19521201 19521231     1.8
19530101 19530131    18.4
19530201 19530228     0.5
19530301 19530331     0.0
19530401 19530430     7.4
19530501 19530531     2.9
19530601 19530630    20.7
19530701 19530731    26.9
19530801 19530831    35.9
19530901 19530930    90.9
19531001 19531031    26.5
19531101 19531130    19.0
19531201 19531231     3.9
19540101 19540131    14.7
19540201 19540228     0.0
19540301 19540331     2.0
19540401 19540430    48.7
19540501 19540531     8.0
19540601 19540630     6.1
19540701 19540731    13.8
19540801 19540831    40.5
19540901 19540930     8.7
19541001 19541031    24.0
19541101 19541130    42.9
19541201 19541231    75.4
19550101 19550131    11.9
19550201 19550228    43.4
19550301 19550331     5.2
19550401 19550430    11.1
19550501 19550531    42.4
19550601 19550630    50.7
19550701 19550731    26.1
19550801 19550831    42.6
19550901 19550930    33.7
19551001 19551031    29.4
19551101 19551130    21.5
19551201 19551231     3.1
19560101 19560131     6.2
19560201 19560229     0.0
19560301 19560331   109.0
19560401 19560430    29.4
19560501 19560531    73.3
19560601 19560630    36.4
19560701 19560731    66.8
19560801 19560831    19.0
19560901 19560930    43.6
19561001 19561031    46.0
19561101 19561130    11.0
19561201 19561231     1.5
19570101 19570131     0.0
19570201 19570228    77.1
19570301 19570331    12.8
19570401 19570430     7.6
19570501 19570531    10.5
19570601 19570630    58.3
19570701 19570731    17.5
19570801 19570831    13.8
19570901 19570930     3.1
19571001 19571031    19.2
19571101 19571130     2.6
19571201 19571231    46.0
19580101 19580131    60.1
19580201 19580228     0.0
19580301 19580331     3.3
19580401 19580430    15.4
19580501 19580531    33.1
19580601 19580630     1.0
19580701 19580731    31.0
19580801 19580831    68.1
19580901 19580930    10.7
19581001 19581031    77.4
19581101 19581130    81.8
19581201 19581231    13.8
19590101 19590131    27.0
19590201 19590228     7.6
19590301 19590331    16.6
19590401 19590430     0.0
19590501 19590531     8.4
19590601 19590630     1.1
19590701 19590731     5.8
19590801 19590831     9.9
19590901 19590930    10.7
19591001 19591031    72.3
19591101 19591130     3.1
19591201 19591231     6.3
19600101 19600131    43.6
19600201 19600229    29.1
19600301 19600331    10.2
19600401 19600430    19.9
19600501 19600531    54.8
19600601 19600630    11.7
19600701 19600731    59.9
19600801 19600831    30.4
19600901 19600930    28.0
19601001 19601031    10.9
19601101 19601130    40.4
19601201 19601231     5.4
19610101 19610131    12.2
19610201 19610228    10.7
19610301 19610331    14.9
19610401 19610430    36.5
19610501 19610531     4.4
19610601 19610630     4.2
19610701 19610731    22.3
19610801 19610831     7.7
19610901 19610930    32.1
19611001 19611031    25.2
19611101 19611130    90.5
19611201 19611231    49.7
19620101 19620131    88.8
19620201 19620228     1.8
19620301 19620331     6.9
19620401 19620430     0.0
19620501 19620531    42.3
19620601 19620630     3.6
19620701 19620731    10.7
19620801 19620831    31.8
19620901 19620930     3.1
19621001 19621031     6.9
19621101 19621130     0.5
19621201 19621231    93.3
19630101 19630131    30.9
19630201 19630228     2.1
19630301 19630331    23.8
19630401 19630430    28.1
19630501 19630531    24.3
19630601 19630630    59.9
19630701 19630731    30.6
19630801 19630831    37.0
19630901 19630930     3.3
19631001 19631031    27.3
19631101 19631130     8.4
19631201 19631231    34.5
19640101 19640131    15.8
19640201 19640229    14.3
19640301 19640331     1.1
19640401 19640430    16.3
19640501 19640531    11.6
19640601 19640630    19.5
19640701 19640731    12.2
19640801 19640831    10.7
19640901 19640930    86.7
19641001 19641031    33.0
19641101 19641130     9.9
19641201 19641231    12.5
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.5
19650401 19650430    11.6
19650501 19650531    20.2
19650601 19650630    35.5
19650701 19650731    43.8
19650801 19650831    56.5
19650901 19650930    39.2
19651001 19651031    13.6
19651101 19651130    17.9
19651201 19651231    10.6
19660101 19660131    33.1
19660201 19660228    11.9
19660301 19660331    32.6
19660401 19660430     2.1
19660501 19660531    38.8
19660601 19660630     8.9
19660701 19660731    15.6
19660801 19660831    28.1
19660901 19660930    15.4
19661001 19661031    15.1
19661101 19661130    30.3
19661201 19661231    24.1
19670101 19670131     8.4
19670201 19670228    19.9
19670301 19670331     0.0
19670401 19670430     0.8
19670501 19670531    17.6
19670601 19670630    16.9
19670701 19670731    14.8
19670801 19670831    19.7
19670901 19670930    21.2
19671001 19671031    15.3
19671101 19671130     0.0
19671201 19671231     0.3
19680101 19680131    20.7
19680201 19680229     0.3
19680301 19680331    33.7
19680401 19680430    16.4
19680501 19680531    51.4
19680601 19680630    29.8
19680701 19680731    29.6
19680801 19680831    28.2
19680901 19680930     1.3
19681001 19681031    25.0
19681101 19681130    12.1
19681201 19681231    15.6
19690101 19690131     5.8
19690201 19690228    57.9
19690301 19690331   111.2
19690401 19690430     3.8
19690501 19690531    33.3
19690601 19690630    10.8
19690701 19690731    31.4
19690801 19690831     3.3
19690901 19690930    25.8
19691001 19691031     9.4
19691101 19691130    16.7
19691201 19691231     6.0
19700101 19700131    15.6
19700201 19700228     6.4
19700301 19700331    10.2
19700401 19700430    45.6
19700501 19700531     6.1
19700601 19700630    18.9
19700701 19700731     0.6
19700801 19700831    35.1
19700901 19700930    69.4
19701001 19701031     4.7
19701101 19701130    31.2
19701201 19701231     9.6
19710101 19710131    14.0
19710201 19710228     6.1
19710301 19710331    36.6
19710401 19710430    91.5
19710501 19710531     7.2
19710601 19710630    16.3
19710701 19710731    15.3
19710801 19710831    18.3
19710901 19710930    12.4
19711001 19711031     0.6
19711101 19711130    26.0
19711201 19711231    22.8
19720101 19720131    34.1
19720201 19720229     9.6
19720301 19720331     1.5
19720401 19720430    15.1
19720501 19720531    14.5
19720601 19720630     4.1
19720701 19720731     6.2
19720801 19720831    37.9
19720901 19720930     6.4
19721001 19721031     8.4
19721101 19721130     4.2
19721201 19721231     8.4
19730101 19730131    19.4
19730201 19730228    84.3
19730301 19730331    36.9
19730401 19730430    13.2
19730501 19730531    16.5
19730601 19730630    40.6
19730701 19730731    42.9
19730801 19730831    74.8
19730901 19730930    25.5
19731001 19731031   120.6
19731101 19731130    28.7
19731201 19731231    33.0
19740101 19740131    59.9
19740201 19740228    55.5
19740301 19740331    43.4
19740401 19740430   120.4
19740501 19740531    53.0
19740601 19740630    16.2
19740701 19740731    38.0
19740801 19740831    17.2
19740901 19740930    46.0
19741001 19741031    59.0
19741101 19741130    16.0
19741201 19741231     0.0
19750101 19750131     7.2
19750201 19750228     6.6
19750301 19750331    19.6
19750401 19750430    10.4
19750501 19750531     9.4
19750601 19750630     9.8
19750701 19750731    29.4
19750801 19750831    33.4
19750901 19750930    52.0
19751001 19751031   106.8
19751101 19751130    12.6
19751201 19751231   104.8
19760101 19760131    24.6
19760201 19760229    34.4
19760301 19760331     5.4
19760401 19760430    23.4
19760501 19760531     4.6
19760601 19760630     4.0
19760701 19760731    13.4
19760801 19760831     6.6
19760901 19760930    36.6
19761001 19761031   105.2
19761101 19761130    28.0
19761201 19761231     3.2
19770101 19770131     3.0
19770201 19770228    67.6
19770301 19770331     1.6
19770401 19770430     3.2
19770501 19770531    25.9
19770601 19770630    29.4
19770701 19770731     3.6
19770801 19770831     1.6
19770901 19770930    18.0
19771001 19771031    13.0
19771101 19771130    33.6
19771201 19771231     1.6
19780101 19780131     9.2
19780201 19780228     0.0
19780301 19780331    25.0
19780401 19780430     4.8
19780501 19780531    24.2
19780601 19780630    68.0
19780701 19780731    50.4
19780801 19780831    33.4
19780901 19780930    41.2
19781001 19781031    17.4
19781101 19781130    56.2
19781201 19781231     3.6
19790101 19790131    50.8
19790201 19790228    22.8
19790301 19790331     3.2
19790401 19790430    19.6
19790501 19790531    70.2
19790601 19790630     7.0
19790701 19790731     3.8
19790801 19790831    17.6
19790901 19790930    38.6
19791001 19791031    22.4
19791101 19791130    45.4
19791201 19791231     1.4
19800101 19800131     6.2
19800201 19800229     1.2
19800301 19800331     3.0
19800401 19800430   110.6
19800501 19800531    17.8
19800601 19800630    35.6
19800701 19800731    22.2
19800801 19800831    16.0
19800901 19800930     3.4
19801001 19801031    28.2
19801101 19801130     7.8
19801201 19801231    21.2
19810101 19810131    28.6
19810201 19810228    24.4
19810301 19810331    14.8
19810401 19810430     0.6
19810501 19810531    49.8
19810601 19810630    38.8
19810701 19810731    45.4
19810801 19810831    31.6
19810901 19810930    29.4
19811001 19811031    19.8
19811101 19811130    22.2
19811201 19811231     2.6
19820101 19820131    37.4
19820201 19820228     1.2
19820301 19820331    15.2
19820401 19820430    10.8
19820501 19820531     5.4
19820601 19820630    15.0
19820701 19820731     2.6
19820801 19820831     2.4
19820901 19820930    24.2
19821001 19821031     3.2
19821101 19821130     3.2
19821201 19821231     1.0
19830101 19830131     1.8
19830201 19830228     0.8
19830301 19830331    32.2
19830401 19830430     8.0
19830501 19830531    10.6
19830601 19830630     7.4
19830701 19830731    47.0
19830801 19830831    38.6
19830901 19830930    28.4
19831001 19831031    31.6
19831101 19831130    21.4
19831201 19831231    57.6
19840101 19840131    92.2
19840201 19840229     1.8
19840301 19840331    20.4
19840401 19840430    20.0
19840501 19840531     0.8
19840601 19840630     0.0
19840701 19840731    46.8
19840801 19840831    53.2
19840901 19840930    32.8
19841001 19841031    11.4
19841101 19841130    15.4
19841201 19841231     2.2
19850101 19850131     6.4
19850201 19850228     0.0
19850301 19850331     3.4
19850401 19850430     1.8
19850501 19850531    26.0
19850601 19850630    10.4
19850701 19850731     5.0
19850801 19850831    45.8
19850901 19850930     7.2
19851001 19851031    52.6
19851101 19851130    14.4
19851201 19851231    31.0
19860101 19860131     0.0
19860201 19860228    10.6
19860301 19860331     0.0
19860401 19860430     4.2
19860501 19860531    38.4
19860601 19860630     5.6
19860701 19860731    45.8
19860801 19860831    56.8
19860901 19860930    31.8
19861001 19861031    48.0
19861101 19861130    16.4
19861201 19861231    35.6
19870101 19870131    10.6
19870201 19870228     5.0
19870301 19870331    21.0
19870401 19870430     8.0
19870501 19870531    22.0
19870601 19870630    28.8
19870701 19870731    29.0
19870801 19870831    59.2
19870901 19870930    18.6
19871001 19871031    30.4
19871101 19871130     2.6
19871201 19871231    27.4
19880101 19880131    27.4
19880201 19880229     1.4
19880301 19880331    10.4
19880401 19880430    14.2
19880501 19880531    37.2
19880601 19880630    38.4
19880701 19880731    29.6
19880801 19880831     9.6
19880901 19880930    51.6
19881001 19881031     5.8
19881101 19881130    52.2
19881201 19881231    22.8
19890101 19890131    10.4
19890201 19890228     2.8
19890301 19890331    65.6
19890401 19890430    59.4
19890501 19890531    68.6
19890601 19890630    37.0
19890701 19890731    25.8
19890801 19890831    17.6
19890901 19890930    13.2
19891001 19891031     1.8
19891101 19891130    30.4
19891201 19891231    26.4
19900101 19900131     9.0
19900201 19900228     9.0
19900301 19900331     7.0
19900401 19900430    32.2
19900501 19900531    63.6
19900601 19900630    26.8
19900701 19900731    45.8
19900801 19900831    29.4
19900901 19900930    11.6
19901001 19901031     2.4
19901101 19901130     3.4
19901201 19901231     4.4
19910101 19910131    88.2
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430    20.6
19910501 19910531     0.0
19910601 19910630    82.2
19910701 19910731    45.0
19910801 19910831    20.2
19910901 19910930    42.6
19911001 19911031     0.6
19911101 19911130    24.6
19911201 19911231     1.6
19920101 19920131     0.4
19920201 19920229     9.4
19920301 19920331     3.2
19920401 19920430    10.0
19920501 19920531    42.4
19920601 19920630    17.8
19920701 19920731     2.8
19920801 19920831    40.6
19920901 19920930    74.0
19921001 19921031    53.6
19921101 19921130    60.4
19921201 19921231   181.2
19930101 19930131    81.8
19930201 19930228     2.2
19930301 19930331    11.0
19930401 19930430     0.0
19930501 19930531    17.2
19930601 19930630    11.6
19930701 19930731    31.8
19930801 19930831     7.0
19930901 19930930    47.0
19931001 19931031    90.0
19931101 19931130    27.2
19931201 19931231    59.4
19940101 19940131     1.0
19940201 19940228    77.8
19940301 19940331     0.0
19940401 19940430     0.4
19940501 19940531     1.2
19940601 19940630    30.0
19940701 19940731    13.4
19940801 19940831     1.2
19940901 19940930    15.8
19941001 19941031     5.0
19941101 19941130    10.8
19941201 19941231     5.0
19950101 19950131    52.2
19950201 19950228    13.6
19950301 19950331     0.2
19950401 19950430    12.2
19950501 19950531    47.0
19950601 19950630    11.2
19950701 19950731    37.6
19950801 19950831     5.8
19950901 19950930    42.6
19951001 19951031    71.6
19951101 19951130     6.2
19951201 19951231     2.6
19960101 19960131    15.4
19960201 19960229    14.6
19960301 19960331    31.4
19960401 19960430     6.6
19960501 19960531     4.2
19960601 19960630    42.0
19960701 19960731    53.6
19960801 19960831    32.0
19960901 19960930    28.6
19961001 19961031    13.4
19961101 19961130    13.2
19961201 19961231     1.4
19970101 19970131    16.4
19970201 19970228    34.0
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    17.2
19970601 19970630    11.8
19970701 19970731     3.6
19970801 19970831    42.0
19970901 19970930    51.8
19971001 19971031    14.8
19971101 19971130    16.2
19971201 19971231     7.8
19980101 19980131    29.8
19980201 19980228    16.0
19980301 19980331     1.6
19980401 19980430    20.2
19980501 19980531     1.6
19980601 19980630     7.0
19980701 19980731    30.4
19980801 19980831     2.6
19980901 19980930    21.2
19981001 19981031    16.4
19981101 19981130    14.8
19981201 19981231     1.2
19990101 19990131    32.2
19990201 19990228    20.0
19990301 19990331    14.4
19990401 19990430     1.0
19990501 19990531    34.2
19990601 19990630    16.0
19990701 19990731    33.6
19990801 19990831    44.8
19990901 19990930    14.8
19991001 19991031    28.0
19991101 19991130    73.6
19991201 19991231    26.4
20000101 20000131    11.0
20000201 20000229    76.8
20000301 20000331     5.8
20000401 20000430    49.4
20000501 20000531    13.2
20000601 20000630    11.8
20000701 20000731    25.4
20000801 20000831    39.0
20000901 20000930    38.8
20001001 20001031    32.8
20001101 20001130    12.8
20001201 20001231    13.4
20010101 20010131     3.2
20010201 20010228    19.8
20010301 20010331    14.2
20010401 20010430     0.8
20010501 20010531     7.2
20010601 20010630    30.8
20010701 20010731    23.2
20010801 20010831    17.4
20010901 20010930    37.4
20011001 20011031    27.8
20011101 20011130     1.2
20011201 20011231     3.8
20020101 20020131     1.0
20020201 20020228    12.4
20020301 20020331    23.8
20020401 20020430     9.6
20020501 20020531    14.0
20020601 20020630    14.2
20020701 20020731     5.6
20020801 20020831    13.8
20020901 20020930     7.0
20021001 20021031     5.0
20021101 20021130    19.8
20021201 20021231    66.0
20030101 20030131     0.2
20030201 20030228    36.8
20030301 20030331     0.0
20030401 20030430     0.6
20030501 20030531    28.0
20030601 20030630    22.0
20030701 20030731    14.2
20030801 20030831    55.2
20030901 20030930     6.8
20031001 20031031    33.6
20031101 20031130    17.0
20031201 20031231    89.4
20040101 20040131     3.0
20040201 20040229     0.8
20040301 20040331     0.6
20040401 20040430     0.0
20040501 20040531     7.0
20040601 20040630    30.8
20040701 20040731    22.0
20040801 20040831    25.0
20040901 20040930     9.8
20041001 20041031     3.8
20041101 20041130    42.0
20041201 20041231    28.4
20050101 20050131    23.8
