PRCP       076031 19080701 20180131 missing_value=99999.9 MILDURA AIRPORT                           
20050201 20050228     3.2
20050301 20050331     3.6
20050401 20050430     3.4
20050501 20050531     3.0
20050601 20050630    35.6
20050701 20050731    39.8
20050801 20050831    21.2
20050901 20050930    39.0
20051001 20051031    63.0
20051101 20051130    27.2
20051201 20051231    15.0
20060101 20060131     4.6
20060201 20060228     1.2
20060301 20060331    24.6
20060401 20060430    17.8
20060501 20060531     6.4
20060601 20060630    11.4
20060701 20060731    30.8
20060801 20060831     6.0
20060901 20060930     9.8
20061001 20061031     0.0
20061101 20061130     7.0
20061201 20061231     3.6
20070101 20070131    56.4
20070201 20070228     3.2
20070301 20070331    15.8
20070401 20070430    35.4
20070501 20070531    25.0
20070601 20070630     2.0
20070701 20070731    22.8
20070801 20070831     2.2
20070901 20070930     3.2
20071001 20071031     8.4
20071101 20071130    29.2
20071201 20071231    19.2
20080101 20080131    19.4
20080201 20080229     0.0
20080301 20080331    11.4
20080401 20080430     4.8
20080501 20080531    15.8
20080601 20080630    14.4
20080701 20080731    19.6
20080801 20080831    34.2
20080901 20080930     2.0
20081001 20081031     3.0
20081101 20081130    42.6
20081201 20081231    34.8
20090101 20090131     0.8
20090201 20090228     0.0
20090301 20090331    24.0
20090401 20090430    21.8
20090501 20090531     9.4
20090601 20090630    37.0
20090701 20090731    11.8
20090801 20090831     8.2
20090901 20090930    30.4
20091001 20091031    10.8
20091101 20091130    65.6
20091201 20091231    13.2
20100101 20100131     8.4
20100201 20100228    19.8
20100301 20100331    35.8
20100401 20100430    18.8
20100501 20100531    51.2
20100601 20100630    14.6
20100701 20100731    25.6
20100801 20100831    28.8
20100901 20100930    54.8
20101001 20101031    88.8
20101101 20101130   103.6
20101201 20101231   141.0
20110101 20110131   129.4
20110201 20110228   192.6
20110301 20110331   122.0
20110401 20110430    12.6
20110501 20110531    14.2
20110601 20110630    10.6
20110701 20110731    15.2
20110801 20110831    20.8
20110901 20110930     7.2
20111001 20111031    27.6
20111101 20111130    43.4
20111201 20111231    61.8
20120101 20120131    12.6
20120201 20120229    36.6
20120301 20120331    64.2
20120401 20120430     4.0
20120501 20120531     2.6
20120601 20120630     8.0
20120701 20120731    41.4
20120801 20120831    17.0
20120901 20120930    13.2
20121001 20121031     6.0
20121101 20121130     4.6
20121201 20121231     4.4
20130101 20130131     1.2
20130201 20130228    14.6
20130301 20130331    10.8
20130401 20130430     6.2
20130501 20130531    29.2
20130601 20130630    35.8
20130701 20130731    14.8
20130801 20130831    10.4
20130901 20130930    18.8
20131001 20131031    14.4
20131101 20131130     2.4
20131201 20131231    57.8
20140101 20140131     0.6
20140201 20140228    67.2
20140301 20140331    29.2
20140401 20140430    57.6
20140501 20140531    22.8
20140601 20140630     6.4
20140701 20140731    13.0
20140801 20140831    18.2
20140901 20140930    18.6
20141001 20141031     0.6
20141101 20141130    13.4
20141201 20141231     9.6
20150101 20150131    57.0
20150201 20150228     0.6
20150301 20150331     0.0
20150401 20150430    93.0
20150501 20150531    10.2
20150601 20150630    30.6
20150701 20150731    14.3
20150801 20150831    12.8
20150901 20150930    13.6
20151001 20151031     5.1
20151101 20151130     6.4
20151201 20151231     1.6
20160101 20160131    68.2
20160201 20160229     0.2
20160301 20160331     0.4
20160401 20160430     3.0
20160501 20160531    43.4
20160601 20160630    18.2
20160701 20160731    19.2
20160801 20160831    30.8
20160901 20160930    93.6
20161001 20161031    24.8
20161101 20161130    51.2
20161201 20161231     5.6
20170101 20170131    29.4
20170201 20170228     5.2
20170301 20170331     4.2
20170401 20170430    44.0
20170501 20170531    19.6
20170601 20170630     1.8
20170701 20170731     4.0
20170801 20170831    34.0
20170901 20170930     4.0
20171001 20171031    23.0
20171101 20171130    55.4
20171201 20171231    45.0
20180101 20180131     3.4
