PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
19110401 19110430    83.8
19110501 19110531    59.0
19110601 19110630    18.3
19110701 19110731   250.1
19110801 19110831   213.9
19110901 19110930    69.3
19111001 19111031    35.1
19111101 19111130    78.8
19111201 19111231    42.6
19120101 19120131    78.3
19120201 19120229   242.9
19120301 19120331   184.5
19120401 19120430    99.0
19120501 19120531    54.4
19120601 19120630    69.5
19120701 19120731   260.9
19120801 19120831    43.9
19120901 19120930     2.5
19121001 19121031    27.4
19121101 19121130    55.4
19121201 19121231   278.1
19130101 19130131    50.6
19130201 19130228   158.5
19130301 19130331    83.4
19130401 19130430   302.8
19130501 19130531   320.0
19130601 19130630   222.6
19130701 19130731    69.4
19130801 19130831     6.8
19130901 19130930    82.6
19131001 19131031    50.4
19131101 19131130    20.9
19131201 19131231    23.1
19140101 19140131    54.9
19140201 19140228    75.7
19140301 19140331   148.7
19140401 19140430    18.6
19140501 19140531    20.5
19140601 19140630   142.2
19140701 19140731    76.3
19140801 19140831    41.3
19140901 19140930   187.2
19141001 19141031   230.9
19141101 19141130    66.5
19141201 19141231   224.4
19150101 19150131    46.5
19150201 19150228    51.3
19150301 19150331    16.1
19150401 19150430    65.0
19150501 19150531   285.0
19150601 19150630    41.1
19150701 19150731    59.5
19150801 19150831    38.2
19150901 19150930    25.4
19151001 19151031    18.8
19151101 19151130    11.9
19151201 19151231   153.1
19160101 19160131    46.5
19160201 19160229   144.7
19160301 19160331    82.5
19160401 19160430    91.1
19160501 19160531   194.3
19160601 19160630   136.5
19160701 19160731    50.4
19160801 19160831    42.1
19160901 19160930    36.8
19161001 19161031   190.8
19161101 19161130    56.7
19161201 19161231   148.3
19170101 19170131    82.9
19170201 19170228   134.4
19170301 19170331   115.7
19170401 19170430   138.6
19170501 19170531    63.1
19170601 19170630    65.8
19170701 19170731     5.0
19170801 19170831    29.0
19170901 19170930   206.4
19171001 19171031    70.4
19171101 19171130   225.8
19171201 19171231    68.2
19180101 19180131   152.3
19180201 19180228   205.4
19180301 19180331    95.0
19180401 19180430   104.3
19180501 19180531    26.8
19180601 19180630    27.9
19180701 19180731   101.2
19180801 19180831    55.9
19180901 19180930   115.1
19181001 19181031    37.8
19181101 19181130    22.3
19181201 19181231    53.1
19190101 19190131    50.6
19190201 19190228   116.7
19190301 19190331   191.8
19190401 19190430    95.6
19190501 19190531   346.3
19190601 19190630    49.2
19190701 19190731    97.8
19190801 19190831    10.7
19190901 19190930    42.7
19191001 19191031   114.9
19191101 19191130   101.0
19191201 19191231    83.2
19200101 19200131   189.3
19200201 19200229    72.3
19200301 19200331    53.9
19200401 19200430    38.2
19200501 19200531    39.9
19200601 19200630    60.9
19200701 19200731   125.5
19200801 19200831    30.5
19200901 19200930    53.5
19201001 19201031    17.9
19201101 19201130    71.4
19201201 19201231   285.9
19210101 19210131   187.4
19210201 19210228    75.3
19210301 19210331   126.4
19210401 19210430   157.5
19210501 19210531   238.4
19210601 19210630   148.1
19210701 19210731   204.6
19210801 19210831    33.6
19210901 19210930    79.3
19211001 19211031   106.9
19211101 19211130    57.1
19211201 19211231   141.4
19220101 19220131   194.0
19220201 19220228   187.2
19220301 19220331    25.4
19220401 19220430    36.0
19220501 19220531    46.6
19220601 19220630    58.0
19220701 19220731   248.6
19220801 19220831   136.6
19220901 19220930   184.5
19221001 19221031    29.0
19221101 19221130     4.9
19221201 19221231    87.2
19230101 19230131    52.2
19230201 19230228     5.1
19230301 19230331    25.9
19230401 19230430   168.9
19230501 19230531     9.6
19230601 19230630   107.6
19230701 19230731    63.1
