PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
19841101 19841130   192.8
19841201 19841231    80.0
19850101 19850131    12.8
19850201 19850228   261.8
19850301 19850331    58.4
19850401 19850430   164.0
19850501 19850531   169.2
19850601 19850630    82.4
19850701 19850731   154.4
19850801 19850831    42.6
19850901 19850930    80.4
19851001 19851031   312.4
19851101 19851130   115.8
19851201 19851231    49.6
19860101 19860131   164.6
19860201 19860228    57.8
19860301 19860331    15.2
19860401 19860430    33.4
19860501 19860531    27.8
19860601 19860630    95.6
19860701 19860731    25.2
19860801 19860831   140.4
19860901 19860930    99.6
19861001 19861031    23.2
19861101 19861130   132.2
19861201 19861231     6.0
19870101 19870131    75.8
19870201 19870228    31.8
19870301 19870331   154.4
19870401 19870430    63.3
19870501 19870531    84.0
19870601 19870630    39.4
19870701 19870731    43.4
19870801 19870831   190.5
19870901 19870930    14.2
19871001 19871031   147.8
19871101 19871130   255.6
19871201 19871231   128.2
19880101 19880131   127.4
19880201 19880229   200.2
19880301 19880331    68.8
19880401 19880430   309.4
19880501 19880531    59.2
19880601 19880630    76.4
19880701 19880731    67.0
19880801 19880831    33.3
19880901 19880930   163.0
19881001 19881031     7.1
19881101 19881130    94.8
19881201 19881231   134.0
19890101 19890131   164.8
19890201 19890228    24.0
19890301 19890331   178.6
19890401 19890430   254.8
19890501 19890531   145.0
19890601 19890630   168.2
19890701 19890731    60.0
19890801 19890831    11.2
19890901 19890930    14.6
19891001 19891031    42.4
19891101 19891130   120.8
19891201 19891231    82.4
19900101 19900131    93.8
19900201 19900228   365.8
19900301 19900331   141.6
19900401 19900430   165.8
19900501 19900531   169.8
19900601 19900630    84.8
19900701 19900731    44.8
19900801 19900831   104.4
19900901 19900930   113.2
19901001 19901031   103.0
19901101 19901130    71.6
19901201 19901231    27.6
19910101 19910131    55.0
19910201 19910228     7.0
19910301 19910331    25.2
19910401 19910430     5.2
19910501 19910531   116.8
19910601 19910630   160.0
19910701 19910731    38.6
19910801 19910831     5.8
19910901 19910930     5.8
19911001 19911031    22.6
19911101 19911130    60.0
19911201 19911231   188.8
19920101 19920131   114.2
19920201 19920229   232.4
19920301 19920331   152.9
19920401 19920430    88.4
19920501 19920531    40.0
19920601 19920630    68.4
19920701 19920731    21.2
19920801 19920831    35.2
19920901 19920930    15.0
19921001 19921031    21.0
19921101 19921130   139.4
19921201 19921231   301.9
19930101 19930131   100.7
19930201 19930228    62.7
19930301 19930331   164.8
19930401 19930430    42.8
19930501 19930531    51.1
19930601 19930630   111.6
19930701 19930731    83.3
19930801 19930831    64.7
19930901 19930930    41.3
19931001 19931031    65.3
19931101 19931130    73.2
19931201 19931231    66.7
19940101 19940131   112.2
19940201 19940228    75.4
19940301 19940331    89.0
19940401 19940430    63.4
19940501 19940531    65.2
19940601 19940630    64.5
19940701 19940731    43.4
19940801 19940831    47.4
19940901 19940930    15.4
19941001 19941031    51.6
19941101 19941130    52.2
19941201 19941231   119.8
19950101 19950131   184.6
19950201 19950228    70.4
19950301 19950331   272.6
19950401 19950430    12.4
19950501 19950531   135.6
19950601 19950630   104.4
19950701 19950731     4.6
19950801 19950831     1.0
19950901 19950930   109.8
19951001 19951031    41.2
19951101 19951130   127.0
19951201 19951231   156.2
19960101 19960131   160.6
19960201 19960229    68.0
19960301 19960331 99999.9
19960401 19960430     6.4
19960501 19960531   160.6
19960601 19960630    40.2
19960701 19960731    28.5
19960801 19960831    40.2
19960901 19960930    68.6
19961001 19961031    52.3
19961101 19961130   163.8
19961201 19961231   101.4
19970101 19970131   144.8
19970201 19970228   142.4
19970301 19970331   137.0
19970401 19970430    15.1
19970501 19970531   125.6
19970601 19970630   134.4
19970701 19970731   106.0
19970801 19970831    11.4
19970901 19970930    65.1
19971001 19971031    57.4
19971101 19971130    30.6
19971201 19971231    54.6
19980101 19980131    96.8
19980201 19980228    48.6
19980301 19980331    84.2
19980401 19980430   106.0
19980501 19980531   257.8
19980601 19980630   100.2
19980701 19980731    80.8
19980801 19980831   135.9
19980901 19980930   108.0
19981001 19981031    43.2
19981101 19981130   296.2
19981201 19981231    56.8
19990101 19990131   169.8
19990201 19990228   131.8
19990301 19990331    76.4
19990401 19990430   207.5
19990501 19990531    30.4
19990601 19990630   126.6
19990701 19990731   232.4
19990801 19990831    64.0
19990901 19990930    33.8
19991001 19991031   113.0
19991101 19991130   107.1
19991201 19991231   104.0
20000101 20000131    63.6
20000201 20000229    39.0
20000301 20000331   343.6
20000401 20000430   105.8
20000501 20000531    21.0
20000601 20000630    41.0
20000701 20000731    63.5
20000801 20000831    48.2
20000901 20000930    24.0
20001001 20001031    42.1
20001101 20001130    88.0
20001201 20001231    97.8
20010101 20010131    39.8
20010201 20010228   183.8
20010301 20010331   477.3
20010401 20010430    37.4
20010501 20010531   375.0
20010601 20010630     3.6
20010701 20010731    78.2
20010801 20010831    33.2
20010901 20010930    30.2
20011001 20011031    11.8
20011101 20011130   139.4
20011201 20011231    66.0
20020101 20020131    46.8
20020201 20020228   244.9
20020301 20020331    92.6
20020401 20020430    59.6
20020501 20020531    44.0
20020601 20020630    77.6
20020701 20020731    27.0
20020801 20020831    41.0
20020901 20020930    44.1
20021001 20021031     5.8
20021101 20021130    44.2
20021201 20021231   196.0
20030101 20030131    24.6
20030201 20030228    91.5
20030301 20030331    77.8
20030401 20030430   156.7
20030501 20030531   206.4
20030601 20030630    14.0
20030701 20030731    60.8
20030801 20030831    32.3
20030901 20030930     0.0
20031001 20031031    90.2
20031101 20031130   130.4
20031201 20031231     9.0
20040101 20040131   156.8
20040201 20040229   146.8
20040301 20040331   281.0
20040401 20040430    17.6
20040501 20040531    22.4
20040601 20040630    12.4
20040701 20040731    93.8
20040801 20040831    62.6
20040901 20040930    70.6
20041001 20041031   230.2
20041101 20041130    62.8
20041201 20041231   104.6
20050101 20050131    78.5
20050201 20050228   119.0
20050301 20050331   290.2
20050401 20050430    31.8
20050501 20050531   118.6
20050601 20050630 99999.9
20050701 20050731    31.1
20050801 20050831     0.0
20050901 20050930     4.2
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228   108.0
20060301 20060331    60.4
20060401 20060430    67.6
20060501 20060531    40.0
20060601 20060630 99999.9
20060701 20060731    97.2
20060801 20060831    59.8
20060901 20060930   123.8
20061001 20061031    14.2
20061101 20061130   177.0
20061201 20061231    97.8
20070101 20070131    20.2
20070201 20070228    69.6
20070301 20070331   115.0
20070401 20070430    86.8
20070501 20070531    71.2
20070601 20070630   328.0
20070701 20070731    39.6
20070801 20070831   110.0
20070901 20070930    33.0
20071001 20071031    20.4
20071101 20071130   144.0
20071201 20071231   120.4
20080101 20080131   150.2
20080201 20080229   206.2
20080301 20080331    38.2
20080401 20080430   303.6
20080501 20080531    42.6
20080601 20080630   100.0
20080701 20080731    54.8
20080801 20080831    34.6
20080901 20080930   159.0
20081001 20081031    63.8
20081101 20081130    91.6
20081201 20081231    37.6
20090101 20090131    31.8
20090201 20090228   278.2
20090301 20090331   145.2
20090401 20090430   207.0
20090501 20090531   111.0
20090601 20090630    93.6
20090701 20090731    47.0
20090801 20090831     3.2
20090901 20090930    10.4
20091001 20091031   108.2
20091101 20091130   100.2
20091201 20091231   142.0
20100101 20100131    78.6
20100201 20100228    76.0
20100301 20100331   116.8
20100401 20100430    18.8
20100501 20100531    75.8
20100601 20100630   130.8
20100701 20100731    99.6
20100801 20100831    63.6
20100901 20100930    33.2
20101001 20101031    82.8
20101101 20101130   229.2
20101201 20101231    63.8
20110101 20110131    58.8
20110201 20110228    96.8
20110301 20110331    95.6
20110401 20110430   166.6
20110501 20110531   145.4
20110601 20110630   237.6
20110701 20110731   131.4
20110801 20110831    76.4
20110901 20110930   113.8
20111001 20111031    81.8
20111101 20111130   169.2
20111201 20111231   146.2
20120101 20120131    91.4
20120201 20120229   302.6
20120301 20120331    89.2
20120401 20120430    81.8
20120501 20120531    19.4
20120601 20120630   108.6
20120701 20120731    78.4
20120801 20120831    41.4
20120901 20120930    18.2
20121001 20121031    19.0
20121101 20121130    37.6
20121201 20121231    93.8
20130101 20130131   156.8
20130201 20130228   182.2
20130301 20130331   192.8
20130401 20130430   132.2
20130501 20130531    67.6
20130601 20130630   134.0
20130701 20130731    49.4
20130801 20130831     8.4
20130901 20130930    19.4
20131001 20131031    53.0
20131101 20131130   285.4
20131201 20131231    50.2
20140101 20140131    14.6
20140201 20140228    65.2
20140301 20140331    97.4
20140401 20140430    79.8
20140501 20140531    25.4
20140601 20140630    37.8
20140701 20140731    28.6
20140801 20140831   142.2
20140901 20140930    73.6
20141001 20141031    36.0
20141101 20141130    40.2
20141201 20141231   163.8
20150101 20150131   140.2
20150201 20150228    46.8
20150301 20150331   144.6
20150401 20150430   255.0
20150501 20150531   127.4
20150601 20150630    39.2
20150701 20150731    30.2
20150801 20150831    68.8
20150901 20150930    99.0
20151001 20151031    36.8
20151101 20151130   130.8
20151201 20151231    79.6
20160101 20160131   303.4
20160201 20160229    71.2
20160301 20160331    47.4
20160401 20160430    31.2
20160501 20160531    16.6
20160601 20160630   150.6
20160701 20160731    57.8
20160801 20160831    89.4
20160901 20160930    72.4
20161001 20161031    51.4
20161101 20161130    83.2
20161201 20161231    52.2
20170101 20170131    57.6
20170201 20170228   100.2
20170301 20170331   323.8
20170401 20170430    87.4
20170501 20170531    20.4
20170601 20170630   133.0
20170701 20170731    10.6
20170801 20170831    22.0
20170901 20170930     9.2
20171001 20171031    76.0
20171101 20171130    44.4
20171201 20171231    64.4
20180101 20180131    27.4
