PRCP       041079 19100101 20080430 missing_value=99999.9 PASSCHENDAELE                             
20050701 20050731    26.0
20050801 20050831    22.0
20050901 20050930    50.2
20051001 20051031   184.2
20051101 20051130   104.0
20051201 20051231    82.8
20060101 20060131 99999.9
20060201 20060228   107.0
20060301 20060331    28.4
20060401 20060430    60.8
20060501 20060531    20.8
20060601 20060630    22.4
20060701 20060731    58.8
20060801 20060831    35.6
20060901 20060930    42.6
20061001 20061031     4.4
20061101 20061130   125.8
20061201 20061231    55.6
20070101 20070131   109.0
20070201 20070228    54.8
20070301 20070331    66.6
20070401 20070430    26.8
20070501 20070531    12.8
20070601 20070630   156.2
20070701 20070731    10.4
20070801 20070831    75.8
20070901 20070930    25.8
20071001 20071031   133.2
20071101 20071130   118.0
20071201 20071231   129.4
20080101 20080131   192.8
20080201 20080229   175.6
20080301 20080331     9.0
20080401 20080430    38.2
