PRCP       041079 19100101 20080430 missing_value=99999.9 PASSCHENDAELE                             
19311201 19311231    95.7
19320101 19320131     9.9
19320201 19320229    17.8
19320301 19320331    13.8
19320401 19320430   138.1
19320501 19320531    36.5
19320601 19320630    21.2
19320701 19320731    26.9
19320801 19320831    14.9
19320901 19320930    65.6
19321001 19321031   114.1
19321101 19321130    98.8
19321201 19321231    37.9
19330101 19330131   172.8
19330201 19330228    39.1
19330301 19330331    17.8
19330401 19330430    47.9
19330501 19330531    39.1
19330601 19330630    55.8
19330701 19330731    83.8
19330801 19330831    31.4
19330901 19330930    67.3
19331001 19331031    96.9
19331101 19331130   177.3
19331201 19331231   126.1
19340101 19340131   101.9
19340201 19340228    60.9
19340301 19340331    10.7
19340401 19340430    68.6
19340501 19340531     0.0
19340601 19340630    29.3
19340701 19340731    95.6
19340801 19340831    65.2
19340901 19340930    68.3
19341001 19341031   115.3
19341101 19341130    72.8
19341201 19341231   170.3
19350101 19350131   103.5
19350201 19350228    52.8
19350301 19350331     2.5
19350401 19350430    10.7
19350501 19350531    29.7
19350601 19350630     1.5
19350701 19350731    62.4
19350801 19350831    19.7
19350901 19350930   103.5
19351001 19351031    84.3
19351101 19351130    21.9
19351201 19351231    58.4
19360101 19360131    38.6
19360201 19360229     6.4
19360301 19360331    93.5
19360401 19360430    13.8
19360501 19360531    19.8
19360601 19360630    29.5
19360701 19360731    88.3
19360801 19360831    18.0
19360901 19360930    27.7
19361001 19361031    13.7
19361101 19361130    27.2
19361201 19361231   125.7
19370101 19370131   138.5
19370201 19370228    32.7
19370301 19370331   115.1
19370401 19370430    20.6
19370501 19370531     4.1
19370601 19370630    32.4
19370701 19370731    30.0
19370801 19370831    15.4
19370901 19370930    12.2
19371001 19371031    50.0
19371101 19371130   166.0
19371201 19371231   109.7
19380101 19380131    73.2
19380201 19380228    53.9
19380301 19380331    19.6
19380401 19380430    31.8
19380501 19380531    84.6
19380601 19380630     6.6
19380701 19380731    58.2
19380801 19380831    74.9
19380901 19380930    11.5
19381001 19381031    90.5
19381101 19381130   101.9
19381201 19381231    23.1
19390101 19390131    97.6
19390201 19390228    12.7
19390301 19390331   144.5
19390401 19390430    71.5
19390501 19390531     5.1
19390601 19390630    63.8
19390701 19390731    50.9
19390801 19390831    57.1
19390901 19390930    35.1
19391001 19391031    29.7
19391101 19391130    69.2
19391201 19391231   142.3
19400101 19400131    98.1
19400201 19400229   148.7
19400301 19400331    83.9
19400401 19400430     7.9
19400501 19400531    26.9
19400601 19400630    28.9
19400701 19400731     0.0
19400801 19400831     6.4
19400901 19400930    41.4
19401001 19401031    30.5
19401101 19401130    46.7
19401201 19401231    91.2
19410101 19410131   150.8
19410201 19410228    37.3
19410301 19410331    97.1
19410401 19410430     8.7
19410501 19410531    35.1
19410601 19410630   109.8
19410701 19410731    33.7
19410801 19410831    12.7
19410901 19410930     3.3
19411001 19411031    51.9
19411101 19411130   102.1
19411201 19411231    15.2
19420101 19420131    70.1
19420201 19420228   201.5
19420301 19420331    76.5
19420401 19420430     0.0
19420501 19420531    61.7
19420601 19420630    28.7
19420701 19420731    76.5
19420801 19420831    14.9
19420901 19420930    67.8
19421001 19421031     0.8
19421101 19421130    31.3
19421201 19421231   158.5
19430101 19430131    62.8
19430201 19430228   175.6
19430301 19430331    24.6
19430401 19430430    56.9
19430501 19430531    23.9
19430601 19430630     3.6
19430701 19430731    42.4
19430801 19430831    69.1
19430901 19430930    77.2
19431001 19431031    55.6
19431101 19431130   186.3
19431201 19431231   123.6
19440101 19440131   170.6
19440201 19440229    88.9
19440301 19440331     1.3
19440401 19440430    20.5
19440501 19440531     0.0
19440601 19440630    10.0
19440701 19440731    66.1
19440801 19440831    64.7
19440901 19440930    41.2
19441001 19441031    22.8
19441101 19441130    97.8
19441201 19441231    93.2
19450101 19450131    82.3
19450201 19450228   221.4
19450301 19450331     4.1
19450401 19450430    50.4
19450501 19450531    39.3
19450601 19450630   177.8
19450701 19450731    73.9
19450801 19450831    74.7
19450901 19450930    15.6
19451001 19451031    32.7
19451101 19451130    86.7
19451201 19451231    99.1
19460101 19460131   268.2
19460201 19460228    80.5
19460301 19460331    96.3
19460401 19460430    32.1
19460501 19460531    26.2
19460601 19460630    10.1
19460701 19460731     5.6
19460801 19460831     0.0
19460901 19460930   132.5
19461001 19461031    42.7
19461101 19461130    89.4
19461201 19461231   103.8
19470101 19470131   231.3
19470201 19470228    90.5
19470301 19470331    60.2
19470401 19470430   127.3
19470501 19470531    50.1
19470601 19470630    50.3
19470701 19470731    26.6
19470801 19470831    25.8
19470901 19470930   100.0
19471001 19471031   116.9
19471101 19471130   158.5
19471201 19471231   187.0
19480101 19480131    52.1
19480201 19480229    54.4
19480301 19480331   110.6
19480401 19480430    23.6
19480501 19480531    66.6
19480601 19480630   168.0
19480701 19480731    51.2
19480801 19480831    24.3
19480901 19480930    63.2
19481001 19481031    16.5
19481101 19481130   101.4
19481201 19481231   130.0
19490101 19490131    59.4
19490201 19490228   210.6
19490301 19490331    89.5
19490401 19490430     9.6
19490501 19490531    34.2
19490601 19490630    88.3
19490701 19490731    52.4
19490801 19490831    45.5
19490901 19490930    72.1
19491001 19491031   149.7
19491101 19491130   113.9
19491201 19491231    38.2
19500101 19500131    51.7
19500201 19500228   157.9
19500301 19500331    68.9
19500401 19500430    44.6
19500501 19500531    44.0
19500601 19500630   301.7
19500701 19500731   137.2
19500801 19500831    30.3
19500901 19500930   113.8
19501001 19501031   172.8
19501101 19501130   122.5
19501201 19501231    33.2
19510101 19510131   256.7
19510201 19510228    91.9
19510301 19510331    64.2
19510401 19510430    58.7
19510501 19510531    31.3
19510601 19510630   152.2
19510701 19510731    10.5
19510801 19510831    53.6
19510901 19510930    53.8
19511001 19511031    49.6
19511101 19511130   120.5
19511201 19511231    75.6
19520101 19520131    31.2
19520201 19520229   137.4
19520301 19520331    84.0
19520401 19520430    65.4
19520501 19520531   142.8
19520601 19520630    62.8
19520701 19520731    26.0
19520801 19520831    55.2
19520901 19520930    35.1
19521001 19521031   199.9
19521101 19521130    47.0
19521201 19521231    70.6
19530101 19530131    66.3
19530201 19530228    98.2
19530301 19530331    55.3
19530401 19530430    14.0
19530501 19530531    36.4
19530601 19530630     0.0
19530701 19530731    11.4
19530801 19530831    59.7
19530901 19530930     0.0
19531001 19531031    45.7
19531101 19531130    75.1
19531201 19531231    11.2
19540101 19540131    56.4
19540201 19540228   292.7
19540301 19540331     5.1
19540401 19540430     9.2
19540501 19540531    22.8
19540601 19540630    44.1
19540701 19540731    47.2
19540801 19540831    60.0
19540901 19540930    47.4
19541001 19541031   223.2
19541101 19541130   132.4
19541201 19541231    91.4
19550101 19550131    65.6
19550201 19550228   108.3
19550301 19550331    74.7
19550401 19550430    64.7
19550501 19550531   109.0
19550601 19550630    25.9
19550701 19550731    57.1
19550801 19550831    44.7
19550901 19550930    45.5
19551001 19551031   105.3
19551101 19551130    14.7
