PRCP       007053 19070101 20121231 missing_value=99999.9 MOUNT AUGUSTUS                            
19281201 19281231     7.9
19290101 19290131    10.5
19290201 19290228    92.7
19290301 19290331    72.1
19290401 19290430     0.0
19290501 19290531    69.7
19290601 19290630     7.1
19290701 19290731     0.0
19290801 19290831    27.5
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     0.0
19291201 19291231     0.0
19300101 19300131     3.3
19300201 19300228    10.7
19300301 19300331    88.5
19300401 19300430    45.7
19300501 19300531    32.5
19300601 19300630     5.6
19300701 19300731     0.0
19300801 19300831     7.4
19300901 19300930     0.0
19301001 19301031     4.3
19301101 19301130     0.0
19301201 19301231    77.5
19310101 19310131     4.8
19310201 19310228    13.6
19310301 19310331    85.9
19310401 19310430    29.2
19310501 19310531   134.4
19310601 19310630    98.0
19310701 19310731    41.2
19310801 19310831    17.8
19310901 19310930     0.0
19311001 19311031    28.9
19311101 19311130     0.0
19311201 19311231     0.0
19320101 19320131    43.7
19320201 19320229     0.0
19320301 19320331     9.6
19320401 19320430    18.1
19320501 19320531    14.7
19320601 19320630     0.8
19320701 19320731     0.0
19320801 19320831    27.5
19320901 19320930     0.0
19321001 19321031     2.4
19321101 19321130     0.0
19321201 19321231    29.7
19330101 19330131    11.2
19330201 19330228    10.1
19330301 19330331   163.3
19330401 19330430    15.7
19330501 19330531    22.3
19330601 19330630     3.8
19330701 19330731    37.3
19330801 19330831    21.6
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130     0.0
19331201 19331231     8.9
19340101 19340131    74.2
19340201 19340228    41.4
19340301 19340331   101.7
19340401 19340430    39.6
19340501 19340531     4.9
19340601 19340630    19.1
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     5.1
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231     0.0
19350101 19350131    84.2
19350201 19350228    55.7
19350301 19350331    17.5
19350401 19350430    14.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     2.8
19350801 19350831     9.2
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     0.8
19351201 19351231     0.8
19360101 19360131    13.4
19360201 19360229    24.4
19360301 19360331     5.9
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     2.6
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     1.8
19361001 19361031     0.0
19361101 19361130     3.0
19361201 19361231     3.8
19370101 19370131    22.4
19370201 19370228    10.1
19370301 19370331     6.3
19370401 19370430    31.7
19370501 19370531    39.2
19370601 19370630     6.9
19370701 19370731     0.0
19370801 19370831     0.6
19370901 19370930     0.0
19371001 19371031     2.0
19371101 19371130    17.8
19371201 19371231     6.3
19380101 19380131    38.5
19380201 19380228    24.7
19380301 19380331    14.3
19380401 19380430     1.0
19380501 19380531    29.2
19380601 19380630    10.2
19380701 19380731     2.5
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130     0.0
19381201 19381231    10.1
19390101 19390131    34.0
19390201 19390228    10.9
19390301 19390331    17.3
19390401 19390430     1.3
19390501 19390531     7.6
19390601 19390630     7.1
19390701 19390731     5.0
19390801 19390831     7.7
19390901 19390930     0.0
19391001 19391031     5.6
19391101 19391130    39.1
19391201 19391231     4.1
19400101 19400131    33.1
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     2.5
19400501 19400531     3.8
19400601 19400630     2.3
19400701 19400731    14.7
19400801 19400831     5.3
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    14.4
19401201 19401231     0.0
19410101 19410131     0.0
19410201 19410228     2.5
19410301 19410331    28.0
19410401 19410430    13.9
19410501 19410531    46.2
19410601 19410630     4.1
19410701 19410731    17.6
19410801 19410831    28.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    13.8
19411201 19411231    13.0
19420101 19420131    72.8
19420201 19420228   140.4
19420301 19420331    99.8
19420401 19420430     0.0
19420501 19420531   127.0
19420601 19420630    47.6
19420701 19420731    16.3
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231     0.0
19430101 19430131    46.3
19430201 19430228    91.5
19430301 19430331    11.5
19430401 19430430     0.0
19430501 19430531     0.0
19430601 19430630    20.6
19430701 19430731     7.6
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    14.5
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430    30.7
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     5.1
19440801 19440831     2.3
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     9.4
19441201 19441231     0.0
19450101 19450131    22.1
19450201 19450228     4.1
19450301 19450331     6.6
19450401 19450430     0.0
19450501 19450531     5.3
19450601 19450630    34.8
19450701 19450731    26.7
19450801 19450831     8.4
19450901 19450930     0.5
19451001 19451031     0.5
19451101 19451130     0.0
19451201 19451231     6.4
19460101 19460131     5.1
19460201 19460228    45.3
19460301 19460331    77.0
19460401 19460430    56.7
19460501 19460531     0.0
19460601 19460630    10.2
19460701 19460731    16.1
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     0.0
19461201 19461231     0.0
19470101 19470131     8.1
19470201 19470228   112.3
19470301 19470331    45.9
19470401 19470430     0.0
19470501 19470531    44.9
19470601 19470630     7.6
19470701 19470731    42.0
19470801 19470831    23.1
19470901 19470930     0.0
19471001 19471031    30.5
19471101 19471130     0.0
19471201 19471231     0.0
19480101 19480131     7.6
19480201 19480229   188.2
19480301 19480331    24.4
19480401 19480430    61.3
19480501 19480531     1.0
19480601 19480630    75.3
19480701 19480731    45.5
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     1.3
19481101 19481130     0.0
19481201 19481231    19.1
19490101 19490131     6.9
19490201 19490228   215.5
19490301 19490331     0.0
19490401 19490430    33.3
19490501 19490531    43.2
19490601 19490630    45.4
19490701 19490731     0.8
19490801 19490831     0.0
19490901 19490930    12.2
19491001 19491031     0.5
19491101 19491130    28.7
19491201 19491231    20.9
19500101 19500131     4.3
19500201 19500228     2.5
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    17.6
19500601 19500630     6.7
19500701 19500731     7.9
19500801 19500831     0.8
19500901 19500930     0.0
19501001 19501031     0.0
19501101 19501130     3.3
19501201 19501231     0.0
19510101 19510131    24.9
19510201 19510228    78.7
19510301 19510331     0.5
19510401 19510430     9.5
19510501 19510531     0.0
19510601 19510630   143.6
19510701 19510731    10.4
19510801 19510831     2.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131   114.0
19520201 19520229    45.8
19520301 19520331    13.5
19520401 19520430     0.0
19520501 19520531    67.6
19520601 19520630     0.0
19520701 19520731    41.6
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131    21.5
19530201 19530228     0.0
19530301 19530331    25.2
19530401 19530430     2.5
19530501 19530531    32.6
19530601 19530630    12.2
19530701 19530731    14.9
