PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
19861001 19861031    28.1
19861101 19861130     1.6
19861201 19861231    64.3
19870101 19870131    59.3
19870201 19870228   115.6
19870301 19870331     3.8
19870401 19870430     2.4
19870501 19870531     4.2
19870601 19870630    49.4
19870701 19870731     0.0
19870801 19870831     2.1
19870901 19870930     1.2
19871001 19871031     1.6
19871101 19871130    16.6
19871201 19871231    66.0
19880101 19880131     1.0
19880201 19880229     1.0
19880301 19880331    12.8
19880401 19880430    13.2
19880501 19880531    10.0
19880601 19880630     0.0
19880701 19880731     7.6
19880801 19880831    28.8
19880901 19880930     5.0
19881001 19881031     3.0
19881101 19881130     2.0
19881201 19881231    58.9
19890101 19890131    12.2
19890201 19890228     0.0
19890301 19890331    19.6
19890401 19890430   116.6
19890501 19890531   105.4
19890601 19890630     5.6
19890701 19890731     5.8
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    95.4
19891101 19891130    80.5
19891201 19891231    35.9
19900101 19900131    15.0
19900201 19900228    28.2
19900301 19900331    42.9
19900401 19900430   179.0
19900501 19900531    77.0
19900601 19900630     9.0
19900701 19900731    14.0
19900801 19900831     6.0
19900901 19900930     0.0
19901001 19901031    11.8
19901101 19901130     4.3
19901201 19901231     0.0
19910101 19910131    57.4
19910201 19910228   235.7
19910301 19910331     0.0
19910401 19910430     1.0
19910501 19910531     0.8
19910601 19910630     6.0
19910701 19910731     2.0
19910801 19910831     0.0
19910901 19910930     1.4
19911001 19911031     6.2
19911101 19911130    45.8
19911201 19911231     8.4
19920101 19920131    23.4
19920201 19920229    49.8
19920301 19920331     0.0
19920401 19920430     5.4
19920501 19920531    14.8
19920601 19920630     1.4
19920701 19920731     4.6
19920801 19920831     6.6
19920901 19920930    16.6
19921001 19921031    21.2
19921101 19921130    35.9
19921201 19921231    10.6
19930101 19930131    81.0
19930201 19930228     4.3
19930301 19930331    27.5
19930401 19930430     0.0
19930501 19930531    13.8
19930601 19930630    11.8
19930701 19930731    21.0
19930801 19930831    60.4
19930901 19930930    17.0
19931001 19931031    18.6
19931101 19931130     9.2
19931201 19931231    30.2
19940101 19940131     4.4
19940201 19940228    57.2
19940301 19940331    65.2
19940401 19940430     0.0
19940501 19940531     0.2
19940601 19940630    10.0
19940701 19940731     0.8
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031    12.0
19941101 19941130    36.0
19941201 19941231     4.4
19950101 19950131   118.0
19950201 19950228    16.0
19950301 19950331    12.4
19950401 19950430     0.0
19950501 19950531    82.6
19950601 19950630     5.4
19950701 19950731     0.6
19950801 19950831     2.6
19950901 19950930     9.4
19951001 19951031    36.8
19951101 19951130    41.0
19951201 19951231     5.4
19960101 19960131    20.1
19960201 19960229     4.7
19960301 19960331    41.9
19960401 19960430    12.2
19960501 19960531     0.0
19960601 19960630     3.0
19960701 19960731    46.9
19960801 19960831    37.1
19960901 19960930    10.8
19961001 19961031    23.2
19961101 19961130     9.0
19961201 19961231    26.4
19970101 19970131    96.3
19970201 19970228   136.7
19970301 19970331    41.4
19970401 19970430     0.0
19970501 19970531    27.9
19970601 19970630    17.2
19970701 19970731     9.4
19970801 19970831     0.0
19970901 19970930    10.6
19971001 19971031     1.4
19971101 19971130    34.5
19971201 19971231    35.4
19980101 19980131   114.0
19980201 19980228    20.5
19980301 19980331     0.6
19980401 19980430    67.3
19980501 19980531    10.9
19980601 19980630    40.5
19980701 19980731    77.4
19980801 19980831    20.8
19980901 19980930    35.4
19981001 19981031    12.3
19981101 19981130    22.3
19981201 19981231    13.6
19990101 19990131    78.8
19990201 19990228     3.0
19990301 19990331    99.6
19990401 19990430    11.2
19990501 19990531     4.6
19990601 19990630    12.8
19990701 19990731     0.0
19990801 19990831     4.3
19990901 19990930     8.2
19991001 19991031    11.0
19991101 19991130   118.5
19991201 19991231    74.3
20000101 20000131     3.8
20000201 20000229    84.5
20000301 20000331    15.9
20000401 20000430    75.9
20000501 20000531    25.6
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     1.8
20000901 20000930     0.0
20001001 20001031    25.8
20001101 20001130   112.7
20001201 20001231    95.0
20010101 20010131    19.4
20010201 20010228    48.7
20010301 20010331    24.8
20010401 20010430     0.2
20010501 20010531     0.0
20010601 20010630    61.9
20010701 20010731     3.5
20010801 20010831     0.0
20010901 20010930     2.0
20011001 20011031    21.4
20011101 20011130    26.8
20011201 20011231     6.9
20020101 20020131    41.6
20020201 20020228    10.8
20020301 20020331     0.0
20020401 20020430     3.4
20020501 20020531     2.3
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     5.9
20021001 20021031     0.0
20021101 20021130     0.8
20021201 20021231     2.0
20030101 20030131     8.3
20030201 20030228   132.7
20030301 20030331    36.7
20030401 20030430    14.6
20030501 20030531     9.2
20030601 20030630     2.5
20030701 20030731    20.5
20030801 20030831    15.2
20030901 20030930     0.0
20031001 20031031    16.4
20031101 20031130     7.2
20031201 20031231     3.8
20040101 20040131   113.9
20040201 20040229    44.4
20040301 20040331     3.6
20040401 20040430    22.8
20040501 20040531    21.7
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831    22.0
20040901 20040930    12.1
20041001 20041031     0.0
20041101 20041130    11.6
20041201 20041231     5.0
20050101 20050131     3.7
20050201 20050228     7.0
20050301 20050331     0.0
20050401 20050430     2.8
20050501 20050531     2.0
20050601 20050630    73.3
20050701 20050731     3.4
20050801 20050831    16.1
20050901 20050930     0.8
20051001 20051031     9.1
20051101 20051130    23.5
20051201 20051231     4.0
20060101 20060131     0.0
20060201 20060228    88.8
20060301 20060331    43.6
20060401 20060430     1.2
20060501 20060531     0.0
20060601 20060630    17.7
20060701 20060731    38.1
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     0.8
20061101 20061130     0.6
20061201 20061231    38.7
20070101 20070131   136.9
20070201 20070228     9.0
20070301 20070331    11.2
20070401 20070430     4.8
20070501 20070531    26.4
20070601 20070630     3.1
20070701 20070731     0.0
20070801 20070831     0.6
20070901 20070930     0.0
20071001 20071031    12.6
20071101 20071130    27.5
20071201 20071231    74.6
20080101 20080131     4.0
20080201 20080229    17.0
20080301 20080331     5.9
20080401 20080430     0.0
20080501 20080531     3.4
20080601 20080630    34.7
20080701 20080731     0.0
20080801 20080831    13.0
20080901 20080930    10.0
20081001 20081031     5.8
20081101 20081130    51.0
20081201 20081231    12.3
20090101 20090131   130.0
20090201 20090228     7.6
20090301 20090331     1.4
20090401 20090430     9.8
20090501 20090531    30.3
20090601 20090630    38.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     1.0
20091001 20091031     0.4
20091101 20091130    59.0
20091201 20091231    65.0
20100101 20100131    30.9
20100201 20100228    82.9
20100301 20100331   239.7
20100401 20100430    30.9
20100501 20100531    16.3
20100601 20100630     0.4
20100701 20100731    44.8
20100801 20100831     9.5
20100901 20100930    56.3
20101001 20101031    49.1
20101101 20101130    89.1
20101201 20101231    81.8
20110101 20110131    68.0
20110201 20110228    74.1
20110301 20110331   332.1
20110401 20110430     0.4
20110501 20110531     4.8
20110601 20110630     9.4
20110701 20110731    13.8
20110801 20110831     0.0
20110901 20110930    11.2
20111001 20111031     4.2
20111101 20111130    29.9
20111201 20111231    75.4
20120101 20120131    42.8
20120201 20120229    15.5
20120301 20120331   184.0
20120401 20120430     1.8
20120501 20120531    39.0
20120601 20120630     2.6
20120701 20120731    19.6
20120801 20120831     0.0
20120901 20120930     4.3
20121001 20121031     6.4
20121101 20121130    15.4
20121201 20121231     9.4
20130101 20130131     5.4
20130201 20130228    21.1
20130301 20130331    17.0
20130401 20130430     1.6
20130501 20130531    27.8
20130601 20130630     0.0
20130701 20130731     1.2
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031     0.0
20131101 20131130     6.0
20131201 20131231    15.0
20140101 20140131    23.8
20140201 20140228   109.5
20140301 20140331    13.0
20140401 20140430     3.8
20140501 20140531     1.8
20140601 20140630    29.8
20140701 20140731     0.8
20140801 20140831    29.0
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130    15.6
20141201 20141231    83.2
20150101 20150131    44.1
20150201 20150228     0.7
20150301 20150331     6.0
20150401 20150430     8.4
20150501 20150531     5.6
20150601 20150630    29.0
20150701 20150731     0.0
20150801 20150831    11.2
20150901 20150930     0.0
20151001 20151031     0.0
20151101 20151130    24.4
20151201 20151231    30.2
20160101 20160131   149.4
20160201 20160229    42.8
20160301 20160331    21.2
20160401 20160430     0.0
20160501 20160531    32.6
20160601 20160630    61.8
20160701 20160731    32.6
20160801 20160831    62.4
20160901 20160930    80.6
20161001 20161031    14.6
20161101 20161130     7.6
20161201 20161231    28.4
20170101 20170131    78.2
20170201 20170228     0.0
20170301 20170331    14.2
20170401 20170430     0.0
20170501 20170531     5.4
20170601 20170630     0.8
20170701 20170731     6.4
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031    24.8
20171101 20171130    24.5
20171201 20171231    24.2
