PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
19121201 19121231    23.3
19130101 19130131    52.7
19130201 19130228    99.0
19130301 19130331    66.4
19130401 19130430    46.4
19130501 19130531     0.0
19130601 19130630     5.8
19130701 19130731     1.5
19130801 19130831     0.0
19130901 19130930     7.2
19131001 19131031     5.4
19131101 19131130     7.2
19131201 19131231    20.1
19140101 19140131    42.4
19140201 19140228    24.4
19140301 19140331    53.6
19140401 19140430     0.0
19140501 19140531    10.6
19140601 19140630    67.0
19140701 19140731    10.2
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     5.1
19141101 19141130    22.1
19141201 19141231    22.0
19150101 19150131     4.1
19150201 19150228     5.6
19150301 19150331     0.0
19150401 19150430     0.0
19150501 19150531    49.8
19150601 19150630     1.3
19150701 19150731     8.9
19150801 19150831     7.3
19150901 19150930    50.0
19151001 19151031     5.6
19151101 19151130     0.0
19151201 19151231   145.1
19160101 19160131    64.0
19160201 19160229    23.9
19160301 19160331    15.8
19160401 19160430    12.0
19160501 19160531     0.0
19160601 19160630    78.0
19160701 19160731    64.0
19160801 19160831    21.4
19160901 19160930     6.1
19161001 19161031    76.2
19161101 19161130    16.5
19161201 19161231   137.7
19170101 19170131    78.2
19170201 19170228   131.8
19170301 19170331    51.0
19170401 19170430     0.0
19170501 19170531     7.1
19170601 19170630     4.5
19170701 19170731     5.9
19170801 19170831    13.3
19170901 19170930    27.2
19171001 19171031     0.0
19171101 19171130    82.0
19171201 19171231    45.3
19180101 19180131   132.4
19180201 19180228     8.6
19180301 19180331    88.9
19180401 19180430    59.7
19180501 19180531    10.7
19180601 19180630     0.0
19180701 19180731    17.8
19180801 19180831    11.6
19180901 19180930     0.0
19181001 19181031     2.0
19181101 19181130    20.4
19181201 19181231    22.8
19190101 19190131    16.2
19190201 19190228    48.9
19190301 19190331     0.5
19190401 19190430    50.1
19190501 19190531     9.1
19190601 19190630     0.5
19190701 19190731     0.0
19190801 19190831     5.8
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231     7.9
19200101 19200131    22.3
19200201 19200229   120.7
