PRCP       037049 18870101 20171031 missing_value=99999.9 WARRNAMBOOL DOWNS                         
19820901 19820930     2.2
19821001 19821031     0.0
19821101 19821130    27.6
19821201 19821231    24.1
19830101 19830131     4.0
19830201 19830228    18.6
19830301 19830331    23.0
19830401 19830430    61.4
19830501 19830531    31.3
19830601 19830630    19.6
19830701 19830731     0.0
19830801 19830831    11.2
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130     6.1
19831201 19831231     2.2
19840101 19840131   182.2
19840201 19840229    75.5
19840301 19840331    14.4
19840401 19840430     2.6
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    50.9
19840801 19840831     0.0
19840901 19840930     9.2
19841001 19841031     1.0
19841101 19841130     6.6
19841201 19841231   110.6
19850101 19850131     0.0
19850201 19850228    12.2
19850301 19850331     5.0
19850401 19850430     4.6
19850501 19850531     0.0
19850601 19850630    48.2
19850701 19850731    10.6
19850801 19850831    11.2
19850901 19850930     0.0
19851001 19851031    78.7
19851101 19851130   119.9
19851201 19851231    38.3
19860101 19860131     5.3
19860201 19860228   157.8
19860301 19860331     0.0
19860401 19860430 99999.9
19860501 19860531 99999.9
19860601 19860630    12.0
19860701 19860731    28.4
19860801 19860831     3.0
19860901 19860930     0.0
19861001 19861031    29.2
19861101 19861130    95.8
19861201 19861231    55.1
19870101 19870131    93.2
19870201 19870228   127.7
19870301 19870331     6.6
19870401 19870430     4.0
19870501 19870531    15.4
19870601 19870630    37.8
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     7.2
19871001 19871031     0.0
19871101 19871130    51.6
19871201 19871231    32.2
19880101 19880131     0.6
19880201 19880229    23.4
19880301 19880331     2.8
19880401 19880430    47.6
19880501 19880531    38.4
19880601 19880630     0.0
19880701 19880731    48.4
19880801 19880831     9.4
19880901 19880930     2.0
19881001 19881031     0.0
19881101 19881130    15.6
19881201 19881231   123.2
19890101 19890131    19.4
19890201 19890228   158.4
19890301 19890331    38.8
19890401 19890430    32.4
19890501 19890531   101.4
19890601 19890630    20.6
19890701 19890731    13.2
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    14.4
19891101 19891130   247.6
19891201 19891231    13.2
19900101 19900131     4.3
19900201 19900228    19.6
19900301 19900331   119.0
19900401 19900430    58.4
19900501 19900531   107.0
19900601 19900630    18.8
19900701 19900731     0.0
19900801 19900831     4.8
19900901 19900930     0.0
19901001 19901031     5.6
19901101 19901130     0.0
19901201 19901231    16.0
19910101 19910131   135.0
19910201 19910228   173.8
19910301 19910331     4.6
19910401 19910430    15.2
19910501 19910531     0.0
19910601 19910630    14.6
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     4.4
19911101 19911130    20.2
19911201 19911231    61.6
19920101 19920131    11.4
19920201 19920229   235.8
19920301 19920331     1.8
19920401 19920430     0.0
19920501 19920531    93.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     6.0
19920901 19920930    31.0
19921001 19921031     6.0
19921101 19921130    17.4
19921201 19921231    12.8
19930101 19930131    77.4
19930201 19930228    48.0
19930301 19930331    10.6
19930401 19930430     0.0
19930501 19930531     5.4
19930601 19930630    10.0
19930701 19930731    21.8
19930801 19930831     8.0
19930901 19930930     0.0
19931001 19931031    23.8
19931101 19931130     4.0
19931201 19931231    36.0
19940101 19940131    39.6
19940201 19940228   144.8
19940301 19940331   157.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     1.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    15.2
19941201 19941231    23.2
19950101 19950131   127.6
19950201 19950228    57.0
19950301 19950331    50.6
19950401 19950430     0.0
19950501 19950531     9.6
19950601 19950630     0.0
19950701 19950731     2.0
19950801 19950831     0.0
19950901 19950930     7.0
19951001 19951031    26.8
19951101 19951130    21.3
19951201 19951231    40.2
19960101 19960131    52.8
19960201 19960229    21.6
19960301 19960331    65.4
19960401 19960430     3.8
19960501 19960531    14.2
19960601 19960630     3.8
19960701 19960731     8.4
19960801 19960831    52.2
19960901 19960930     1.8
19961001 19961031    27.4
19961101 19961130     4.0
19961201 19961231    74.4
19970101 19970131    56.2
19970201 19970228   120.2
19970301 19970331    40.2
19970401 19970430     0.0
19970501 19970531    22.6
19970601 19970630     1.2
19970701 19970731     8.2
19970801 19970831     0.0
19970901 19970930    12.8
19971001 19971031     6.2
19971101 19971130    25.6
19971201 19971231    53.0
19980101 19980131    47.2
19980201 19980228    39.0
19980301 19980331    10.4
19980401 19980430    49.8
19980501 19980531     5.0
19980601 19980630    35.8
19980701 19980731    12.4
19980801 19980831    21.4
19980901 19980930    22.4
19981001 19981031    54.4
19981101 19981130    65.1
19981201 19981231    32.0
19990101 19990131   144.2
19990201 19990228     3.6
19990301 19990331   121.0
19990401 19990430     5.2
19990501 19990531     7.4
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    13.4
19991101 19991130    81.8
19991201 19991231   141.2
20000101 20000131    37.6
20000201 20000229   223.3
20000301 20000331    49.0
20000401 20000430    67.4
20000501 20000531     7.6
20000601 20000630    26.4
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    37.4
20001101 20001130   161.6
20001201 20001231   201.6
20010101 20010131    11.4
20010201 20010228    31.2
20010301 20010331    27.4
20010401 20010430     1.4
20010501 20010531     0.0
20010601 20010630    12.4
20010701 20010731     4.0
20010801 20010831     0.0
20010901 20010930     2.2
20011001 20011031    39.4
20011101 20011130    63.8
20011201 20011231   140.8
20020101 20020131    24.4
20020201 20020228     4.2
20020301 20020331     0.0
20020401 20020430     0.8
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     0.8
20021201 20021231     2.6
20030101 20030131    22.4
20030201 20030228   152.6
20030301 20030331    29.0
20030401 20030430    25.8
20030501 20030531    19.2
20030601 20030630    17.4
20030701 20030731     0.0
20030801 20030831    21.2
20030901 20030930     6.2
20031001 20031031     5.0
20031101 20031130     0.0
20031201 20031231    23.6
20040101 20040131   217.2
20040201 20040229    41.0
20040301 20040331     1.2
20040401 20040430    39.6
20040501 20040531     9.2
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     3.0
20040901 20040930     1.2
20041001 20041031     0.0
20041101 20041130    17.0
20041201 20041231    40.8
20050101 20050131    60.6
20050201 20050228    52.8
20050301 20050331     0.0
20050401 20050430     0.0
20050501 20050531    29.2
20050601 20050630    88.2
20050701 20050731     3.2
20050801 20050831    25.8
20050901 20050930     2.0
20051001 20051031     2.6
20051101 20051130    26.8
20051201 20051231    14.6
20060101 20060131    17.8
20060201 20060228    22.8
20060301 20060331    19.0
20060401 20060430   111.6
20060501 20060531     5.8
20060601 20060630     4.2
20060701 20060731    14.6
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     0.0
20061101 20061130     0.0
20061201 20061231    21.8
20070101 20070131    84.4
20070201 20070228     3.4
20070301 20070331    83.2
20070401 20070430     0.0
20070501 20070531     2.8
20070601 20070630    53.6
20070701 20070731     0.0
20070801 20070831     6.0
20070901 20070930     0.0
20071001 20071031     5.6
20071101 20071130    35.0
20071201 20071231    66.6
20080101 20080131    20.6
20080201 20080229    34.2
20080301 20080331     0.0
20080401 20080430     0.0
20080501 20080531     2.4
20080601 20080630    10.6
20080701 20080731    26.6
20080801 20080831     0.0
20080901 20080930    32.8
20081001 20081031     0.0
20081101 20081130    22.0
20081201 20081231    45.4
20090101 20090131   114.0
20090201 20090228   111.4
20090301 20090331    28.6
20090401 20090430    22.0
20090501 20090531     0.4
20090601 20090630     0.2
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     1.0
20091101 20091130    18.8
20091201 20091231    51.2
20100101 20100131   165.4
20100201 20100228    53.4
20100301 20100331   108.4
20100401 20100430    52.8
20100501 20100531    16.4
20100601 20100630     3.4
20100701 20100731    13.4
20100801 20100831     2.0
20100901 20100930    37.4
20101001 20101031    72.2
20101101 20101130   120.2
20101201 20101231   133.6
20110101 20110131    59.8
20110201 20110228    38.4
20110301 20110331   122.4
20110401 20110430     0.0
20110501 20110531     0.0
20110601 20110630    35.6
20110701 20110731     6.2
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031     4.0
20111101 20111130    68.6
20111201 20111231   108.6
20120101 20120131    66.6
20120201 20120229    95.0
20120301 20120331    68.6
20120401 20120430    17.0
20120501 20120531     8.2
20120601 20120630     9.4
20120701 20120731    39.0
20120801 20120831     0.0
20120901 20120930     6.2
20121001 20121031     2.4
20121101 20121130    12.4
20121201 20121231    70.6
20130101 20130131     9.2
20130201 20130228    69.4
20130301 20130331     0.0
20130401 20130430     4.0
20130501 20130531     9.8
20130601 20130630     0.6
20130701 20130731     0.0
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031     0.0
20131101 20131130     0.1
20131201 20131231    19.8
20140101 20140131    12.2
20140201 20140228   161.0
20140301 20140331    19.0
20140401 20140430     5.4
20140501 20140531     0.0
20140601 20140630     1.8
20140701 20140731     0.0
20140801 20140831    13.8
20140901 20140930     0.0
20141001 20141031     2.2
20141101 20141130    30.6
20141201 20141231    11.8
20150101 20150131    75.4
20150201 20150228     7.2
20150301 20150331    18.2
20150401 20150430     0.0
20150501 20150531     3.0
20150601 20150630     3.2
20150701 20150731     0.0
20150801 20150831     5.4
20150901 20150930     3.0
20151001 20151031     2.6
20151101 20151130    29.6
20151201 20151231     9.8
20160101 20160131    69.2
20160201 20160229    10.8
20160301 20160331    66.4
20160401 20160430     0.0
20160501 20160531    19.6
20160601 20160630    82.6
20160701 20160731   159.0
20160801 20160831    47.2
20160901 20160930   134.4
20161001 20161031    11.2
20161101 20161130     5.0
20161201 20161231    56.4
20170101 20170131    38.4
20170201 20170228     3.2
20170301 20170331    11.4
20170401 20170430     0.0
20170501 20170531     0.0
20170601 20170630     0.0
20170701 20170731    26.0
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031    30.6
