PRCP       009519 19030901 20180131 missing_value=99999.9 CAPE NATURALISTE                          
19990601 19990630   236.8
19990701 19990731   239.4
19990801 19990831   137.2
19990901 19990930   123.6
19991001 19991031    71.6
19991101 19991130     0.0
19991201 19991231     8.6
20000101 20000131    54.6
20000201 20000229     4.6
20000301 20000331    10.0
20000401 20000430    60.6
20000501 20000531   103.2
20000601 20000630   144.6
20000701 20000731   214.4
20000801 20000831   134.6
20000901 20000930    95.8
20001001 20001031    32.8
20001101 20001130    22.0
20001201 20001231     4.0
20010101 20010131     0.8
20010201 20010228     8.2
20010301 20010331     6.8
20010401 20010430     7.2
20010501 20010531   189.0
20010601 20010630    84.2
20010701 20010731    67.6
20010801 20010831    75.0
20010901 20010930    99.8
20011001 20011031    20.8
20011101 20011130    22.2
20011201 20011231    27.6
20020101 20020131     0.6
20020201 20020228     5.2
20020301 20020331     5.2
20020401 20020430    65.8
20020501 20020531    54.4
20020601 20020630    91.8
20020701 20020731    77.8
20020801 20020831    57.8
20020901 20020930    28.6
20021001 20021031    48.2
20021101 20021130    19.4
20021201 20021231     4.2
20030101 20030131     3.6
20030201 20030228    24.8
20030301 20030331    23.0
20030401 20030430    34.0
20030501 20030531   113.6
20030601 20030630   145.4
20030701 20030731   126.2
20030801 20030831   141.8
20030901 20030930   108.4
20031001 20031031    29.2
20031101 20031130    20.4
20031201 20031231     3.2
20040101 20040131     0.0
20040201 20040229     4.0
20040301 20040331     9.4
20040401 20040430    14.4
20040501 20040531   130.4
20040601 20040630   119.8
20040701 20040731   109.8
20040801 20040831   153.2
20040901 20040930    34.4
20041001 20041031    30.2
20041101 20041130    33.8
20041201 20041231    11.8
20050101 20050131     0.4
20050201 20050228     1.2
20050301 20050331    34.6
20050401 20050430    44.8
20050501 20050531   112.4
20050601 20050630 99999.9
20050701 20050731    80.2
20050801 20050831    98.8
20050901 20050930    88.6
20051001 20051031    92.2
20051101 20051130    34.0
20051201 20051231    17.4
20060101 20060131    43.6
20060201 20060228     1.4
20060301 20060331    22.4
20060401 20060430    24.6
20060501 20060531    33.8
20060601 20060630    53.2
20060701 20060731   137.2
20060801 20060831   139.4
20060901 20060930    31.2
20061001 20061031    33.6
20061101 20061130    37.8
20061201 20061231     3.6
20070101 20070131    16.8
20070201 20070228     5.4
20070301 20070331    12.2
20070401 20070430    41.4
20070501 20070531    65.6
20070601 20070630   119.4
20070701 20070731   155.4
20070801 20070831   109.0
20070901 20070930   119.0
20071001 20071031    51.8
20071101 20071130     9.2
20071201 20071231    17.8
20080101 20080131     0.0
20080201 20080229     2.6
20080301 20080331    14.0
20080401 20080430    89.4
20080501 20080531   118.6
20080601 20080630   110.2
20080701 20080731   164.0
20080801 20080831    30.8
20080901 20080930    55.4
20081001 20081031    33.4
20081101 20081130    21.0
20081201 20081231    31.2
20090101 20090131     0.6
20090201 20090228     7.8
20090301 20090331    11.0
20090401 20090430     3.8
20090501 20090531    42.4
20090601 20090630   175.0
20090701 20090731   129.4
20090801 20090831    81.4
20090901 20090930   116.8
20091001 20091031    11.8
20091101 20091130    66.8
20091201 20091231     0.6
20100101 20100131     1.8
20100201 20100228     5.0
20100301 20100331    13.4
20100401 20100430    54.8
20100501 20100531   106.6
20100601 20100630    94.4
20100701 20100731   120.8
20100801 20100831    99.2
20100901 20100930    14.0
20101001 20101031    13.0
20101101 20101130    32.0
20101201 20101231    19.0
20110101 20110131    58.6
20110201 20110228     2.0
20110301 20110331     4.2
20110401 20110430    71.4
20110501 20110531    54.6
20110601 20110630    94.0
20110701 20110731   111.8
20110801 20110831    82.0
20110901 20110930    71.0
20111001 20111031    29.0
20111101 20111130    36.0
20111201 20111231    39.0
20120101 20120131     0.6
20120201 20120229    13.0
20120301 20120331     0.2
20120401 20120430    37.6
20120501 20120531    46.2
20120601 20120630   172.4
20120701 20120731    49.8
20120801 20120831    87.6
20120901 20120930   106.0
20121001 20121031    17.6
20121101 20121130    35.8
20121201 20121231    52.8
20130101 20130131     1.8
20130201 20130228     4.6
20130301 20130331    25.8
20130401 20130430    44.2
20130501 20130531   160.2
20130601 20130630    93.8
20130701 20130731   134.8
20130801 20130831   168.4
20130901 20130930   119.8
20131001 20131031    21.2
20131101 20131130    20.0
20131201 20131231     4.0
20140101 20140131     3.6
20140201 20140228     0.0
20140301 20140331    24.6
20140401 20140430    15.6
20140501 20140531   108.2
20140601 20140630    76.0
20140701 20140731   181.8
20140801 20140831    94.2
20140901 20140930    77.6
20141001 20141031    11.8
20141101 20141130    24.8
20141201 20141231     1.0
20150101 20150131     0.2
20150201 20150228     7.0
20150301 20150331    36.0
20150401 20150430    60.8
20150501 20150531   144.0
20150601 20150630    54.0
20150701 20150731   125.0
20150801 20150831   110.4
20150901 20150930    51.6
20151001 20151031    19.8
20151101 20151130     5.8
20151201 20151231     4.4
20160101 20160131    62.2
20160201 20160229     3.8
20160301 20160331    30.4
20160401 20160430    35.2
20160501 20160531   107.2
20160601 20160630    96.6
20160701 20160731   149.2
20160801 20160831   130.8
20160901 20160930    50.2
20161001 20161031    38.8
20161101 20161130     6.0
20161201 20161231     6.2
20170101 20170131     1.0
20170201 20170228    22.4
20170301 20170331    45.6
20170401 20170430     2.0
20170501 20170531    56.8
20170601 20170630    61.6
20170701 20170731   149.8
20170801 20170831   137.6
20170901 20170930    63.4
20171001 20171031    26.4
20171101 20171130     6.4
20171201 20171231    23.8
20180101 20180131    18.4
