PRCP       009519 19030901 20180131 missing_value=99999.9 CAPE NATURALISTE                          
19250801 19250831    48.1
19250901 19250930    86.2
19251001 19251031    59.9
19251101 19251130     8.5
19251201 19251231    73.7
19260101 19260131     1.0
19260201 19260228    20.2
19260301 19260331    22.4
19260401 19260430   154.1
19260501 19260531   156.2
19260601 19260630   123.4
19260701 19260731   196.5
19260801 19260831   104.7
19260901 19260930    88.6
19261001 19261031    82.2
19261101 19261130    22.8
19261201 19261231     8.4
19270101 19270131    30.3
19270201 19270228     4.3
19270301 19270331    80.8
19270401 19270430    38.2
19270501 19270531   113.1
19270601 19270630   190.3
19270701 19270731   128.4
19270801 19270831    80.1
19270901 19270930   103.0
19271001 19271031    35.5
19271101 19271130     5.6
19271201 19271231     2.9
19280101 19280131    27.8
19280201 19280229     6.4
19280301 19280331     1.6
19280401 19280430    25.7
19280501 19280531    93.3
19280601 19280630   134.3
19280701 19280731   164.3
19280801 19280831   143.4
19280901 19280930   111.9
19281001 19281031    85.7
19281101 19281130     6.5
19281201 19281231    16.1
19290101 19290131     0.6
19290201 19290228    24.0
19290301 19290331     6.7
19290401 19290430    46.4
19290501 19290531   183.3
19290601 19290630   214.2
19290701 19290731   151.7
19290801 19290831    93.5
19290901 19290930    40.7
19291001 19291031    30.7
19291101 19291130    73.0
19291201 19291231     9.1
19300101 19300131     0.8
19300201 19300228     2.3
19300301 19300331     4.9
19300401 19300430    29.4
19300501 19300531    71.6
19300601 19300630   262.8
19300701 19300731   158.3
19300801 19300831    55.1
19300901 19300930    66.8
19301001 19301031    47.9
19301101 19301130    25.4
19301201 19301231     9.3
19310101 19310131     5.6
19310201 19310228     5.3
19310301 19310331    12.2
19310401 19310430    43.4
19310501 19310531    78.2
19310601 19310630    97.0
19310701 19310731   160.6
19310801 19310831   143.0
19310901 19310930   101.9
19311001 19311031    40.5
19311101 19311130     1.3
19311201 19311231     5.3
19320101 19320131     7.6
19320201 19320229     0.3
19320301 19320331    41.1
19320401 19320430    32.3
19320501 19320531   173.7
19320601 19320630   244.6
19320701 19320731   188.0
19320801 19320831   116.0
19320901 19320930    42.7
19321001 19321031    52.4
19321101 19321130     9.9
19321201 19321231     1.6
19330101 19330131    11.2
19330201 19330228     2.6
19330301 19330331    34.9
19330401 19330430    24.1
19330501 19330531   100.1
19330601 19330630   220.1
19330701 19330731   128.8
19330801 19330831   141.1
19330901 19330930    73.0
19331001 19331031   116.8
19331101 19331130     5.6
19331201 19331231     2.8
19340101 19340131    13.9
19340201 19340228     5.4
19340301 19340331    66.7
19340401 19340430    40.4
19340501 19340531   119.4
19340601 19340630   227.3
19340701 19340731   181.0
19340801 19340831   108.0
19340901 19340930    79.2
19341001 19341031    43.6
19341101 19341130    22.5
19341201 19341231    19.1
19350101 19350131     6.2
19350201 19350228    22.2
19350301 19350331     2.5
19350401 19350430    26.8
19350501 19350531    65.2
19350601 19350630   159.0
19350701 19350731   217.0
19350801 19350831   107.6
19350901 19350930   100.3
19351001 19351031    56.2
19351101 19351130    13.1
19351201 19351231     8.4
19360101 19360131    14.3
19360201 19360229     1.0
19360301 19360331     7.9
19360401 19360430    26.2
19360501 19360531    97.9
19360601 19360630   168.7
19360701 19360731   124.9
19360801 19360831   128.0
19360901 19360930    48.1
19361001 19361031    33.9
19361101 19361130    13.0
19361201 19361231     0.8
19370101 19370131     1.6
19370201 19370228     8.5
19370301 19370331     7.1
19370401 19370430    69.1
19370501 19370531   148.8
19370601 19370630   170.0
19370701 19370731    93.2
19370801 19370831   120.8
19370901 19370930    65.4
19371001 19371031    33.6
19371101 19371130    11.5
19371201 19371231    12.4
19380101 19380131     1.3
19380201 19380228    16.5
19380301 19380331    28.7
19380401 19380430    32.2
19380501 19380531   111.6
19380601 19380630    85.7
19380701 19380731   161.5
19380801 19380831   110.8
19380901 19380930    69.2
19381001 19381031    51.2
19381101 19381130    25.6
19381201 19381231    14.4
19390101 19390131    13.0
19390201 19390228    24.0
19390301 19390331     0.6
19390401 19390430    23.7
19390501 19390531   127.6
19390601 19390630   214.4
19390701 19390731   205.9
19390801 19390831   173.5
19390901 19390930    21.3
19391001 19391031    57.5
19391101 19391130    36.9
19391201 19391231     2.5
19400101 19400131    10.2
19400201 19400229     3.9
19400301 19400331     5.3
19400401 19400430    25.0
19400501 19400531    91.8
19400601 19400630   128.9
19400701 19400731   153.2
19400801 19400831    57.5
19400901 19400930    53.5
19401001 19401031    51.4
19401101 19401130    15.2
19401201 19401231    14.7
19410101 19410131     1.2
19410201 19410228    10.7
19410301 19410331    24.4
19410401 19410430    76.0
19410501 19410531   113.4
19410601 19410630   220.0
19410701 19410731   158.0
19410801 19410831    99.5
19410901 19410930    77.2
19411001 19411031    39.4
19411101 19411130    31.5
19411201 19411231     4.6
19420101 19420131     2.4
19420201 19420228     6.6
19420301 19420331    49.2
19420401 19420430    84.0
19420501 19420531   165.5
19420601 19420630   242.7
19420701 19420731   131.8
19420801 19420831   105.7
19420901 19420930   100.4
19421001 19421031    48.8
19421101 19421130     6.3
19421201 19421231     6.5
19430101 19430131    15.3
19430201 19430228     1.9
19430301 19430331    93.8
19430401 19430430    98.1
19430501 19430531    73.0
19430601 19430630   143.1
19430701 19430731   119.7
19430801 19430831    91.1
19430901 19430930    97.7
19431001 19431031    15.8
19431101 19431130     8.5
19431201 19431231     5.9
19440101 19440131     1.4
19440201 19440229     0.8
19440301 19440331     8.7
19440401 19440430    34.3
19440501 19440531    89.6
19440601 19440630   163.6
19440701 19440731   144.4
19440801 19440831    90.0
19440901 19440930    46.3
19441001 19441031    33.8
19441101 19441130    54.5
19441201 19441231    52.2
19450101 19450131     5.9
19450201 19450228     4.9
19450301 19450331    31.5
19450401 19450430    35.4
19450501 19450531   131.9
19450601 19450630   229.7
19450701 19450731   165.5
19450801 19450831   162.4
19450901 19450930   116.8
19451001 19451031    24.7
19451101 19451130    21.5
19451201 19451231    23.5
19460101 19460131     3.2
19460201 19460228     2.6
19460301 19460331    17.0
19460401 19460430    53.9
19460501 19460531   103.1
19460601 19460630   179.4
19460701 19460731   194.5
19460801 19460831    63.8
19460901 19460930    35.6
19461001 19461031    14.5
19461101 19461130    47.2
19461201 19461231    24.9
19470101 19470131     2.6
19470201 19470228    13.7
19470301 19470331    10.3
19470401 19470430   101.2
19470501 19470531   176.0
19470601 19470630   214.4
19470701 19470731   135.6
19470801 19470831    75.6
19470901 19470930    71.3
19471001 19471031    96.7
19471101 19471130    13.3
19471201 19471231    21.9
19480101 19480131     4.4
19480201 19480229     0.0
19480301 19480331     9.0
19480401 19480430    43.6
19480501 19480531    44.5
19480601 19480630   119.3
19480701 19480731   174.8
19480801 19480831   106.2
19480901 19480930    87.9
19481001 19481031    29.7
19481101 19481130    33.7
19481201 19481231    26.3
19490101 19490131     4.8
19490201 19490228     0.0
19490301 19490331    28.7
19490401 19490430   128.6
19490501 19490531    41.2
19490601 19490630   108.7
19490701 19490731   164.8
19490801 19490831   151.3
19490901 19490930    71.6
19491001 19491031    73.0
19491101 19491130    28.7
19491201 19491231     0.0
19500101 19500131    11.5
19500201 19500228     2.6
19500301 19500331     0.8
19500401 19500430    16.6
19500501 19500531   174.2
19500601 19500630   178.3
19500701 19500731   150.0
19500801 19500831    95.2
19500901 19500930    92.4
19501001 19501031    40.8
19501101 19501130    42.4
19501201 19501231    16.1
19510101 19510131    25.4
19510201 19510228    38.4
19510301 19510331     3.6
19510401 19510430   109.7
19510501 19510531    80.1
19510601 19510630   222.4
19510701 19510731    83.0
19510801 19510831   185.3
19510901 19510930    67.0
19511001 19511031    46.0
19511101 19511130    21.9
19511201 19511231    23.8
19520101 19520131     5.3
19520201 19520229     1.3
19520301 19520331    24.4
19520401 19520430     5.7
19520501 19520531   162.7
19520601 19520630   174.8
19520701 19520731   267.1
19520801 19520831   123.6
19520901 19520930    57.9
19521001 19521031    49.0
19521101 19521130    22.1
19521201 19521231     8.2
19530101 19530131     3.6
19530201 19530228    22.3
19530301 19530331     2.1
19530401 19530430    18.3
19530501 19530531   110.5
19530601 19530630   267.5
19530701 19530731    84.2
19530801 19530831    58.5
19530901 19530930    39.4
19531001 19531031   134.5
19531101 19531130    24.8
19531201 19531231     4.6
19540101 19540131     8.9
19540201 19540228     2.8
19540301 19540331     7.8
19540401 19540430    33.3
19540501 19540531   112.9
19540601 19540630    76.0
19540701 19540731   157.9
19540801 19540831    68.8
19540901 19540930    43.7
19541001 19541031    54.9
19541101 19541130    42.2
19541201 19541231    14.3
19550101 19550131     8.7
19550201 19550228    26.9
19550301 19550331     1.5
19550401 19550430    70.6
19550501 19550531   103.0
19550601 19550630   115.7
19550701 19550731   143.2
19550801 19550831   222.1
19550901 19550930    67.1
19551001 19551031    83.9
19551101 19551130    10.1
19551201 19551231    19.7
19560101 19560131     0.0
19560201 19560229     0.8
19560301 19560331    57.7
19560401 19560430    28.7
19560501 19560531   209.4
19560601 19560630   178.9
19560701 19560731   141.3
19560801 19560831    42.0
19560901 19560930    66.4
19561001 19561031    24.7
19561101 19561130    25.9
19561201 19561231    12.3
19570101 19570131     2.6
19570201 19570228     1.0
19570301 19570331    53.8
19570401 19570430    80.3
19570501 19570531   127.0
19570601 19570630   264.1
19570701 19570731    86.6
19570801 19570831   131.5
19570901 19570930    39.4
19571001 19571031    32.4
19571101 19571130     3.9
19571201 19571231     3.8
19580101 19580131    30.6
19580201 19580228     4.9
19580301 19580331     3.0
19580401 19580430    19.0
19580501 19580531   110.3
19580601 19580630    97.9
19580701 19580731   248.6
19580801 19580831   121.3
19580901 19580930    31.0
19581001 19581031    36.7
19581101 19581130    24.4
19581201 19581231     3.9
19590101 19590131     6.4
19590201 19590228     3.9
19590301 19590331     6.4
19590401 19590430    35.9
19590501 19590531    35.4
19590601 19590630   184.8
19590701 19590731    95.6
19590801 19590831    62.7
19590901 19590930    35.6
19591001 19591031    53.6
19591101 19591130    37.9
19591201 19591231    24.7
19600101 19600131    58.5
