PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
18951001 18951031    18.3
18951101 18951130     1.4
18951201 18951231     6.5
18960101 18960131    90.3
18960201 18960229    35.8
18960301 18960331    11.8
18960401 18960430    96.0
18960501 18960531    88.5
18960601 18960630    75.3
18960701 18960731    95.3
18960801 18960831    67.4
18960901 18960930    23.1
18961001 18961031     5.5
18961101 18961130     8.7
18961201 18961231     6.9
18970101 18970131     4.9
18970201 18970228    15.6
18970301 18970331    15.5
18970401 18970430    33.0
18970501 18970531    65.1
18970601 18970630    88.7
18970701 18970731    99.7
18970801 18970831    99.8
18970901 18970930    40.5
18971001 18971031    39.6
18971101 18971130    11.3
18971201 18971231     0.8
18980101 18980131     1.1
18980201 18980228     6.4
18980301 18980331    14.4
18980401 18980430    73.4
18980501 18980531    71.2
18980601 18980630   169.9
18980701 18980731   115.3
18980801 18980831    37.3
18980901 18980930    22.2
18981001 18981031    44.7
18981101 18981130    24.0
18981201 18981231    12.0
18990101 18990131    24.5
18990201 18990228    34.0
18990301 18990331    17.4
18990401 18990430    40.4
18990501 18990531    81.3
18990601 18990630    96.3
18990701 18990731    63.0
18990801 18990831    60.5
18990901 18990930    47.9
18991001 18991031    38.9
18991101 18991130    47.9
18991201 18991231    19.3
19000101 19000131    24.9
19000201 19000228     0.5
19000301 19000331    26.2
19000401 19000430    82.2
19000501 19000531    83.4
19000601 19000630   153.8
19000701 19000731    93.1
19000801 19000831   139.5
19000901 19000930    44.1
19001001 19001031    17.8
19001101 19001130     7.4
19001201 19001231     9.3
19010101 19010131    23.5
19010201 19010228     7.1
19010301 19010331    15.9
19010401 19010430    60.9
19010501 19010531    42.1
19010601 19010630   127.1
19010701 19010731    73.5
19010801 19010831    51.0
19010901 19010930    49.6
19011001 19011031    48.3
19011101 19011130    17.6
19011201 19011231    25.7
19020101 19020131     8.9
19020201 19020228    11.8
19020301 19020331    20.6
19020401 19020430     7.0
19020501 19020531    35.9
19020601 19020630   201.7
19020701 19020731    59.6
19020801 19020831    46.3
19020901 19020930    53.8
19021001 19021031    72.5
19021101 19021130    29.1
19021201 19021231    46.8
19030101 19030131    24.3
19030201 19030228    34.8
19030301 19030331    21.8
19030401 19030430    75.8
19030501 19030531    40.9
19030601 19030630   113.4
19030701 19030731   117.1
19030801 19030831   101.9
19030901 19030930    51.3
19031001 19031031    27.6
19031101 19031130    17.0
19031201 19031231    14.0
19040101 19040131    47.8
19040201 19040229    14.3
19040301 19040331    10.4
19040401 19040430    34.6
19040501 19040531    89.1
19040601 19040630   131.0
19040701 19040731    88.2
19040801 19040831    81.9
19040901 19040930    27.7
19041001 19041031    38.3
19041101 19041130    17.2
19041201 19041231     0.5
19050101 19050131    14.5
19050201 19050228    10.8
19050301 19050331    24.6
19050401 19050430    44.3
19050501 19050531   131.3
19050601 19050630   130.8
19050701 19050731   119.8
19050801 19050831    83.1
19050901 19050930    80.4
19051001 19051031    70.9
19051101 19051130    11.3
19051201 19051231     2.7
19060101 19060131    13.7
19060201 19060228     0.0
19060301 19060331    28.3
19060401 19060430    28.2
19060501 19060531    75.3
19060601 19060630   165.8
19060701 19060731   157.6
19060801 19060831    88.2
19060901 19060930    73.7
19061001 19061031    40.4
19061101 19061130    74.3
19061201 19061231     9.5
19070101 19070131     8.6
19070201 19070228     2.0
19070301 19070331    20.3
19070401 19070430    79.7
19070501 19070531    49.4
19070601 19070630    67.8
19070701 19070731   131.7
19070801 19070831   128.7
19070901 19070930    17.7
19071001 19071031    42.5
19071101 19071130    22.7
19071201 19071231    18.8
19080101 19080131     7.5
19080201 19080229    11.4
19080301 19080331    27.8
19080401 19080430    10.0
19080501 19080531   108.4
19080601 19080630   149.4
19080701 19080731    84.5
19080801 19080831    70.2
19080901 19080930    66.4
19081001 19081031    15.2
19081101 19081130     7.0
19081201 19081231    21.9
19090101 19090131    13.1
19090201 19090228    20.0
19090301 19090331    31.4
19090401 19090430   100.3
19090501 19090531    62.7
19090601 19090630   133.0
19090701 19090731   168.2
19090801 19090831   124.7
19090901 19090930    47.2
19091001 19091031    35.7
19091101 19091130    47.6
19091201 19091231    11.3
19100101 19100131     5.5
19100201 19100228     0.8
19100301 19100331    74.7
19100401 19100430    25.7
19100501 19100531   125.5
19100601 19100630   114.3
19100701 19100731   232.5
19100801 19100831    72.1
19100901 19100930    70.6
19101001 19101031    64.1
19101101 19101130    93.0
