PRCP       032040 18930101 20180131 missing_value=99999.9 TOWNSVILLE AERO                           
19141201 19141231   143.7
19150101 19150131   103.3
19150201 19150228    32.0
19150301 19150331    20.6
19150401 19150430    14.0
19150501 19150531     6.6
19150601 19150630     0.0
19150701 19150731    24.5
19150801 19150831     7.3
19150901 19150930    29.3
19151001 19151031     0.0
19151101 19151130     9.8
19151201 19151231   250.8
19160101 19160131   402.3
19160201 19160229   244.3
19160301 19160331    80.5
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630    34.2
19160701 19160731    95.4
19160801 19160831    61.1
19160901 19160930     0.0
19161001 19161031    38.7
19161101 19161130    80.9
19161201 19161231   239.2
19170101 19170131   664.7
19170201 19170228   206.2
19170301 19170331   292.9
19170401 19170430    32.8
19170501 19170531    78.6
19170601 19170630     0.0
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031     0.0
19171101 19171130   280.3
19171201 19171231   260.6
19180101 19180131   785.2
19180201 19180228   361.5
19180301 19180331    68.4
19180401 19180430    16.8
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     9.5
19180801 19180831    25.8
19180901 19180930    23.1
19181001 19181031     0.0
19181101 19181130    87.2
19181201 19181231     6.3
19190101 19190131   195.4
19190201 19190228   145.2
19190301 19190331    82.7
19190401 19190430    82.2
19190501 19190531    13.3
19190601 19190630    36.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231     0.0
19200101 19200131   506.7
19200201 19200229   146.5
19200301 19200331    36.7
19200401 19200430   448.2
19200501 19200531   143.7
19200601 19200630    78.9
19200701 19200731     0.0
19200801 19200831    89.0
19200901 19200930     0.0
19201001 19201031     0.0
19201101 19201130    65.0
19201201 19201231    93.2
19210101 19210131   259.0
19210201 19210228    95.2
19210301 19210331   244.6
19210401 19210430     0.0
19210501 19210531    32.2
19210601 19210630    35.6
19210701 19210731    63.9
19210801 19210831    20.6
19210901 19210930    89.0
19211001 19211031   201.2
19211101 19211130     0.0
19211201 19211231   204.5
19220101 19220131   152.7
19220201 19220228   336.5
19220301 19220331     0.0
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630     9.8
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    10.2
19221101 19221130    32.2
19221201 19221231   273.6
19230101 19230131   210.5
19230201 19230228   103.6
19230301 19230331    48.8
19230401 19230430    45.1
19230501 19230531     0.0
19230601 19230630   372.8
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231    71.6
19240101 19240131   174.8
19240201 19240229   590.8
19240301 19240331   261.3
19240401 19240430   154.3
19240501 19240531     0.0
19240601 19240630    43.3
19240701 19240731     0.0
19240801 19240831   263.5
19240901 19240930     0.0
19241001 19241031   155.7
19241101 19241130   157.3
19241201 19241231    87.7
19250101 19250131   338.8
19250201 19250228   447.8
19250301 19250331    83.7
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630    69.8
19250701 19250731     0.0
19250801 19250831    66.4
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130    47.1
19251201 19251231    59.1
19260101 19260131   110.1
19260201 19260228   261.7
19260301 19260331   201.0
19260401 19260430     0.0
19260501 19260531    34.9
19260601 19260630     3.4
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930   106.5
19261001 19261031     0.0
19261101 19261130    23.8
19261201 19261231   198.5
19270101 19270131   523.9
19270201 19270228   431.4
19270301 19270331   176.1
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630   202.0
19270701 19270731   149.8
19270801 19270831     0.0
19270901 19270930    53.4
19271001 19271031     0.0
19271101 19271130     0.0
19271201 19271231   240.7
19280101 19280131    93.2
19280201 19280229   272.6
19280301 19280331   171.8
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130   110.7
19281201 19281231    80.9
19290101 19290131   585.5
19290201 19290228   190.3
19290301 19290331   373.0
19290401 19290430    67.5
19290501 19290531     0.0
19290601 19290630   123.1
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     2.7
19291001 19291031   181.4
19291101 19291130    23.4
19291201 19291231    61.7
19300101 19300131   772.7
19300201 19300228   208.4
19300301 19300331    93.2
19300401 19300430     0.0
19300501 19300531   137.3
19300601 19300630   148.0
19300701 19300731     0.0
19300801 19300831    15.0
19300901 19300930     0.0
19301001 19301031   297.3
19301101 19301130     3.4
19301201 19301231    28.2
19310101 19310131   107.2
19310201 19310228   107.4
19310301 19310331    89.3
19310401 19310430    12.2
19310501 19310531     0.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831    12.2
19310901 19310930    22.3
19311001 19311031    25.1
19311101 19311130   111.3
19311201 19311231   311.3
19320101 19320131   283.5
19320201 19320229     0.0
19320301 19320331    74.3
19320401 19320430     4.1
19320501 19320531    91.4
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    18.1
19321101 19321130    19.5
19321201 19321231   195.1
19330101 19330131   180.5
19330201 19330228   487.8
19330301 19330331    10.2
19330401 19330430    53.0
19330501 19330531    70.9
19330601 19330630   127.5
19330701 19330731   134.2
19330801 19330831    40.1
19330901 19330930   104.0
19331001 19331031    25.8
19331101 19331130   202.4
19331201 19331231   104.1
19340101 19340131   297.3
19340201 19340228   611.6
19340301 19340331   122.3
19340401 19340430    29.7
19340501 19340531     7.0
19340601 19340630    72.1
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    36.3
19341101 19341130   294.6
19341201 19341231    21.6
19350101 19350131   104.8
19350201 19350228   100.4
19350301 19350331    32.0
19350401 19350430     0.0
19350501 19350531    45.1
19350601 19350630    16.4
19350701 19350731    43.7
19350801 19350831     0.0
19350901 19350930    12.9
19351001 19351031    35.2
19351101 19351130     0.0
19351201 19351231    44.4
