PRCP       032040 18930101 20180131 missing_value=99999.9 TOWNSVILLE AERO                           
19890101 19890131    56.6
19890201 19890228   146.4
19890301 19890331   311.4
19890401 19890430   172.0
19890501 19890531   138.4
19890601 19890630    36.0
19890701 19890731    30.6
19890801 19890831     8.8
19890901 19890930     0.2
19891001 19891031    16.2
19891101 19891130   100.8
19891201 19891231   104.4
19900101 19900131    27.2
19900201 19900228     8.2
19900301 19900331   682.8
19900401 19900430   406.4
19900501 19900531    53.0
19900601 19900630    96.6
19900701 19900731    12.8
19900801 19900831     0.0
19900901 19900930     0.6
19901001 19901031     2.4
19901101 19901130     0.2
19901201 19901231   377.8
19910101 19910131   458.2
19910201 19910228   865.4
19910301 19910331    14.8
19910401 19910430     1.2
19910501 19910531    17.2
19910601 19910630     9.6
19910701 19910731     0.6
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     3.2
19911101 19911130    21.2
19911201 19911231   138.8
19920101 19920131    27.0
19920201 19920229   227.8
19920301 19920331     7.2
19920401 19920430     5.4
19920501 19920531    54.6
19920601 19920630     6.6
19920701 19920731     1.8
19920801 19920831     1.8
19920901 19920930    33.2
19921001 19921031     3.8
19921101 19921130    49.4
19921201 19921231   179.2
19930101 19930131    66.2
19930201 19930228   109.2
19930301 19930331    36.6
19930401 19930430     8.2
19930501 19930531    13.8
19930601 19930630     3.2
19930701 19930731    17.6
19930801 19930831    14.2
19930901 19930930    30.8
19931001 19931031    49.4
19931101 19931130   102.8
19931201 19931231    44.0
19940101 19940131   148.2
19940201 19940228   142.4
19940301 19940331    44.8
19940401 19940430     0.6
19940501 19940531     1.0
19940601 19940630     5.4
19940701 19940731     1.2
19940801 19940831     0.0
19940901 19940930     5.6
19941001 19941031     1.2
19941101 19941130    16.4
19941201 19941231   102.8
19950101 19950131    49.6
19950201 19950228   223.4
19950301 19950331    20.2
19950401 19950430     3.0
19950501 19950531    19.6
19950601 19950630     4.0
19950701 19950731     0.2
19950801 19950831   104.0
19950901 19950930     0.6
19951001 19951031    91.2
19951101 19951130    73.4
19951201 19951231   120.6
19960101 19960131   346.8
19960201 19960229    41.4
19960301 19960331    14.0
19960401 19960430    25.0
19960501 19960531     9.6
19960601 19960630    12.0
19960701 19960731     1.4
19960801 19960831     2.8
19960901 19960930     2.8
19961001 19961031    63.6
19961101 19961130    59.6
19961201 19961231    51.2
19970101 19970131   121.6
19970201 19970228   400.2
19970301 19970331   453.8
19970401 19970430     9.0
19970501 19970531    49.2
19970601 19970630     9.0
19970701 19970731     6.2
19970801 19970831    19.0
19970901 19970930    16.6
19971001 19971031     8.4
19971101 19971130     3.2
19971201 19971231   400.6
19980101 19980131   973.8
19980201 19980228   159.8
19980301 19980331    72.4
19980401 19980430    52.0
19980501 19980531    92.0
19980601 19980630     9.0
19980701 19980731     8.6
19980801 19980831   258.2
19980901 19980930    31.2
19981001 19981031   108.0
19981101 19981130   104.8
19981201 19981231   122.4
19990101 19990131   149.8
19990201 19990228   317.4
19990301 19990331   138.4
19990401 19990430   100.0
19990501 19990531     9.8
19990601 19990630     0.4
19990701 19990731    14.4
19990801 19990831     6.2
19990901 19990930     0.2
19991001 19991031     2.2
19991101 19991130   186.0
19991201 19991231   151.6
20000101 20000131   157.4
20000201 20000229   845.4
20000301 20000331   176.6
20000401 20000430   546.2
20000501 20000531    32.0
20000601 20000630    31.4
20000701 20000731     0.4
20000801 20000831     0.2
20000901 20000930     0.4
20001001 20001031    45.4
20001101 20001130   345.2
20001201 20001231   219.2
20010101 20010131    47.2
20010201 20010228   236.0
20010301 20010331    58.4
20010401 20010430    10.0
20010501 20010531     0.0
20010601 20010630     9.4
20010701 20010731     8.0
20010801 20010831     0.0
20010901 20010930     1.2
20011001 20011031    25.8
20011101 20011130    71.2
20011201 20011231     0.0
20020101 20020131    84.8
20020201 20020228   549.0
20020301 20020331    53.0
20020401 20020430     5.6
20020501 20020531    19.8
20020601 20020630    17.8
20020701 20020731     0.0
20020801 20020831    10.8
20020901 20020930     1.0
20021001 20021031     0.0
20021101 20021130     1.4
20021201 20021231    25.4
20030101 20030131    18.6
20030201 20030228   316.0
20030301 20030331    73.2
20030401 20030430    20.8
20030501 20030531     8.0
20030601 20030630     5.0
20030701 20030731     0.4
20030801 20030831     7.6
20030901 20030930     0.8
20031001 20031031    32.2
20031101 20031130     9.0
20031201 20031231    88.8
20040101 20040131   212.6
20040201 20040229   378.0
20040301 20040331    60.4
20040401 20040430    54.8
20040501 20040531     2.0
20040601 20040630     0.4
20040701 20040731     3.0
20040801 20040831     0.4
20040901 20040930     6.4
20041001 20041031     8.4
20041101 20041130    23.8
20041201 20041231   114.6
20050101 20050131   216.2
20050201 20050228     9.0
20050301 20050331    34.0
20050401 20050430    19.6
20050501 20050531    21.6
20050601 20050630    35.4
20050701 20050731    25.0
20050801 20050831    45.8
20050901 20050930     2.4
20051001 20051031    40.6
20051101 20051130     6.0
20051201 20051231    58.0
20060101 20060131   461.4
20060201 20060228    16.2
20060301 20060331   161.0
20060401 20060430   205.6
20060501 20060531    29.2
20060601 20060630    10.2
20060701 20060731    16.8
20060801 20060831     0.0
20060901 20060930    30.2
20061001 20061031     6.2
20061101 20061130     0.8
20061201 20061231    56.2
20070101 20070131   280.2
20070201 20070228   536.4
20070301 20070331    76.6
20070401 20070430     5.0
20070501 20070531     3.0
20070601 20070630   111.4
20070701 20070731     0.2
20070801 20070831     4.2
20070901 20070930     2.2
20071001 20071031    14.0
20071101 20071130   123.4
20071201 20071231   138.8
20080101 20080131   483.4
20080201 20080229   563.6
20080301 20080331     2.0
20080401 20080430     2.2
20080501 20080531     1.0
20080601 20080630     0.8
20080701 20080731    95.0
20080801 20080831     0.0
20080901 20080930     0.8
20081001 20081031     4.2
20081101 20081130   113.4
20081201 20081231   178.8
20090101 20090131   653.8
20090201 20090228   960.8
20090301 20090331    18.8
20090401 20090430    51.4
20090501 20090531     6.4
20090601 20090630     0.4
20090701 20090731     0.2
20090801 20090831     0.0
20090901 20090930     3.8
20091001 20091031     1.2
20091101 20091130    24.0
20091201 20091231   268.6
20100101 20100131   543.2
20100201 20100228   401.4
20100301 20100331   218.6
20100401 20100430    35.4
20100501 20100531     0.2
20100601 20100630    22.6
20100701 20100731     1.8
20100801 20100831    54.2
20100901 20100930    84.4
20101001 20101031    51.6
20101101 20101130   187.0
20101201 20101231   406.0
20110101 20110131   178.6
20110201 20110228   334.0
20110301 20110331   696.2
20110401 20110430    88.0
20110501 20110531    23.4
20110601 20110630    15.8
20110701 20110731     1.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    15.8
20111101 20111130    18.4
20111201 20111231   180.2
20120101 20120131   266.2
20120201 20120229   248.6
20120301 20120331   556.2
20120401 20120430    16.6
20120501 20120531    69.6
20120601 20120630    28.0
20120701 20120731   105.6
20120801 20120831     1.4
20120901 20120930     0.0
20121001 20121031     0.2
20121101 20121130     7.8
20121201 20121231    14.4
20130101 20130131   286.0
20130201 20130228    83.6
20130301 20130331   104.6
20130401 20130430    48.8
20130501 20130531    29.0
20130601 20130630     1.2
20130701 20130731     4.0
20130801 20130831     0.2
20130901 20130930     0.6
20131001 20131031     8.8
20131101 20131130   139.0
20131201 20131231     9.4
20140101 20140131    77.4
20140201 20140228   376.8
20140301 20140331   174.2
20140401 20140430   214.2
20140501 20140531    10.2
20140601 20140630    56.2
20140701 20140731     5.8
20140801 20140831    49.6
20140901 20140930     5.4
20141001 20141031     2.4
20141101 20141130    22.6
20141201 20141231    42.4
20150101 20150131   185.0
20150201 20150228    31.8
20150301 20150331     5.2
20150401 20150430    14.6
20150501 20150531     1.0
20150601 20150630    15.4
20150701 20150731     0.2
20150801 20150831     3.2
20150901 20150930     0.6
20151001 20151031     4.0
20151101 20151130    26.0
20151201 20151231   110.6
20160101 20160131    76.6
20160201 20160229    94.6
20160301 20160331   558.0
20160401 20160430    21.0
20160501 20160531     0.4
20160601 20160630    59.0
20160701 20160731    53.2
20160801 20160831    21.0
20160901 20160930    17.4
20161001 20161031     8.2
20161101 20161130    11.0
20161201 20161231    31.0
20170101 20170131   164.2
20170201 20170228   139.2
20170301 20170331   166.0
20170401 20170430    20.6
20170501 20170531   166.4
20170601 20170630     0.4
20170701 20170731     0.6
20170801 20170831     4.4
20170901 20170930     0.8
20171001 20171031    76.8
20171101 20171130    34.4
20171201 20171231    15.8
20180101 20180131   115.4
