PRCP       089033 18790501 20180131 missing_value=99999.9 WICKLIFFE                                 
19010401 19010430    56.8
19010501 19010531    32.6
19010601 19010630   102.1
19010701 19010731    36.9
19010801 19010831    54.9
19010901 19010930    76.9
19011001 19011031    67.7
19011101 19011130    24.4
19011201 19011231    30.3
19020101 19020131    17.9
19020201 19020228    24.5
19020301 19020331    23.1
19020401 19020430     9.5
19020501 19020531    18.1
19020601 19020630    77.4
19020701 19020731    16.8
19020801 19020831    25.0
19020901 19020930    32.2
19021001 19021031    34.4
19021101 19021130    17.1
19021201 19021231    99.4
19030101 19030131    24.2
19030201 19030228    26.6
19030301 19030331    28.4
19030401 19030430    86.2
19030501 19030531    37.8
19030601 19030630    52.9
19030701 19030731   108.9
19030801 19030831    41.2
19030901 19030930    94.3
19031001 19031031    59.6
19031101 19031130    38.7
19031201 19031231    27.3
19040101 19040131    58.5
19040201 19040229    67.0
19040301 19040331    28.7
19040401 19040430    23.4
19040501 19040531    72.5
19040601 19040630    50.9
19040701 19040731    47.2
19040801 19040831    56.6
19040901 19040930    53.1
19041001 19041031    65.1
19041101 19041130    30.2
19041201 19041231     4.9
19050101 19050131    23.6
19050201 19050228    24.3
19050301 19050331     2.8
19050401 19050430    48.0
19050501 19050531    81.7
19050601 19050630    62.5
19050701 19050731    73.7
19050801 19050831    28.2
19050901 19050930    60.8
19051001 19051031    69.5
19051101 19051130    22.1
19051201 19051231    44.7
19060101 19060131     0.0
19060201 19060228     9.1
19060301 19060331    71.2
19060401 19060430    16.8
19060501 19060531    72.3
19060601 19060630    80.4
19060701 19060731    77.9
19060801 19060831    58.8
19060901 19060930    45.6
19061001 19061031    85.3
19061101 19061130   158.9
19061201 19061231     9.6
19070101 19070131    14.4
19070201 19070228    22.6
19070301 19070331    12.0
19070401 19070430    74.4
19070501 19070531    55.6
19070601 19070630    28.1
19070701 19070731    59.5
19070801 19070831    81.5
19070901 19070930    20.6
19071001 19071031    24.4
19071101 19071130    68.9
19071201 19071231    65.1
19080101 19080131    13.5
19080201 19080229    15.2
19080301 19080331    53.5
19080401 19080430     6.1
19080501 19080531    44.4
19080601 19080630    56.4
19080701 19080731    19.9
19080801 19080831    33.5
19080901 19080930   122.2
19081001 19081031    62.0
19081101 19081130    38.4
19081201 19081231    12.5
