PRCP       010092 19030101 20180131 missing_value=99999.9 MERREDIN                                  
19241201 19241231     0.8
19250101 19250131    46.7
19250201 19250228    34.1
19250301 19250331    12.7
19250401 19250430    11.5
19250501 19250531    36.9
19250601 19250630    51.3
19250701 19250731    41.2
19250801 19250831     6.2
19250901 19250930    22.9
19251001 19251031    11.7
19251101 19251130     1.8
19251201 19251231    24.3
19260101 19260131     0.0
19260201 19260228     6.9
19260301 19260331    56.8
19260401 19260430    15.5
19260501 19260531    27.8
19260601 19260630    48.4
19260701 19260731    74.4
19260801 19260831    23.2
19260901 19260930    25.8
19261001 19261031    24.1
19261101 19261130     9.6
19261201 19261231     1.3
19270101 19270131     6.4
19270201 19270228     1.3
19270301 19270331   161.0
19270401 19270430    12.0
19270501 19270531    14.7
19270601 19270630    48.8
19270701 19270731    40.9
19270801 19270831    30.1
19270901 19270930    67.5
19271001 19271031    17.1
19271101 19271130     5.6
19271201 19271231    17.0
19280101 19280131    12.1
19280201 19280229     0.0
19280301 19280331    29.7
19280401 19280430    19.6
19280501 19280531    24.0
19280601 19280630    32.0
19280701 19280731    56.1
19280801 19280831    40.6
19280901 19280930    16.3
19281001 19281031     6.9
19281101 19281130     0.0
19281201 19281231    24.6
19290101 19290131    11.9
19290201 19290228    49.1
19290301 19290331    23.3
19290401 19290430     0.5
19290501 19290531    90.4
19290601 19290630    98.8
19290701 19290731    34.9
19290801 19290831    32.5
19290901 19290930     5.4
19291001 19291031    13.2
19291101 19291130    59.1
19291201 19291231     0.3
19300101 19300131     0.0
19300201 19300228     0.3
19300301 19300331    54.1
19300401 19300430    69.2
19300501 19300531    13.0
19300601 19300630    95.1
19300701 19300731    56.7
19300801 19300831    46.0
19300901 19300930    23.1
19301001 19301031     9.7
19301101 19301130     0.0
19301201 19301231     7.9
19310101 19310131     0.0
19310201 19310228     2.0
19310301 19310331     0.5
19310401 19310430    57.1
19310501 19310531    60.0
19310601 19310630    32.5
19310701 19310731    64.3
19310801 19310831    68.2
19310901 19310930    27.2
19311001 19311031    17.4
19311101 19311130    10.7
19311201 19311231    12.4
19320101 19320131    18.3
19320201 19320229     3.6
19320301 19320331    17.3
19320401 19320430    13.0
19320501 19320531    43.9
19320601 19320630    23.4
19320701 19320731    73.7
19320801 19320831    72.7
19320901 19320930    20.1
19321001 19321031    75.2
19321101 19321130     0.0
19321201 19321231     3.8
19330101 19330131     5.8
19330201 19330228     0.0
19330301 19330331     4.8
19330401 19330430     5.6
19330501 19330531    45.3
19330601 19330630    63.0
19330701 19330731    35.4
19330801 19330831    50.6
19330901 19330930    16.0
19331001 19331031    31.2
19331101 19331130    12.8
19331201 19331231     7.1
19340101 19340131    19.8
19340201 19340228     3.3
19340301 19340331    43.3
19340401 19340430   113.6
19340501 19340531     6.6
19340601 19340630    50.4
19340701 19340731    60.5
19340801 19340831    48.3
19340901 19340930    31.0
19341001 19341031    11.2
19341101 19341130    18.0
19341201 19341231     4.3
19350101 19350131    13.4
19350201 19350228    10.1
19350301 19350331    10.4
19350401 19350430    21.2
19350501 19350531    16.4
19350601 19350630    21.5
19350701 19350731    67.3
19350801 19350831    65.7
19350901 19350930    23.1
19351001 19351031    34.3
19351101 19351130     2.0
19351201 19351231     6.1
19360101 19360131    23.3
19360201 19360229     0.5
19360301 19360331    13.3
19360401 19360430     2.8
19360501 19360531    22.9
19360601 19360630    58.7
19360701 19360731    36.6
19360801 19360831    43.8
19360901 19360930    13.8
19361001 19361031     3.5
19361101 19361130     4.6
19361201 19361231    31.2
19370101 19370131     5.1
19370201 19370228     0.8
19370301 19370331    12.4
19370401 19370430    15.2
19370501 19370531    59.7
19370601 19370630    41.7
19370701 19370731    11.8
19370801 19370831    50.5
19370901 19370930    11.6
19371001 19371031     7.4
19371101 19371130    19.8
19371201 19371231     2.5
19380101 19380131    14.5
19380201 19380228     0.8
19380301 19380331    22.6
19380401 19380430    19.9
19380501 19380531    21.6
19380601 19380630    42.9
19380701 19380731    46.7
19380801 19380831    22.1
19380901 19380930    28.7
19381001 19381031     7.5
19381101 19381130    12.5
19381201 19381231     5.4
19390101 19390131     4.6
19390201 19390228    69.6
19390301 19390331     0.3
19390401 19390430    11.1
19390501 19390531    56.5
19390601 19390630    66.9
19390701 19390731    59.1
19390801 19390831    55.5
19390901 19390930     3.6
19391001 19391031    42.4
19391101 19391130    30.0
19391201 19391231     0.0
19400101 19400131     1.4
19400201 19400229     0.0
19400301 19400331     2.0
19400401 19400430     2.8
19400501 19400531    15.4
19400601 19400630    30.2
19400701 19400731    40.2
19400801 19400831     6.9
19400901 19400930    16.3
19401001 19401031    36.8
19401101 19401130     5.6
19401201 19401231    55.1
19410101 19410131     0.0
19410201 19410228     8.4
19410301 19410331     4.3
19410401 19410430    23.0
19410501 19410531    59.3
19410601 19410630    88.0
19410701 19410731    44.0
19410801 19410831    39.1
19410901 19410930    33.6
19411001 19411031    17.4
19411101 19411130     9.9
19411201 19411231    17.9
19420101 19420131     8.9
19420201 19420228    12.1
19420301 19420331    39.3
19420401 19420430    39.5
19420501 19420531    44.1
19420601 19420630    44.7
19420701 19420731    48.9
19420801 19420831    48.0
19420901 19420930    32.0
19421001 19421031    11.8
19421101 19421130    16.0
19421201 19421231    67.4
19430101 19430131    15.7
19430201 19430228    80.0
19430301 19430331    77.4
19430401 19430430    48.5
19430501 19430531    31.0
19430601 19430630    64.7
19430701 19430731    50.5
19430801 19430831    62.4
19430901 19430930    28.2
19431001 19431031     6.9
19431101 19431130    12.4
19431201 19431231    21.9
19440101 19440131     4.5
19440201 19440229     0.5
19440301 19440331     6.9
19440401 19440430    16.5
19440501 19440531    67.6
19440601 19440630    19.9
19440701 19440731    76.4
19440801 19440831    53.3
19440901 19440930    10.2
19441001 19441031     1.8
19441101 19441130     0.5
19441201 19441231     5.1
19450101 19450131     0.0
19450201 19450228     1.8
19450301 19450331    26.4
19450401 19450430     8.1
19450501 19450531    44.4
19450601 19450630   118.6
19450701 19450731    31.5
19450801 19450831    85.2
19450901 19450930    25.8
19451001 19451031     2.8
19451101 19451130     1.5
19451201 19451231     4.6
19460101 19460131     0.0
19460201 19460228    10.7
19460301 19460331     1.0
19460401 19460430    11.5
19460501 19460531    52.0
19460601 19460630    86.5
19460701 19460731   103.0
19460801 19460831    53.9
19460901 19460930    22.4
19461001 19461031     1.8
19461101 19461130    37.6
19461201 19461231     0.0
19470101 19470131     1.8
19470201 19470228     0.6
19470301 19470331    24.2
19470401 19470430    28.0
19470501 19470531    45.9
19470601 19470630    64.2
19470701 19470731    48.5
19470801 19470831    13.0
19470901 19470930    19.8
19471001 19471031    54.5
19471101 19471130    10.5
19471201 19471231     2.8
19480101 19480131     8.1
19480201 19480229     3.1
19480301 19480331     2.6
19480401 19480430    41.2
19480501 19480531     1.3
19480601 19480630    51.3
19480701 19480731    58.8
19480801 19480831    51.4
19480901 19480930    30.2
19481001 19481031    13.2
19481101 19481130    12.7
19481201 19481231     5.1
19490101 19490131     0.0
19490201 19490228     3.8
19490301 19490331     4.0
19490401 19490430     8.7
19490501 19490531     2.5
19490601 19490630    37.5
19490701 19490731    68.7
19490801 19490831    79.8
19490901 19490930     5.3
19491001 19491031    16.0
19491101 19491130    20.1
19491201 19491231     4.0
19500101 19500131     6.6
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    76.5
19500601 19500630    29.5
19500701 19500731    39.5
19500801 19500831    37.1
19500901 19500930    28.4
19501001 19501031    24.9
19501101 19501130     6.3
19501201 19501231     0.0
19510101 19510131    12.0
19510201 19510228    73.4
19510301 19510331     1.6
19510401 19510430    51.0
19510501 19510531    22.3
19510601 19510630    65.4
19510701 19510731    49.6
19510801 19510831    27.8
19510901 19510930     9.5
19511001 19511031    14.4
19511101 19511130    37.1
19511201 19511231    18.2
19520101 19520131    18.0
19520201 19520229     5.8
19520301 19520331    14.0
19520401 19520430     5.1
19520501 19520531    57.5
19520601 19520630    23.4
19520701 19520731    55.0
19520801 19520831    14.3
19520901 19520930    22.5
19521001 19521031    24.7
19521101 19521130     7.6
19521201 19521231    34.1
19530101 19530131     0.6
19530201 19530228    11.2
19530301 19530331    94.0
19530401 19530430    39.8
19530501 19530531   104.9
19530601 19530630    69.4
19530701 19530731    54.9
19530801 19530831    26.9
19530901 19530930    11.9
19531001 19531031    15.0
19531101 19531130    11.5
19531201 19531231     0.0
19540101 19540131     1.0
19540201 19540228     0.3
19540301 19540331     0.0
19540401 19540430     6.6
19540501 19540531    77.5
19540601 19540630    14.5
19540701 19540731    56.9
19540801 19540831    41.0
19540901 19540930    18.1
19541001 19541031    11.2
19541101 19541130     6.6
19541201 19541231     2.3
19550101 19550131     0.3
19550201 19550228    67.3
19550301 19550331     5.9
19550401 19550430    16.2
19550501 19550531    29.8
19550601 19550630    22.7
19550701 19550731    24.0
19550801 19550831    75.8
19550901 19550930    80.8
19551001 19551031    27.3
19551101 19551130     4.6
19551201 19551231     7.1
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     3.6
19560401 19560430    14.5
19560501 19560531    60.6
19560601 19560630    50.4
19560701 19560731    63.2
19560801 19560831     1.1
19560901 19560930    10.1
19561001 19561031    36.6
19561101 19561130    68.8
19561201 19561231     0.3
19570101 19570131    30.8
19570201 19570228     0.8
19570301 19570331    12.0
19570401 19570430     9.9
19570501 19570531    37.2
19570601 19570630    88.9
19570701 19570731     8.7
19570801 19570831    29.3
19570901 19570930     9.4
19571001 19571031     2.8
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     1.6
19580201 19580228     0.0
19580301 19580331    22.9
19580401 19580430     2.6
19580501 19580531    55.9
19580601 19580630    33.2
19580701 19580731   123.0
19580801 19580831    25.2
19580901 19580930    51.3
19581001 19581031     9.8
19581101 19581130    24.1
19581201 19581231    37.4
19590101 19590131     2.1
19590201 19590228     7.8
19590301 19590331    15.2
19590401 19590430    11.0
19590501 19590531     7.4
19590601 19590630    76.2
19590701 19590731    19.5
19590801 19590831    42.7
19590901 19590930    21.3
19591001 19591031    13.6
19591101 19591130    36.5
19591201 19591231    15.0
19600101 19600131    26.7
19600201 19600229     1.8
19600301 19600331    28.7
19600401 19600430    15.0
19600501 19600531    51.7
19600601 19600630    19.2
19600701 19600731   126.6
19600801 19600831     9.4
19600901 19600930    38.6
19601001 19601031     0.8
19601101 19601130     3.6
19601201 19601231     4.1
19610101 19610131    49.0
19610201 19610228     5.6
19610301 19610331    11.0
19610401 19610430    40.5
19610501 19610531    10.2
19610601 19610630    53.3
19610701 19610731    26.0
19610801 19610831    19.0
19610901 19610930     7.6
19611001 19611031     4.0
19611101 19611130     0.0
19611201 19611231     7.1
19620101 19620131     6.8
19620201 19620228     0.3
19620301 19620331    19.0
19620401 19620430     0.0
19620501 19620531    55.1
19620601 19620630    37.4
19620701 19620731    27.5
19620801 19620831    24.0
19620901 19620930    27.8
19621001 19621031    14.0
19621101 19621130     2.1
19621201 19621231    20.3
19630101 19630131    39.2
19630201 19630228    43.2
19630301 19630331    47.4
19630401 19630430    15.3
19630501 19630531   131.6
19630601 19630630    86.2
19630701 19630731    79.5
19630801 19630831    72.2
19630901 19630930     5.9
19631001 19631031     8.1
19631101 19631130    11.7
19631201 19631231     9.1
19640101 19640131     1.5
19640201 19640229     9.9
19640301 19640331    10.2
19640401 19640430    13.7
19640501 19640531     1.8
19640601 19640630    74.6
19640701 19640731    76.2
19640801 19640831    44.6
19640901 19640930    21.6
19641001 19641031    15.5
19641101 19641130     7.8
19641201 19641231     7.1
19650101 19650131     2.1
19650201 19650228     0.8
19650301 19650331     3.0
19650401 19650430     6.4
19650501 19650531    78.2
19650601 19650630   111.3
19650701 19650731    56.0
19650801 19650831    39.5
19650901 19650930    14.5
19651001 19651031    30.2
19651101 19651130    52.6
19651201 19651231     2.1
19660101 19660131    76.9
19660201 19660228    40.4
19660301 19660331     0.5
19660401 19660430    63.3
19660501 19660531     5.9
19660601 19660630    76.9
19660701 19660731    61.1
19660801 19660831    21.6
19660901 19660930    30.1
19661001 19661031    35.2
19661101 19661130     2.0
19661201 19661231     1.1
19670101 19670131    24.9
19670201 19670228     0.8
19670301 19670331     1.3
19670401 19670430    19.0
19670501 19670531    63.0
19670601 19670630    41.9
19670701 19670731    51.7
19670801 19670831    23.9
19670901 19670930     4.6
19671001 19671031    26.2
19671101 19671130     0.0
19671201 19671231     1.3
19680101 19680131    67.6
19680201 19680229     4.9
19680301 19680331    31.2
19680401 19680430    20.9
19680501 19680531    26.6
19680601 19680630   134.7
19680701 19680731    33.0
19680801 19680831    17.6
19680901 19680930    25.5
19681001 19681031     6.1
19681101 19681130     1.5
19681201 19681231     0.8
19690101 19690131     3.6
19690201 19690228     2.0
19690301 19690331    13.7
19690401 19690430    18.0
19690501 19690531    24.1
19690601 19690630    46.0
19690701 19690731    21.6
19690801 19690831    15.8
19690901 19690930    25.1
19691001 19691031     0.0
19691101 19691130     7.2
19691201 19691231     1.3
19700101 19700131     0.0
19700201 19700228    73.7
19700301 19700331     5.5
19700401 19700430    24.3
19700501 19700531    28.3
19700601 19700630    62.3
19700701 19700731    31.5
19700801 19700831    17.7
19700901 19700930    77.5
19701001 19701031    18.5
19701101 19701130     6.8
19701201 19701231     3.8
19710101 19710131     4.4
19710201 19710228    10.4
19710301 19710331   143.7
19710401 19710430     9.7
19710501 19710531    22.5
19710601 19710630    28.0
19710701 19710731    37.2
19710801 19710831    36.0
19710901 19710930    37.7
19711001 19711031    21.0
19711101 19711130    32.0
19711201 19711231     1.8
19720101 19720131     1.3
19720201 19720229     0.0
19720301 19720331    18.6
19720401 19720430    10.2
19720501 19720531    25.1
19720601 19720630    94.7
19720701 19720731    62.4
19720801 19720831    38.5
19720901 19720930    19.5
19721001 19721031     6.3
19721101 19721130     9.2
19721201 19721231     0.8
19730101 19730131     6.9
19730201 19730228     3.0
19730301 19730331     0.0
19730401 19730430    26.2
19730501 19730531    30.1
19730601 19730630    65.2
19730701 19730731    97.3
19730801 19730831    57.5
19730901 19730930    47.9
19731001 19731031    22.7
19731101 19731130    20.1
19731201 19731231     1.3
19740101 19740131     0.0
19740201 19740228     2.0
19740301 19740331    39.4
19740401 19740430    85.9
19740501 19740531   116.7
19740601 19740630    34.8
19740701 19740731    45.8
19740801 19740831    58.5
19740901 19740930    33.4
19741001 19741031    24.2
19741101 19741130    15.8
19741201 19741231    24.2
19750101 19750131     0.0
19750201 19750228     2.6
19750301 19750331    10.3
19750401 19750430    52.0
19750501 19750531    22.5
19750601 19750630    43.2
19750701 19750731    49.8
19750801 19750831    33.0
19750901 19750930    23.6
19751001 19751031    45.4
19751101 19751130    12.8
19751201 19751231    41.0
19760101 19760131     7.4
