PRCP       040428 18951101 20141130 missing_value=99999.9 BRIAN PASTURES                            
19911201 19911231   136.7
19920101 19920131    96.6
19920201 19920229   196.0
19920301 19920331   102.8
19920401 19920430    12.9
19920501 19920531   103.4
19920601 19920630     0.6
19920701 19920731    20.2
19920801 19920831    20.2
19920901 19920930    82.6
19921001 19921031     7.8
19921101 19921130    84.8
19921201 19921231   108.0
19930101 19930131   139.2
19930201 19930228    69.6
19930301 19930331    57.4
19930401 19930430     0.0
19930501 19930531    10.0
19930601 19930630    15.5
19930701 19930731    38.0
19930801 19930831    31.6
19930901 19930930    75.2
19931001 19931031    34.2
19931101 19931130    79.2
19931201 19931231    75.4
19940101 19940131    49.4
19940201 19940228   110.5
19940301 19940331   165.4
19940401 19940430    17.6
19940501 19940531     5.0
19940601 19940630    14.6
19940701 19940731    17.8
19940801 19940831     0.6
19940901 19940930     1.8
19941001 19941031    57.8
19941101 19941130    34.2
19941201 19941231   105.6
19950101 19950131    45.8
19950201 19950228    78.2
19950301 19950331    51.4
19950401 19950430    41.0
19950501 19950531    42.2
19950601 19950630     8.4
19950701 19950731     3.8
19950801 19950831     9.8
19950901 19950930    17.6
19951001 19951031    87.0
19951101 19951130   143.0
19951201 19951231   132.6
19960101 19960131   259.4
19960201 19960229    37.4
19960301 19960331    21.3
19960401 19960430    21.6
19960501 19960531   102.1
19960601 19960630    11.0
19960701 19960731    26.6
19960801 19960831    35.0
19960901 19960930    30.2
19961001 19961031    26.8
19961101 19961130    67.6
19961201 19961231   120.5
19970101 19970131    82.7
19970201 19970228    86.8
19970301 19970331    38.3
19970401 19970430     1.8
19970501 19970531    32.8
19970601 19970630     1.0
19970701 19970731    37.6
19970801 19970831     6.6
19970901 19970930    43.4
19971001 19971031    38.6
19971101 19971130   126.2
19971201 19971231    59.3
19980101 19980131   119.8
19980201 19980228   120.2
19980301 19980331     3.0
19980401 19980430   102.6
19980501 19980531    74.8
19980601 19980630    19.8
19980701 19980731    22.2
19980801 19980831    26.4
19980901 19980930   118.8
19981001 19981031    21.4
19981101 19981130   106.8
19981201 19981231    90.2
19990101 19990131    35.8
19990201 19990228    53.0
19990301 19990331    49.4
19990401 19990430     4.6
19990501 19990531    30.1
19990601 19990630    37.1
19990701 19990731    83.8
19990801 19990831    14.4
19990901 19990930    33.4
19991001 19991031   107.4
19991101 19991130   118.4
19991201 19991231    53.4
20000101 20000131    77.8
20000201 20000229    60.8
20000301 20000331    27.4
20000401 20000430    33.4
20000501 20000531    27.0
20000601 20000630    25.9
20000701 20000731     5.1
20000801 20000831     2.8
20000901 20000930     0.0
20001001 20001031   171.0
20001101 20001130    80.1
20001201 20001231    65.4
20010101 20010131     7.4
20010201 20010228   138.0
20010301 20010331   119.8
20010401 20010430    31.6
20010501 20010531    52.6
20010601 20010630     1.0
20010701 20010731    46.4
20010801 20010831     1.4
20010901 20010930    38.2
20011001 20011031    32.7
20011101 20011130   173.8
20011201 20011231    52.2
20020101 20020131    18.4
20020201 20020228   164.0
20020301 20020331    59.8
20020401 20020430     5.4
20020501 20020531    49.2
20020601 20020630    70.4
20020701 20020731     0.0
20020801 20020831    90.9
20020901 20020930     0.4
20021001 20021031    63.9
20021101 20021130    23.6
20021201 20021231    58.2
20030101 20030131     0.0
20030201 20030228   112.7
20030301 20030331    63.2
20030401 20030430    61.6
20030501 20030531    43.0
20030601 20030630    10.4
20030701 20030731    16.8
20030801 20030831    41.0
20030901 20030930     9.0
20031001 20031031    59.7
20031101 20031130    45.8
20031201 20031231   179.4
20040101 20040131   141.7
20040201 20040229    90.6
20040301 20040331   108.8
20040401 20040430    27.6
20040501 20040531    11.0
20040601 20040630     4.8
20040701 20040731     1.2
20040801 20040831     0.6
20040901 20040930    21.9
20041001 20041031    91.9
20041101 20041130    76.4
20041201 20041231   181.5
20050101 20050131    50.0
20050201 20050228    67.8
20050301 20050331    29.8
20050401 20050430     9.5
20050501 20050531    43.3
20050601 20050630    96.8
20050701 20050731     0.8
20050801 20050831    12.0
20050901 20050930     7.9
20051001 20051031   122.7
20051101 20051130   120.0
20051201 20051231    68.6
20060101 20060131    69.2
20060201 20060228     3.8
20060301 20060331     7.6
20060401 20060430     8.0
20060501 20060531     4.9
20060601 20060630    23.6
20060701 20060731    28.0
20060801 20060831    15.4
20060901 20060930    19.8
20061001 20061031     3.2
20061101 20061130    71.9
20061201 20061231    72.4
20070101 20070131    60.4
20070201 20070228    57.9
20070301 20070331    26.2
20070401 20070430    21.7
20070501 20070531    20.5
20070601 20070630   115.1
20070701 20070731     0.2
20070801 20070831    37.2
20070901 20070930    38.6
20071001 20071031   147.7
20071101 20071130    37.9
20071201 20071231    90.0
20080101 20080131    88.0
20080201 20080229   137.4
20080301 20080331    60.9
20080401 20080430     1.6
20080501 20080531    57.3
20080601 20080630    22.4
20080701 20080731   109.4
20080801 20080831     3.6
20080901 20080930    11.8
20081001 20081031    21.3
20081101 20081130    96.8
20081201 20081231    21.0
20090101 20090131   204.5
20090201 20090228    72.9
20090301 20090331    52.5
20090401 20090430    61.5
20090501 20090531    33.9
20090601 20090630    69.3
20090701 20090731     0.8
20090801 20090831    11.6
20090901 20090930    35.3
20091001 20091031    47.1
20091101 20091130    95.3
20091201 20091231   103.3
20100101 20100131    24.7
20100201 20100228   206.6
20100301 20100331   119.5
20100401 20100430     8.4
20100501 20100531    29.8
20100601 20100630     4.0
20100701 20100731    35.2
20100801 20100831    86.2
20100901 20100930   218.0
20101001 20101031    75.1
20101101 20101130    45.3
20101201 20101231   485.3
20110101 20110131   230.6
20110201 20110228    48.9
20110301 20110331    87.6
20110401 20110430    75.3
20110501 20110531    48.5
20110601 20110630    11.4
20110701 20110731    16.3
20110801 20110831    79.8
20110901 20110930    10.2
20111001 20111031    72.7
20111101 20111130    28.6
20111201 20111231   146.2
20120101 20120131    62.1
20120201 20120229    83.5
20120301 20120331    96.9
20120401 20120430    25.4
20120501 20120531    13.9
20120601 20120630    63.1
20120701 20120731    19.4
20120801 20120831     0.0
20120901 20120930    12.9
20121001 20121031    29.6
20121101 20121130    43.4
20121201 20121231    37.8
20130101 20130131   350.5
20130201 20130228   235.9
20130301 20130331   113.8
20130401 20130430    27.3
20130501 20130531    21.8
20130601 20130630    16.8
20130701 20130731    12.8
20130801 20130831 99999.9
20130901 20130930     6.2
20131001 20131031    31.0
20131101 20131130    62.6
20131201 20131231    46.9
20140101 20140131     2.6
20140201 20140228     9.0
20140301 20140331    77.9
20140401 20140430    25.1
20140501 20140531    22.8
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831    29.8
20140901 20140930    20.5
20141001 20141031 99999.9
20141101 20141130    16.2
