PRCP       040428 18951101 20141130 missing_value=99999.9 BRIAN PASTURES                            
19171001 19171031     7.4
19171101 19171130   225.2
19171201 19171231    52.9
19180101 19180131   202.7
19180201 19180228    90.7
19180301 19180331    34.3
19180401 19180430    61.4
19180501 19180531    21.0
19180601 19180630     1.4
19180701 19180731     6.5
19180801 19180831    16.6
19180901 19180930     9.6
19181001 19181031     2.8
19181101 19181130     5.9
19181201 19181231    11.0
19190101 19190131    17.7
19190201 19190228    56.0
19190301 19190331    62.8
19190401 19190430    33.5
19190501 19190531    53.4
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    21.2
19190901 19190930     0.0
19191001 19191031    15.6
19191101 19191130     0.0
19191201 19191231     6.2
19200101 19200131   162.7
19200201 19200229    12.9
19200301 19200331    47.0
19200401 19200430    28.6
19200501 19200531    28.4
19200601 19200630    54.5
19200701 19200731    31.8
19200801 19200831    18.6
19200901 19200930    59.2
19201001 19201031   102.7
19201101 19201130    41.5
19201201 19201231    86.4
19210101 19210131    78.1
19210201 19210228    21.4
19210301 19210331   126.1
19210401 19210430    60.6
19210501 19210531    45.9
19210601 19210630    95.0
19210701 19210731    50.6
19210801 19210831    31.3
19210901 19210930    32.6
19211001 19211031    69.9
19211101 19211130    49.6
19211201 19211231   293.5
19220101 19220131    68.3
19220201 19220228    60.2
19220301 19220331    22.0
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    39.9
19220701 19220731    61.9
19220801 19220831     8.6
19220901 19220930    10.9
19221001 19221031     6.2
19221101 19221130    37.8
19221201 19221231    92.5
19230101 19230131   102.5
19230201 19230228     6.0
19230301 19230331    30.7
19230401 19230430   108.9
19230501 19230531     0.0
19230601 19230630   113.6
19230701 19230731    18.0
19230801 19230831     0.0
19230901 19230930    19.1
19231001 19231031    15.5
19231101 19231130    35.3
19231201 19231231   144.9
19240101 19240131    53.0
19240201 19240229   272.0
19240301 19240331    65.6
19240401 19240430    43.0
19240501 19240531     0.0
19240601 19240630    38.2
19240701 19240731    93.6
19240801 19240831     0.0
19240901 19240930    56.8
19241001 19241031   149.9
19241101 19241130    89.8
19241201 19241231   119.4
19250101 19250131   175.7
19250201 19250228    62.9
19250301 19250331    45.1
19250401 19250430    13.8
19250501 19250531    56.9
19250601 19250630    89.3
19250701 19250731    20.3
19250801 19250831    42.3
19250901 19250930    19.1
19251001 19251031    10.2
19251101 19251130    73.3
19251201 19251231   141.2
19260101 19260131    86.5
19260201 19260228    27.9
19260301 19260331    54.3
19260401 19260430    31.3
19260501 19260531    71.6
19260601 19260630    44.6
19260701 19260731    15.5
19260801 19260831     0.0
19260901 19260930    17.0
19261001 19261031    27.6
19261101 19261130     6.0
19261201 19261231   280.9
19270101 19270131   147.0
19270201 19270228    59.7
19270301 19270331   143.0
19270401 19270430    83.1
19270501 19270531     0.0
19270601 19270630    44.2
19270701 19270731    13.8
19270801 19270831     9.5
19270901 19270930    34.6
19271001 19271031    84.9
19271101 19271130    96.9
19271201 19271231   127.3
19280101 19280131   108.6
19280201 19280229   429.7
19280301 19280331    52.5
19280401 19280430   130.7
19280501 19280531    20.8
19280601 19280630   125.8
19280701 19280731    13.2
19280801 19280831     0.0
19280901 19280930     8.1
19281001 19281031     5.3
19281101 19281130    56.2
19281201 19281231    69.4
19290101 19290131   132.9
19290201 19290228   173.2
19290301 19290331    48.2
19290401 19290430   178.6
19290501 19290531     0.0
19290601 19290630    31.0
19290701 19290731     2.2
19290801 19290831    20.2
19290901 19290930     0.0
19291001 19291031    65.4
19291101 19291130    66.3
19291201 19291231    43.5
19300101 19300131   210.8
19300201 19300228    66.6
19300301 19300331    63.5
19300401 19300430    17.2
19300501 19300531    57.8
19300601 19300630   144.9
19300701 19300731    25.9
19300801 19300831    41.6
19300901 19300930    58.6
19301001 19301031    14.3
19301101 19301130    63.8
19301201 19301231    45.4
19310101 19310131   243.6
19310201 19310228    80.0
19310301 19310331    54.9
19310401 19310430    63.3
19310501 19310531    62.3
19310601 19310630     4.0
19310701 19310731    15.8
19310801 19310831     0.0
19310901 19310930    42.0
19311001 19311031    46.6
19311101 19311130    95.9
19311201 19311231   210.4
19320101 19320131    27.5
19320201 19320229    41.3
19320301 19320331     5.9
19320401 19320430    46.8
19320501 19320531    28.4
19320601 19320630     0.0
19320701 19320731     7.6
19320801 19320831     3.6
19320901 19320930    31.0
19321001 19321031   101.7
19321101 19321130    30.9
19321201 19321231    26.4
19330101 19330131   228.6
19330201 19330228    47.0
19330301 19330331     1.9
19330401 19330430    97.4
19330501 19330531     5.3
19330601 19330630    32.5
19330701 19330731   103.0
19330801 19330831    60.0
19330901 19330930    67.2
19331001 19331031   188.9
19331101 19331130   152.8
19331201 19331231    81.2
19340101 19340131   130.5
19340201 19340228   140.9
19340301 19340331    10.2
19340401 19340430    89.4
19340501 19340531    46.9
19340601 19340630    85.9
19340701 19340731    52.5
19340801 19340831    20.5
19340901 19340930    61.6
19341001 19341031    62.3
19341101 19341130   143.0
19341201 19341231   155.5
19350101 19350131    31.2
19350201 19350228    70.3
19350301 19350331     2.4
19350401 19350430    16.7
19350501 19350531    53.3
19350601 19350630     0.0
19350701 19350731    65.6
19350801 19350831    10.1
19350901 19350930    47.0
19351001 19351031    53.5
19351101 19351130     0.0
19351201 19351231   148.1
19360101 19360131   128.7
19360201 19360229    31.0
19360301 19360331    81.4
19360401 19360430     0.0
19360501 19360531    38.7
19360601 19360630   144.2
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930    28.7
19361001 19361031    16.0
19361101 19361130    22.7
19361201 19361231   149.7
19370101 19370131    17.9
19370201 19370228    72.6
19370301 19370331   322.9
19370401 19370430    33.7
19370501 19370531    20.3
19370601 19370630    20.0
19370701 19370731    18.3
19370801 19370831    37.7
19370901 19370930     7.1
19371001 19371031   131.0
19371101 19371130    15.5
19371201 19371231    47.3
19380101 19380131   160.6
19380201 19380228     2.4
19380301 19380331   121.3
19380401 19380430    52.5
19380501 19380531   218.9
19380601 19380630    34.1
19380701 19380731    39.4
19380801 19380831    61.3
19380901 19380930     3.6
19381001 19381031     8.1
19381101 19381130   100.0
19381201 19381231     5.5
19390101 19390131   246.4
19390201 19390228    39.4
19390301 19390331    74.2
19390401 19390430    40.6
19390501 19390531    15.3
19390601 19390630    45.1
19390701 19390731    41.5
19390801 19390831    57.1
19390901 19390930    27.4
19391001 19391031    91.9
19391101 19391130    96.9
19391201 19391231   151.3
19400101 19400131    49.8
19400201 19400229    39.9
19400301 19400331   153.2
19400401 19400430    24.1
19400501 19400531     7.4
19400601 19400630     6.4
19400701 19400731    10.7
19400801 19400831     7.5
19400901 19400930     0.0
19401001 19401031     3.1
19401101 19401130   109.0
19401201 19401231    98.9
19410101 19410131   128.1
19410201 19410228    46.3
19410301 19410331   130.7
19410401 19410430    13.3
19410501 19410531     3.8
19410601 19410630    65.7
19410701 19410731     5.7
19410801 19410831     3.1
19410901 19410930     0.3
19411001 19411031    39.1
19411101 19411130    35.3
19411201 19411231    42.2
19420101 19420131   192.0
19420201 19420228   159.2
19420301 19420331    16.5
19420401 19420430    45.9
19420501 19420531    43.5
19420601 19420630    26.8
19420701 19420731    38.6
19420801 19420831     0.9
19420901 19420930     8.4
19421001 19421031    73.1
19421101 19421130    36.3
19421201 19421231   393.6
19430101 19430131   176.3
19430201 19430228    93.6
19430301 19430331     6.3
19430401 19430430    28.5
19430501 19430531    44.2
19430601 19430630    33.2
19430701 19430731     0.5
19430801 19430831    29.1
19430901 19430930    16.4
19431001 19431031    89.4
19431101 19431130    85.2
19431201 19431231   157.2
19440101 19440131    27.7
19440201 19440229    62.3
19440301 19440331    14.8
19440401 19440430     0.9
19440501 19440531    61.3
19440601 19440630    17.7
19440701 19440731    40.9
19440801 19440831    22.2
19440901 19440930    18.9
19441001 19441031    10.1
19441101 19441130    26.5
19441201 19441231   121.1
19450101 19450131   102.3
19450201 19450228   193.1
19450301 19450331    19.4
19450401 19450430    11.2
19450501 19450531    36.5
19450601 19450630    22.7
19450701 19450731    70.7
19450801 19450831     2.6
19450901 19450930    80.0
19451001 19451031   123.0
19451101 19451130    17.2
19451201 19451231    80.7
19460101 19460131   242.1
19460201 19460228    31.0
19460301 19460331    38.9
19460401 19460430    13.2
19460501 19460531     5.0
19460601 19460630     3.4
19460701 19460731     3.6
19460801 19460831     4.0
19460901 19460930    19.1
19461001 19461031    47.4
19461101 19461130    46.5
19461201 19461231    71.2
19470101 19470131    55.4
19470201 19470228   304.7
19470301 19470331   345.7
19470401 19470430    82.4
19470501 19470531    16.0
19470601 19470630     4.3
19470701 19470731     4.5
19470801 19470831    19.6
19470901 19470930   100.8
19471001 19471031   103.1
19471101 19471130    99.1
19471201 19471231    38.9
19480101 19480131    28.9
19480201 19480229   152.6
19480301 19480331   105.9
19480401 19480430    90.9
19480501 19480531    95.6
19480601 19480630    87.0
19480701 19480731    35.2
19480801 19480831     3.6
19480901 19480930    17.2
19481001 19481031    14.3
19481101 19481130    14.9
19481201 19481231    77.8
19490101 19490131    44.1
19490201 19490228   246.8
19490301 19490331   296.9
19490401 19490430    22.2
19490501 19490531    22.0
19490601 19490630    57.1
19490701 19490731    11.9
19490801 19490831    14.6
19490901 19490930    84.9
19491001 19491031   163.1
19491101 19491130    75.3
19491201 19491231    47.8
19500101 19500131   127.7
19500201 19500228   268.0
19500301 19500331   151.7
19500401 19500430    19.5
19500501 19500531    45.7
19500601 19500630    79.2
19500701 19500731   133.2
19500801 19500831    10.7
19500901 19500930    21.5
19501001 19501031    95.5
19501101 19501130   197.5
19501201 19501231    39.4
19510101 19510131   197.4
19510201 19510228    29.1
19510301 19510331    38.9
19510401 19510430    54.4
19510501 19510531     7.0
19510601 19510630    10.1
19510701 19510731     1.2
19510801 19510831    16.5
19510901 19510930    18.0
19511001 19511031    24.3
19511101 19511130     1.9
19511201 19511231    29.1
19520101 19520131    93.4
19520201 19520229    48.8
19520301 19520331   176.8
19520401 19520430    63.9
19520501 19520531   108.7
19520601 19520630    44.9
19520701 19520731    21.2
19520801 19520831    23.3
19520901 19520930    14.3
19521001 19521031    36.8
19521101 19521130    72.1
19521201 19521231    84.6
19530101 19530131   132.1
19530201 19530228   165.3
19530301 19530331   177.8
19530401 19530430    29.8
19530501 19530531    15.5
19530601 19530630     2.4
19530701 19530731     3.6
19530801 19530831   104.1
19530901 19530930    12.4
19531001 19531031    90.2
19531101 19531130   168.0
19531201 19531231    35.8
19540101 19540131   162.6
19540201 19540228   374.8
19540301 19540331     6.0
19540401 19540430    29.1
19540501 19540531    13.4
19540601 19540630    21.6
19540701 19540731   342.5
19540801 19540831    60.9
19540901 19540930    27.9
19541001 19541031    77.4
19541101 19541130    36.5
19541201 19541231    47.0
19550101 19550131    72.5
19550201 19550228    85.1
19550301 19550331   308.4
19550401 19550430   116.5
19550501 19550531   138.6
19550601 19550630     0.5
19550701 19550731    46.8
19550801 19550831     3.0
19550901 19550930    58.6
19551001 19551031    52.6
19551101 19551130    32.1
19551201 19551231   132.8
19560101 19560131    79.8
19560201 19560229   210.6
19560301 19560331   260.5
19560401 19560430    39.8
19560501 19560531    61.5
19560601 19560630    59.7
19560701 19560731    54.4
19560801 19560831     8.1
19560901 19560930     5.9
19561001 19561031    63.6
19561101 19561130    44.8
19561201 19561231   252.3
19570101 19570131    29.8
19570201 19570228     7.9
19570301 19570331    11.7
19570401 19570430     1.3
19570501 19570531     0.0
19570601 19570630    18.5
19570701 19570731    49.9
19570801 19570831    26.4
19570901 19570930     0.0
19571001 19571031    22.7
19571101 19571130    34.8
19571201 19571231    29.7
19580101 19580131    80.3
19580201 19580228   207.0
19580301 19580331   121.4
19580401 19580430    44.6
19580501 19580531     2.9
19580601 19580630   152.3
19580701 19580731     4.3
19580801 19580831    39.9
19580901 19580930    38.3
19581001 19581031    76.1
19581101 19581130     2.1
19581201 19581231   106.3
19590101 19590131   307.4
19590201 19590228    97.6
19590301 19590331    74.5
19590401 19590430    12.3
19590501 19590531    46.7
19590601 19590630     0.8
19590701 19590731    54.8
19590801 19590831     7.1
19590901 19590930    28.5
19591001 19591031    68.5
19591101 19591130   120.0
19591201 19591231   188.3
19600101 19600131    94.3
19600201 19600229   129.2
19600301 19600331    60.0
19600401 19600430    27.4
19600501 19600531    41.6
19600601 19600630    13.5
19600701 19600731    11.0
19600801 19600831     8.6
19600901 19600930    10.4
19601001 19601031    85.6
19601101 19601130    30.0
19601201 19601231    64.0
19610101 19610131    91.3
19610201 19610228   148.5
19610301 19610331    19.8
19610401 19610430    19.9
19610501 19610531    11.9
19610601 19610630     5.1
19610701 19610731    43.2
19610801 19610831    14.3
19610901 19610930    17.7
19611001 19611031    85.1
19611101 19611130   160.3
19611201 19611231   112.2
19620101 19620131    77.4
19620201 19620228    82.3
19620301 19620331   119.4
19620401 19620430    34.9
19620501 19620531    24.4
19620601 19620630    27.0
19620701 19620731    29.0
19620801 19620831    16.1
19620901 19620930    42.9
19621001 19621031    16.0
19621101 19621130    37.3
19621201 19621231   123.1
19630101 19630131    52.4
19630201 19630228    27.5
19630301 19630331    88.0
19630401 19630430    18.4
19630501 19630531    27.7
19630601 19630630    28.7
19630701 19630731     1.3
19630801 19630831    34.0
19630901 19630930    36.3
19631001 19631031    11.7
19631101 19631130    20.6
19631201 19631231    71.7
19640101 19640131    59.9
19640201 19640229   146.9
19640301 19640331    41.1
19640401 19640430    28.5
19640501 19640531    36.2
19640601 19640630    31.6
19640701 19640731    75.2
19640801 19640831    22.8
19640901 19640930    78.3
19641001 19641031    82.0
19641101 19641130    60.9
19641201 19641231    80.2
19650101 19650131   114.0
19650201 19650228     0.8
19650301 19650331     9.7
19650401 19650430    45.6
19650501 19650531    24.8
19650601 19650630    71.2
19650701 19650731    14.0
19650801 19650831    20.8
19650901 19650930    34.2
19651001 19651031    23.6
19651101 19651130    58.9
19651201 19651231    77.5
19660101 19660131    95.8
19660201 19660228    81.3
19660301 19660331   199.3
19660401 19660430    73.8
19660501 19660531     5.8
19660601 19660630    50.6
19660701 19660731    26.2
19660801 19660831    76.5
19660901 19660930    60.2
19661001 19661031    63.3
19661101 19661130    61.5
19661201 19661231    86.4
19670101 19670131    91.2
19670201 19670228    93.8
19670301 19670331    61.0
19670401 19670430     2.0
19670501 19670531    33.9
19670601 19670630   130.7
19670701 19670731    47.0
19670801 19670831    23.9
19670901 19670930     8.9
19671001 19671031    43.5
19671101 19671130    75.8
19671201 19671231    70.2
19680101 19680131   433.2
19680201 19680229    89.8
19680301 19680331    61.8
19680401 19680430    24.9
19680501 19680531    68.4
19680601 19680630     0.0
19680701 19680731    30.5
19680801 19680831    45.7
19680901 19680930     6.5
19681001 19681031     0.0
19681101 19681130    81.6
19681201 19681231    62.2
19690101 19690131    11.8
19690201 19690228    42.8
19690301 19690331    15.3
19690401 19690430     0.8
19690501 19690531    32.0
19690601 19690630    12.7
19690701 19690731     8.6
19690801 19690831    27.9
19690901 19690930     6.4
19691001 19691031    93.6
19691101 19691130   118.4
19691201 19691231   106.7
19700101 19700131   114.4
19700201 19700228   132.7
19700301 19700331    68.1
19700401 19700430     4.1
19700501 19700531     4.8
19700601 19700630    37.1
19700701 19700731     2.8
19700801 19700831     3.3
19700901 19700930    49.7
19701001 19701031    66.6
19701101 19701130   113.4
19701201 19701231   256.1
19710101 19710131   260.9
19710201 19710228   296.4
19710301 19710331     7.4
19710401 19710430     2.2
19710501 19710531     0.0
19710601 19710630    39.9
19710701 19710731     9.7
19710801 19710831   104.2
19710901 19710930    42.7
19711001 19711031    62.4
19711101 19711130    35.6
19711201 19711231    85.1
19720101 19720131   132.1
19720201 19720229   112.0
19720301 19720331    91.2
19720401 19720430    87.6
19720501 19720531    32.9
19720601 19720630    33.3
19720701 19720731     0.8
19720801 19720831    39.9
19720901 19720930    21.1
19721001 19721031   127.6
19721101 19721130   140.3
19721201 19721231    32.3
19730101 19730131   159.6
19730201 19730228   173.7
19730301 19730331    40.1
19730401 19730430     7.5
19730501 19730531     6.6
19730601 19730630    51.3
19730701 19730731   137.5
19730801 19730831    32.6
19730901 19730930    57.5
19731001 19731031    21.6
19731101 19731130    36.1
19731201 19731231   220.8
19740101 19740131   224.9
19740201 19740228    22.4
19740301 19740331    35.7
19740401 19740430    33.3
19740501 19740531    24.8
19740601 19740630     3.6
19740701 19740731     8.6
19740801 19740831    40.3
19740901 19740930    68.5
19741001 19741031    70.0
19741101 19741130    96.0
19741201 19741231    18.3
19750101 19750131   136.8
19750201 19750228   114.4
19750301 19750331    39.2
