PRCP       024515 18890801 20171231 missing_value=99999.9 LANGHORNE CREEK                           
19850201 19850228     3.8
19850301 19850331    81.0
19850401 19850430    58.8
19850501 19850531    19.4
19850601 19850630    48.8
19850701 19850731    24.4
19850801 19850831    71.0
19850901 19850930    54.0
19851001 19851031    36.4
19851101 19851130    10.0
19851201 19851231    26.4
19860101 19860131     7.2
19860201 19860228     0.0
19860301 19860331     1.8
19860401 19860430    40.0
19860501 19860531    35.0
19860601 19860630    19.0
19860701 19860731    88.8
19860801 19860831    72.4
19860901 19860930    37.0
19861001 19861031    47.2
19861101 19861130    19.8
19861201 19861231    18.7
19870101 19870131    21.2
19870201 19870228    42.0
19870301 19870331    11.0
19870401 19870430    32.2
19870501 19870531    53.2
19870601 19870630    49.4
19870701 19870731    32.6
19870801 19870831    30.4
19870901 19870930    19.2
19871001 19871031    27.5
19871101 19871130     7.6
19871201 19871231    93.3
19880101 19880131    13.7
19880201 19880229    10.6
19880301 19880331    19.5
19880401 19880430    11.2
19880501 19880531    52.3
19880601 19880630    72.8
19880701 19880731    32.8
19880801 19880831    24.6
19880901 19880930    36.8
19881001 19881031     3.4
19881101 19881130    30.0
19881201 19881231    23.5
19890101 19890131     5.8
19890201 19890228     9.0
19890301 19890331    14.0
19890401 19890430    29.6
19890501 19890531    70.6
19890601 19890630    60.0
19890701 19890731    53.8
19890801 19890831    52.2
19890901 19890930    29.0
19891001 19891031    25.8
19891101 19891130    48.6
19891201 19891231    11.6
19900101 19900131    21.8
19900201 19900228    22.2
19900301 19900331     2.0
19900401 19900430    21.0
19900501 19900531    10.8
19900601 19900630    96.4
19900701 19900731    76.6
19900801 19900831    62.2
19900901 19900930    34.6
19901001 19901031    23.2
19901101 19901130     2.4
19901201 19901231    29.0
19910101 19910131    10.2
19910201 19910228     0.0
19910301 19910331     8.8
19910401 19910430    26.6
19910501 19910531    15.0
19910601 19910630    85.2
19910701 19910731    53.2
19910801 19910831    50.4
19910901 19910930    48.8
19911001 19911031     3.8
19911101 19911130    18.8
19911201 19911231    16.0
19920101 19920131     3.2
19920201 19920229    13.4
19920301 19920331    54.6
19920401 19920430    41.4
19920501 19920531    41.6
19920601 19920630    36.2
19920701 19920731    24.4
19920801 19920831    64.0
19920901 19920930    85.8
19921001 19921031    57.0
19921101 19921130    66.4
19921201 19921231   135.4
19930101 19930131    15.4
19930201 19930228    11.2
19930301 19930331     7.4
19930401 19930430     0.2
19930501 19930531    18.2
19930601 19930630    30.4
19930701 19930731    58.6
19930801 19930831    30.2
19930901 19930930    63.8
19931001 19931031    50.6
19931101 19931130    21.4
19931201 19931231    51.4
19940101 19940131     4.8
19940201 19940228    16.0
19940301 19940331     0.2
19940401 19940430    15.2
19940501 19940531    15.0
19940601 19940630    82.8
19940701 19940731    24.8
19940801 19940831    14.2
19940901 19940930    43.0
19941001 19941031    20.8
19941101 19941130    33.2
19941201 19941231    20.2
19950101 19950131    21.2
19950201 19950228    20.4
19950301 19950331    12.8
19950401 19950430    36.8
19950501 19950531    45.0
19950601 19950630    26.0
19950701 19950731    59.0
19950801 19950831    15.8
19950901 19950930    19.6
19951001 19951031    36.4
19951101 19951130     4.0
19951201 19951231    12.8
19960101 19960131    62.2
19960201 19960229    12.0
19960301 19960331     8.2
19960401 19960430    27.2
19960501 19960531    31.0
19960601 19960630    40.0
19960701 19960731    48.0
19960801 19960831    74.2
19960901 19960930    65.8
19961001 19961031    17.8
19961101 19961130     3.8
19961201 19961231    25.2
19970101 19970131    27.0
19970201 19970228    14.2
19970301 19970331     3.0
19970401 19970430     4.0
19970501 19970531    38.8
19970601 19970630    19.0
19970701 19970731    18.4
19970801 19970831    43.4
19970901 19970930    56.6
19971001 19971031    81.2
19971101 19971130    43.0
19971201 19971231    19.6
19980101 19980131     8.0
19980201 19980228     7.6
19980301 19980331     4.6
19980401 19980430    78.8
19980501 19980531    15.6
19980601 19980630    52.0
19980701 19980731    46.2
19980801 19980831    29.2
19980901 19980930    40.6
19981001 19981031    36.0
19981101 19981130    26.8
19981201 19981231     8.4
19990101 19990131    11.6
19990201 19990228     3.2
19990301 19990331    50.4
19990401 19990430     9.2
19990501 19990531    22.4
19990601 19990630    30.0
19990701 19990731    32.8
19990801 19990831    16.8
19990901 19990930    21.4
19991001 19991031    38.4
19991101 19991130    32.2
19991201 19991231    19.8
20000101 20000131     8.0
20000201 20000229    86.4
20000301 20000331    16.8
20000401 20000430    46.6
20000501 20000531    39.0
20000601 20000630    65.6
20000701 20000731    47.4
20000801 20000831    39.2
20000901 20000930    21.2
20001001 20001031    64.0
20001101 20001130     3.8
20001201 20001231     9.0
20010101 20010131    11.0
20010201 20010228    50.8
20010301 20010331    11.8
20010401 20010430    21.2
20010501 20010531    53.2
20010601 20010630    33.2
20010701 20010731    19.4
20010801 20010831    43.8
20010901 20010930    45.2
20011001 20011031    35.8
20011101 20011130    39.6
20011201 20011231    18.6
20020101 20020131    24.0
20020201 20020228     2.4
20020301 20020331    17.2
20020401 20020430     9.2
20020501 20020531    32.6
20020601 20020630    28.8
20020701 20020731    37.4
20020801 20020831    26.2
20020901 20020930    23.6
20021001 20021031    16.4
20021101 20021130    32.6
20021201 20021231     3.4
20030101 20030131     7.2
20030201 20030228    48.2
20030301 20030331    16.8
20030401 20030430    15.0
20030501 20030531    43.0
20030601 20030630    50.4
20030701 20030731    34.0
20030801 20030831    86.0
20030901 20030930    32.0
20031001 20031031    67.2
20031101 20031130    11.8
20031201 20031231    24.0
20040101 20040131     8.8
20040201 20040229    10.2
20040301 20040331     6.4
20040401 20040430     5.6
20040501 20040531    15.6
20040601 20040630    43.0
20040701 20040731    55.6
20040801 20040831    47.2
20040901 20040930    39.3
20041001 20041031    14.0
20041101 20041130    39.8
20041201 20041231    46.8
20050101 20050131    16.8
20050201 20050228    40.6
20050301 20050331    13.6
20050401 20050430     6.6
20050501 20050531     6.4
20050601 20050630   125.6
20050701 20050731    34.4
20050801 20050831    44.4
20050901 20050930    51.4
20051001 20051031    70.2
20051101 20051130    32.8
20051201 20051231    31.8
20060101 20060131    20.6
20060201 20060228    11.6
20060301 20060331    31.8
20060401 20060430    41.8
20060501 20060531    34.4
20060601 20060630    20.6
20060701 20060731    28.2
20060801 20060831     7.8
20060901 20060930    30.4
20061001 20061031     0.5
20061101 20061130     9.0
20061201 20061231    16.6
20070101 20070131    27.6
20070201 20070228     0.2
20070301 20070331    10.2
20070401 20070430    69.2
20070501 20070531    19.6
20070601 20070630    32.0
20070701 20070731    40.2
20070801 20070831    13.8
20070901 20070930    22.2
20071001 20071031    25.8
20071101 20071130    32.6
20071201 20071231    29.8
20080101 20080131     6.0
20080201 20080229     7.8
20080301 20080331    13.2
20080401 20080430    25.2
20080501 20080531    35.4
20080601 20080630    35.0
20080701 20080731    37.4
20080801 20080831    85.0
20080901 20080930    24.6
20081001 20081031     6.6
20081101 20081130    18.6
20081201 20081231    33.6
20090101 20090131     0.4
20090201 20090228     1.0
20090301 20090331    12.4
20090401 20090430    21.8
20090501 20090531    36.2
20090601 20090630    40.2
20090701 20090731    60.6
20090801 20090831    46.0
20090901 20090930    70.0
20091001 20091031    28.4
20091101 20091130    22.6
20091201 20091231    19.2
20100101 20100131     7.4
20100201 20100228     5.4
20100301 20100331    14.6
20100401 20100430    51.8
20100501 20100531    42.0
20100601 20100630    44.0
20100701 20100731    32.2
20100801 20100831    56.2
20100901 20100930    86.8
20101001 20101031    37.8
20101101 20101130    23.8
20101201 20101231    82.4
20110101 20110131    19.0
20110201 20110228    47.4
20110301 20110331    82.4
20110401 20110430    18.8
20110501 20110531    39.6
20110601 20110630    25.2
20110701 20110731    31.6
20110801 20110831    28.6
20110901 20110930    33.8
20111001 20111031    35.6
20111101 20111130    24.2
20111201 20111231    27.2
20120101 20120131    13.6
20120201 20120229    10.0
20120301 20120331    55.0
20120401 20120430    24.4
20120501 20120531    83.6
20120601 20120630    96.8
20120701 20120731    60.6
20120801 20120831    37.2
20120901 20120930    21.0
20121001 20121031    21.8
20121101 20121130    10.5
20121201 20121231     9.0
20130101 20130131    10.6
20130201 20130228    15.4
20130301 20130331     2.0
20130401 20130430    28.6
20130501 20130531    24.6
20130601 20130630    89.2
20130701 20130731    84.6
20130801 20130831    34.0
20130901 20130930    37.8
20131001 20131031    18.8
20131101 20131130    21.4
20131201 20131231    27.6
20140101 20140131     9.6
20140201 20140228    48.8
20140301 20140331     8.6
20140401 20140430    21.2
20140501 20140531    45.0
20140601 20140630    56.6
20140701 20140731    48.2
20140801 20140831    13.6
20140901 20140930    22.6
20141001 20141031    11.6
20141101 20141130    12.2
20141201 20141231    11.6
20150101 20150131    66.2
20150201 20150228     3.6
20150301 20150331    13.2
20150401 20150430    89.2
20150501 20150531    71.8
20150601 20150630    17.6
20150701 20150731    53.2
20150801 20150831    31.2
20150901 20150930    29.2
20151001 20151031     6.0
20151101 20151130    13.0
20151201 20151231    11.0
20160101 20160131    17.0
20160201 20160229    22.6
20160301 20160331    24.2
20160401 20160430     9.2
20160501 20160531    34.4
20160601 20160630    34.0
20160701 20160731    96.2
20160801 20160831    17.4
20160901 20160930   131.2
20161001 20161031    35.2
20161101 20161130    15.8
20161201 20161231    48.8
20170101 20170131    30.8
20170201 20170228    29.4
20170301 20170331    14.0
20170401 20170430    51.4
20170501 20170531    31.4
20170601 20170630    10.4
20170701 20170731    45.4
20170801 20170831    68.0
20170901 20170930    26.0
20171001 20171031    17.2
20171101 20171130    34.6
20171201 20171231    50.4
