PRCP       089005 18821001 20180131 missing_value=99999.9 BEAUFORT                                  
19040901 19040930    32.8
19041001 19041031    82.1
19041101 19041130    51.6
19041201 19041231     3.8
19050101 19050131    27.4
19050201 19050228    31.8
19050301 19050331    27.9
19050401 19050430    35.0
19050501 19050531    76.2
19050601 19050630    67.1
19050701 19050731    94.5
19050801 19050831    33.3
19050901 19050930    78.9
19051001 19051031    67.3
19051101 19051130    21.8
19051201 19051231    47.5
19060101 19060131     0.0
19060201 19060228    20.3
19060301 19060331    97.2
19060401 19060430    19.3
19060501 19060531   100.3
19060601 19060630    90.1
19060701 19060731    57.0
19060801 19060831    46.6
19060901 19060930   102.1
19061001 19061031   106.6
19061101 19061130   102.9
19061201 19061231     9.7
19070101 19070131    21.6
19070201 19070228    21.1
19070301 19070331    16.3
19070401 19070430    90.5
19070501 19070531    60.7
19070601 19070630    37.2
19070701 19070731    79.1
19070801 19070831    63.3
19070901 19070930    21.4
19071001 19071031    25.0
19071101 19071130    41.5
19071201 19071231   116.3
19080101 19080131    16.8
19080201 19080229     8.6
19080301 19080331    41.6
19080401 19080430     4.5
19080501 19080531    81.4
19080601 19080630    79.5
19080701 19080731    32.0
19080801 19080831    51.5
19080901 19080930    92.1
19081001 19081031    79.6
19081101 19081130    37.9
19081201 19081231    15.2
19090101 19090131    55.8
19090201 19090228    20.3
19090301 19090331    47.0
19090401 19090430    67.1
19090501 19090531   106.8
19090601 19090630    60.3
19090701 19090731    49.0
19090801 19090831   151.7
19090901 19090930    41.4
19091001 19091031    32.5
19091101 19091130    45.0
19091201 19091231    21.6
19100101 19100131    30.0
19100201 19100228     8.4
19100301 19100331   134.5
19100401 19100430    19.4
19100501 19100531    68.5
19100601 19100630    84.6
19100701 19100731    82.1
19100801 19100831    53.1
19100901 19100930   116.5
19101001 19101031    65.6
19101101 19101130    36.9
19101201 19101231    48.4
19110101 19110131    10.3
19110201 19110228   175.1
19110301 19110331   133.8
19110401 19110430    23.1
19110501 19110531    97.2
19110601 19110630    72.9
19110701 19110731    46.9
19110801 19110831    37.9
19110901 19110930   137.1
19111001 19111031    45.4
19111101 19111130    10.2
19111201 19111231    96.7
19120101 19120131     4.3
19120201 19120229     9.4
19120301 19120331    65.0
19120401 19120430    53.1
19120501 19120531    35.5
19120601 19120630    48.3
19120701 19120731    38.0
19120801 19120831    39.0
19120901 19120930   142.3
19121001 19121031    26.6
19121101 19121130    57.9
19121201 19121231    57.7
19130101 19130131    11.6
19130201 19130228    43.0
19130301 19130331    73.8
19130401 19130430    40.7
19130501 19130531    43.7
19130601 19130630    38.1
19130701 19130731    33.7
19130801 19130831    64.9
19130901 19130930    74.9
19131001 19131031    21.6
19131101 19131130    63.3
19131201 19131231    25.4
19140101 19140131    18.8
19140201 19140228     1.3
19140301 19140331    20.1
19140401 19140430    41.1
19140501 19140531    25.9
19140601 19140630    18.5
19140701 19140731    41.8
19140801 19140831     8.1
19140901 19140930    17.1
19141001 19141031    11.2
19141101 19141130    32.8
19141201 19141231    93.9
19150101 19150131    20.8
19150201 19150228     8.6
19150301 19150331    10.5
19150401 19150430    48.3
19150501 19150531    49.6
19150601 19150630    62.1
19150701 19150731    40.7
19150801 19150831    60.7
19150901 19150930   132.2
19151001 19151031    45.5
19151101 19151130    30.9
19151201 19151231     3.1
19160101 19160131    55.8
19160201 19160229    23.5
19160301 19160331     2.0
19160401 19160430    46.6
19160501 19160531    17.2
19160601 19160630    71.2
19160701 19160731    63.4
19160801 19160831    80.7
19160901 19160930   128.3
19161001 19161031   108.5
19161101 19161130    85.6
19161201 19161231    76.4
19170101 19170131    19.5
19170201 19170228    59.2
19170301 19170331    32.8
19170401 19170430    33.4
19170501 19170531    82.5
19170601 19170630    49.4
19170701 19170731    63.0
19170801 19170831    94.3
19170901 19170930    78.2
19171001 19171031    87.4
19171101 19171130    45.4
19171201 19171231    28.3
19180101 19180131    20.8
19180201 19180228    18.0
19180301 19180331   101.4
19180401 19180430    54.3
19180501 19180531   100.4
19180601 19180630    78.9
19180701 19180731    71.2
19180801 19180831    61.2
19180901 19180930    58.7
19181001 19181031    52.3
19181101 19181130    17.6
19181201 19181231    37.3
19190101 19190131     6.2
19190201 19190228    90.6
19190301 19190331    52.6
19190401 19190430     6.5
19190501 19190531    62.1
19190601 19190630    49.6
19190701 19190731    45.2
19190801 19190831    40.7
19190901 19190930    62.4
19191001 19191031    29.3
19191101 19191130    16.5
19191201 19191231    61.1
19200101 19200131     9.0
19200201 19200229     6.6
19200301 19200331    28.9
19200401 19200430    21.0
19200501 19200531    55.2
19200601 19200630    85.2
19200701 19200731    63.6
19200801 19200831   129.9
19200901 19200930    75.3
19201001 19201031    38.5
19201101 19201130    88.4
19201201 19201231    22.2
19210101 19210131    79.9
19210201 19210228    38.8
19210301 19210331    25.5
19210401 19210430    17.4
19210501 19210531    59.0
19210601 19210630    54.8
19210701 19210731    75.7
19210801 19210831    88.7
19210901 19210930    63.6
19211001 19211031    52.7
19211101 19211130    58.7
19211201 19211231    15.3
19220101 19220131    11.1
19220201 19220228    25.5
19220301 19220331     8.0
19220401 19220430    33.1
19220501 19220531    82.1
19220601 19220630    63.8
19220701 19220731    52.7
19220801 19220831    55.4
19220901 19220930    40.6
19221001 19221031    72.8
19221101 19221130    20.5
19221201 19221231    62.2
19230101 19230131    28.0
19230201 19230228     6.6
19230301 19230331     2.3
19230401 19230430     0.3
19230501 19230531    98.1
19230601 19230630   142.1
19230701 19230731   193.6
19230801 19230831    65.6
19230901 19230930    67.6
19231001 19231031    91.0
19231101 19231130    58.3
19231201 19231231    77.1
19240101 19240131    46.8
19240201 19240229   137.7
19240301 19240331   112.9
19240401 19240430    53.4
19240501 19240531    49.6
19240601 19240630    70.3
19240701 19240731    29.8
19240801 19240831   114.4
19240901 19240930    96.7
19241001 19241031    82.4
19241101 19241130   165.1
19241201 19241231    28.9
19250101 19250131    39.7
19250201 19250228    43.1
19250301 19250331    20.7
19250401 19250430    32.6
19250501 19250531    88.2
19250601 19250630    35.9
19250701 19250731    68.9
19250801 19250831    50.0
19250901 19250930   104.1
19251001 19251031    32.9
19251101 19251130    42.1
19251201 19251231     7.9
19260101 19260131    18.3
19260201 19260228     5.3
19260301 19260331    14.3
19260401 19260430    66.8
19260501 19260531    83.5
19260601 19260630   100.9
19260701 19260731    86.1
19260801 19260831    58.2
19260901 19260930    47.1
19261001 19261031    90.4
19261101 19261130    51.0
19261201 19261231    36.3
19270101 19270131     6.3
19270201 19270228    24.6
19270301 19270331    25.1
19270401 19270430    23.7
19270501 19270531    97.9
19270601 19270630    31.3
19270701 19270731    92.3
19270801 19270831    78.0
19270901 19270930    43.3
19271001 19271031    43.0
19271101 19271130    29.6
19271201 19271231    42.4
19280101 19280131   131.5
19280201 19280229   127.4
19280301 19280331    39.6
19280401 19280430    57.7
19280501 19280531    58.5
19280601 19280630    75.1
19280701 19280731    45.8
19280801 19280831    20.8
19280901 19280930    79.2
19281001 19281031   127.5
19281101 19281130    21.2
19281201 19281231    22.5
19290101 19290131    35.4
19290201 19290228   102.2
19290301 19290331    39.2
19290401 19290430    81.1
19290501 19290531    51.2
19290601 19290630   106.4
19290701 19290731    71.9
19290801 19290831    47.9
19290901 19290930    52.2
19291001 19291031    68.7
19291101 19291130    52.9
19291201 19291231    87.3
19300101 19300131     5.7
19300201 19300228    74.1
19300301 19300331     8.6
19300401 19300430    54.5
19300501 19300531    67.9
19300601 19300630    37.5
19300701 19300731    68.9
19300801 19300831   114.2
19300901 19300930    68.6
19301001 19301031   139.5
19301101 19301130    41.3
19301201 19301231   156.2
19310101 19310131    23.1
19310201 19310228    13.9
19310301 19310331   131.9
19310401 19310430    74.1
19310501 19310531    96.8
19310601 19310630   125.4
19310701 19310731    60.9
19310801 19310831    80.5
19310901 19310930    73.0
19311001 19311031    26.0
19311101 19311130    81.8
19311201 19311231    16.9
19320101 19320131     3.4
19320201 19320229    81.8
19320301 19320331   119.4
19320401 19320430   119.5
19320501 19320531    25.2
19320601 19320630    84.7
19320701 19320731    67.6
19320801 19320831    94.5
19320901 19320930    40.9
19321001 19321031    68.0
19321101 19321130    25.9
19321201 19321231    63.8
19330101 19330131    59.0
19330201 19330228     2.1
19330301 19330331    32.9
19330401 19330430    33.7
19330501 19330531    65.4
19330601 19330630    38.5
19330701 19330731    41.3
19330801 19330831    62.8
19330901 19330930    89.6
