PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
19870301 19870331    35.0
19870401 19870430     0.0
19870501 19870531    31.6
19870601 19870630    49.5
19870701 19870731     0.0
19870801 19870831    15.5
19870901 19870930    14.7
19871001 19871031    20.0
19871101 19871130    75.4
19871201 19871231    65.8
19880101 19880131    19.8
19880201 19880229    22.0
19880301 19880331    79.5
19880401 19880430   109.9
19880501 19880531    26.1
19880601 19880630    33.1
19880701 19880731    61.6
19880801 19880831    25.0
19880901 19880930    39.0
19881001 19881031     0.0
19881101 19881130    16.1
19881201 19881231    27.4
19890101 19890131     5.8
19890201 19890228    11.0
19890301 19890331    16.8
19890401 19890430    81.8
19890501 19890531   109.1
19890601 19890630     7.4
19890701 19890731    23.2
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     9.4
19891101 19891130     1.2
19891201 19891231    25.0
19900101 19900131    21.2
19900201 19900228    15.8
19900301 19900331    65.8
19900401 19900430   308.4
19900501 19900531    26.0
19900601 19900630     8.2
19900701 19900731    35.8
19900801 19900831     4.0
19900901 19900930     5.4
19901001 19901031    18.2
19901101 19901130     0.2
19901201 19901231    43.4
19910101 19910131     6.0
19910201 19910228   100.0
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531    50.2
19910601 19910630     2.0
19910701 19910731     7.6
19910801 19910831     0.0
19910901 19910930     0.4
19911001 19911031     2.4
19911101 19911130    16.6
19911201 19911231   103.0
19920101 19920131    17.0
19920201 19920229   101.7
19920301 19920331     0.0
19920401 19920430     0.0
19920501 19920531     0.0
19920601 19920630     7.0
19920701 19920731    16.0
19920801 19920831    41.0
19920901 19920930     4.0
19921001 19921031    23.0
19921101 19921130    30.8
19921201 19921231    84.6
19930101 19930131    11.0
19930201 19930228    11.0
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531     8.4
19930601 19930630    48.0
19930701 19930731    35.0
19930801 19930831     7.0
19930901 19930930    44.6
19931001 19931031    54.0
19931101 19931130     0.0
19931201 19931231     2.7
19940101 19940131     0.0
19940201 19940228   110.0
19940301 19940331     4.0
19940401 19940430     0.0
19940501 19940531     8.4
19940601 19940630    25.0
19940701 19940731     8.0
19940801 19940831     0.0
19940901 19940930     3.0
19941001 19941031    25.6
19941101 19941130    28.4
19941201 19941231    15.0
19950101 19950131   197.4
19950201 19950228     1.4
19950301 19950331     0.0
19950401 19950430    54.0
19950501 19950531    88.2
19950601 19950630    34.0
19950701 19950731     1.0
19950801 19950831     0.0
19950901 19950930     7.2
19951001 19951031    28.2
19951101 19951130    74.8
19951201 19951231    17.0
19960101 19960131    20.4
19960201 19960229     0.0
19960301 19960331     0.0
19960401 19960430    98.0
19960501 19960531    67.0
19960601 19960630    12.4
19960701 19960731    46.4
19960801 19960831    23.6
19960901 19960930    15.2
19961001 19961031    32.2
19961101 19961130    11.4
19961201 19961231    26.0
19970101 19970131    89.0
19970201 19970228    27.0
19970301 19970331    18.0
19970401 19970430     0.0
19970501 19970531    35.4
19970601 19970630     4.4
19970701 19970731     5.0
19970801 19970831     3.0
19970901 19970930    45.6
19971001 19971031    43.4
19971101 19971130    46.8
19971201 19971231    43.2
19980101 19980131   100.8
19980201 19980228    26.6
19980301 19980331     2.0
19980401 19980430   101.0
19980501 19980531    11.0
19980601 19980630    76.6
19980701 19980731   135.0
19980801 19980831    68.0
19980901 19980930    59.4
19981001 19981031    12.0
19981101 19981130    12.2
19981201 19981231     2.0
19990101 19990131    44.0
19990201 19990228    79.0
19990301 19990331    24.0
19990401 19990430    83.0
19990501 19990531    40.0
19990601 19990630     5.0
19990701 19990731    21.0
19990801 19990831     9.6
19990901 19990930    18.0
19991001 19991031    77.0
19991101 19991130   147.0
19991201 19991231   114.8
20000101 20000131    12.0
20000201 20000229    47.0
20000301 20000331   340.0
20000401 20000430    28.0
20000501 20000531   116.0
20000601 20000630     6.0
20000701 20000731     7.0
20000801 20000831    15.6
20000901 20000930     0.0
20001001 20001031    77.2
20001101 20001130    73.0
20001201 20001231     9.0
20010101 20010131     7.0
20010201 20010228    10.0
20010301 20010331    51.0
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630    57.0
20010701 20010731     7.0
20010801 20010831     3.4
20010901 20010930     8.0
20011001 20011031    33.4
20011101 20011130    35.6
20011201 20011231     2.0
20020101 20020131     2.0
20020201 20020228    72.0
20020301 20020331    14.2
20020401 20020430     3.0
20020501 20020531     5.0
20020601 20020630     7.6
20020701 20020731     3.0
20020801 20020831    15.0
20020901 20020930    18.0
20021001 20021031     0.0
20021101 20021130     0.0
20021201 20021231     7.0
20030101 20030131    22.0
20030201 20030228    27.8
20030301 20030331    12.0
20030401 20030430    44.0
20030501 20030531    11.0
20030601 20030630     6.4
20030701 20030731    16.4
20030801 20030831    37.4
20030901 20030930     0.0
20031001 20031031    23.0
20031101 20031130     7.0
20031201 20031231    20.0
20040101 20040131    51.4
20040201 20040229    22.0
20040301 20040331    27.0
20040401 20040430   131.0
20040501 20040531    24.0
20040601 20040630    13.0
20040701 20040731    23.0
20040801 20040831    20.0
20040901 20040930     3.0
20041001 20041031    10.0
20041101 20041130    25.0
20041201 20041231    42.0
20050101 20050131     4.0
20050201 20050228    13.0
20050301 20050331     0.0
20050401 20050430     0.0
20050501 20050531     8.4
20050601 20050630    47.0
20050701 20050731     0.0
20050801 20050831    25.2
20050901 20050930    36.4
20051001 20051031    17.2
20051101 20051130    54.2
20051201 20051231     0.0
20060101 20060131    23.5
20060201 20060228    20.0
20060301 20060331     0.0
20060401 20060430     3.0
20060501 20060531     0.0
20060601 20060630    23.2
20060701 20060731    40.8
20060801 20060831    14.0
20060901 20060930     9.8
20061001 20061031     0.0
20061101 20061130     0.0
20061201 20061231     9.0
20070101 20070131    42.0
20070201 20070228    13.6
20070301 20070331    70.4
20070401 20070430    15.0
20070501 20070531    89.0
20070601 20070630     4.6
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031    52.0
20071101 20071130    34.0
20071201 20071231   156.5
20080101 20080131    80.5
20080201 20080229    38.0
20080301 20080331    80.0
20080401 20080430     0.0
20080501 20080531     6.6
20080601 20080630    14.6
20080701 20080731    13.0
20080801 20080831    16.4
20080901 20080930    16.2
20081001 20081031    23.0
20081101 20081130    60.8
20081201 20081231    67.6
20090101 20090131    22.0
20090201 20090228   111.0
20090301 20090331    14.0
20090401 20090430    19.0
20090501 20090531    13.0
20090601 20090630    46.0
20090701 20090731     0.0
20090801 20090831     2.0
20090901 20090930    21.0
20091001 20091031    31.6
20091101 20091130     3.0
20091201 20091231   142.0
20100101 20100131    50.0
20100201 20100228   134.4
20100301 20100331    83.1
20100401 20100430    35.0
20100501 20100531     8.0
20100601 20100630     2.0
20100701 20100731    52.0
20100801 20100831    15.4
20100901 20100930    45.0
20101001 20101031    83.0
20101101 20101130   120.0
20101201 20101231    83.0
20110101 20110131    46.5
20110201 20110228   105.0
20110301 20110331     3.0
20110401 20110430     2.0
20110501 20110531    12.0
20110601 20110630    15.0
20110701 20110731    30.0
20110801 20110831     3.0
20110901 20110930    42.0
20111001 20111031    21.0
20111101 20111130    65.8
20111201 20111231   173.6
20120101 20120131   163.0
20120201 20120229    23.0
20120301 20120331   151.0
20120401 20120430     0.0
20120501 20120531    11.0
20120601 20120630    18.0
20120701 20120731    23.0
20120801 20120831     0.0
20120901 20120930    10.0
20121001 20121031     0.0
20121101 20121130    35.0
20121201 20121231     3.0
20130101 20130131    27.0
20130201 20130228     4.0
20130301 20130331    41.0
20130401 20130430     0.0
20130501 20130531    29.0
20130601 20130630    19.0
20130701 20130731    27.0
20130801 20130831     0.0
20130901 20130930    21.0
20131001 20131031     0.0
20131101 20131130     3.0
20131201 20131231     0.0
20140101 20140131    13.4
20140201 20140228    47.8
20140301 20140331    89.6
20140401 20140430     4.0
20140501 20140531     5.0
20140601 20140630    21.0
20140701 20140731     0.0
20140801 20140831    35.0
20140901 20140930    19.4
20141001 20141031     0.0
20141101 20141130     7.0
20141201 20141231    56.0
20150101 20150131     0.0
20150201 20150228    17.0
20150301 20150331    31.0
20150401 20150430     7.0
20150501 20150531    36.0
20150601 20150630    37.0
