PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
19131001 19131031    12.7
19131101 19131130    25.4
19131201 19131231    18.7
19140101 19140131     7.6
19140201 19140228    55.1
19140301 19140331     7.3
19140401 19140430     5.6
19140501 19140531    26.9
19140601 19140630     8.9
19140701 19140731    19.0
19140801 19140831     0.0
19140901 19140930    14.7
19141001 19141031     6.1
19141101 19141130    69.1
19141201 19141231    33.5
19150101 19150131     1.0
19150201 19150228     0.0
19150301 19150331     4.1
19150401 19150430    12.7
19150501 19150531    41.4
19150601 19150630    11.7
19150701 19150731    14.7
19150801 19150831     5.6
19150901 19150930     1.5
19151001 19151031    21.0
19151101 19151130     0.0
19151201 19151231    36.6
19160101 19160131     3.8
19160201 19160229     0.0
19160301 19160331     1.3
19160401 19160430    37.4
19160501 19160531     0.0
19160601 19160630    71.4
19160701 19160731    87.9
19160801 19160831     4.1
19160901 19160930    34.8
19161001 19161031    70.6
19161101 19161130    62.7
19161201 19161231    73.2
19170101 19170131    72.9
19170201 19170228    84.8
19170301 19170331     4.3
19170401 19170430     0.0
19170501 19170531     3.6
19170601 19170630    59.7
19170701 19170731    12.2
19170801 19170831    14.7
19170901 19170930    25.3
19171001 19171031     9.7
19171101 19171130    85.0
19171201 19171231    16.2
19180101 19180131   100.3
19180201 19180228     0.0
19180301 19180331     8.9
19180401 19180430    88.2
19180501 19180531    16.0
19180601 19180630     0.0
19180701 19180731    13.7
19180801 19180831    45.4
19180901 19180930    41.1
19181001 19181031     0.0
19181101 19181130    16.0
19181201 19181231    25.8
19190101 19190131     0.0
19190201 19190228    32.9
19190301 19190331     0.0
19190401 19190430     0.0
19190501 19190531    10.7
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    18.6
19190901 19190930     6.1
19191001 19191031     7.6
19191101 19191130     0.0
19191201 19191231     0.0
19200101 19200131     3.6
19200201 19200229    26.7
19200301 19200331    17.8
19200401 19200430    24.9
19200501 19200531     0.0
19200601 19200630   175.5
19200701 19200731    91.9
19200801 19200831    32.8
19200901 19200930   103.4
19201001 19201031    19.3
19201101 19201130    33.3
19201201 19201231    39.9
19210101 19210131    50.8
19210201 19210228    39.8
19210301 19210331    33.8
19210401 19210430    63.4
19210501 19210531    28.1
19210601 19210630    24.1
19210701 19210731    68.8
19210801 19210831     4.1
19210901 19210930    33.0
19211001 19211031    12.7
19211101 19211130    44.7
19211201 19211231    35.8
19220101 19220131     8.1
19220201 19220228    64.0
19220301 19220331     0.0
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630     7.6
19220701 19220731     3.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    10.7
19221101 19221130     0.0
19221201 19221231    73.4
19230101 19230131    22.9
19230201 19230228    14.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    10.7
19230601 19230630    92.0
19230701 19230731    13.2
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    21.4
19231101 19231130     9.4
19231201 19231231    94.2
19240101 19240131     0.0
19240201 19240229    62.8
19240301 19240331     7.4
19240401 19240430     3.6
19240501 19240531     0.0
19240601 19240630    27.2
19240701 19240731    13.7
19240801 19240831    14.5
19240901 19240930    38.3
19241001 19241031    41.3
19241101 19241130   102.5
19241201 19241231    21.9
19250101 19250131   159.6
19250201 19250228    25.1
19250301 19250331    24.4
19250401 19250430     0.0
19250501 19250531    17.1
19250601 19250630    13.5
19250701 19250731    10.7
19250801 19250831    20.2
19250901 19250930     7.1
19251001 19251031     0.0
19251101 19251130   114.1
19251201 19251231    29.0
19260101 19260131    38.2
19260201 19260228     3.0
19260301 19260331   195.9
19260401 19260430    55.8
19260501 19260531    44.5
19260601 19260630    19.6
19260701 19260731     3.0
19260801 19260831     0.0
19260901 19260930    78.0
19261001 19261031     0.0
19261101 19261130    14.7
19261201 19261231    64.8
19270101 19270131    20.3
19270201 19270228     0.0
19270301 19270331    36.8
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    29.5
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     6.1
19271001 19271031    18.6
19271101 19271130    28.4
19271201 19271231    90.5
19280101 19280131     7.9
19280201 19280229    69.6
19280301 19280331    20.4
19280401 19280430    41.6
19280501 19280531     0.0
19280601 19280630    24.4
19280701 19280731    18.9
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     4.3
19281101 19281130    14.2
19281201 19281231    15.1
19290101 19290131     0.0
19290201 19290228     3.6
19290301 19290331     5.8
19290401 19290430    19.3
19290501 19290531     0.0
19290601 19290630     5.8
19290701 19290731     0.0
19290801 19290831     2.3
19290901 19290930     6.6
19291001 19291031     0.0
19291101 19291130    40.1
19291201 19291231    27.7
19300101 19300131    71.2
19300201 19300228    14.5
19300301 19300331    32.3
19300401 19300430    10.1
19300501 19300531    35.3
19300601 19300630    54.6
19300701 19300731    53.9
19300801 19300831    13.0
19300901 19300930     2.8
19301001 19301031    45.2
19301101 19301130    19.5
19301201 19301231    48.0
19310101 19310131     8.9
19310201 19310228     0.0
19310301 19310331    48.1
19310401 19310430    62.5
19310501 19310531   114.3
19310601 19310630    55.9
19310701 19310731    24.4
19310801 19310831     0.0
19310901 19310930     3.6
19311001 19311031     2.5
19311101 19311130    35.1
19311201 19311231   128.4
19320101 19320131     0.0
19320201 19320229    48.0
19320301 19320331    25.7
19320401 19320430     6.3
19320501 19320531    31.2
19320601 19320630     3.8
19320701 19320731    12.4
19320801 19320831     3.8
19320901 19320930    23.6
19321001 19321031     4.9
19321101 19321130    15.3
19321201 19321231     2.8
19330101 19330131     6.6
19330201 19330228    15.0
19330301 19330331     5.7
19330401 19330430    18.4
19330501 19330531    18.1
19330601 19330630     5.8
19330701 19330731    16.0
19330801 19330831    30.2
19330901 19330930    47.7
19331001 19331031    14.8
19331101 19331130   114.5
19331201 19331231   106.4
19340101 19340131     4.8
19340201 19340228    30.2
19340301 19340331     0.0
19340401 19340430     4.3
19340501 19340531     2.3
19340601 19340630    48.0
19340701 19340731    24.1
19340801 19340831    13.9
19340901 19340930     7.1
19341001 19341031    78.2
19341101 19341130    49.8
19341201 19341231     0.0
19350101 19350131    15.2
19350201 19350228     0.0
19350301 19350331     3.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     2.0
19350701 19350731    43.4
19350801 19350831    15.5
19350901 19350930    23.8
19351001 19351031    14.7
19351101 19351130     5.8
19351201 19351231    18.8
19360101 19360131   194.4
19360201 19360229    29.7
19360301 19360331    36.1
19360401 19360430     0.0
19360501 19360531    16.5
19360601 19360630    20.3
19360701 19360731    34.8
19360801 19360831    23.9
19360901 19360930     0.0
19361001 19361031    10.2
19361101 19361130     0.0
19361201 19361231   148.6
19370101 19370131     2.3
19370201 19370228   109.9
19370301 19370331     6.3
19370401 19370430     4.1
19370501 19370531     0.8
19370601 19370630     8.1
19370701 19370731     0.0
19370801 19370831    24.9
19370901 19370930     6.0
19371001 19371031     0.0
19371101 19371130     2.6
19371201 19371231     4.5
19380101 19380131    40.1
19380201 19380228     3.3
19380301 19380331    19.6
19380401 19380430     7.6
19380501 19380531   106.7
19380601 19380630    58.5
19380701 19380731    44.8
