PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19230701 19230731    57.0
19230801 19230831    54.7
19230901 19230930   126.6
19231001 19231031    26.6
19231101 19231130     2.4
19231201 19231231    68.5
19240101 19240131     1.1
19240201 19240229    10.2
19240301 19240331    23.2
19240401 19240430    24.9
19240501 19240531    94.7
19240601 19240630   116.4
19240701 19240731    40.3
19240801 19240831    75.9
19240901 19240930    60.9
19241001 19241031    75.2
19241101 19241130    38.1
19241201 19241231     4.8
19250101 19250131    29.8
19250201 19250228    47.7
19250301 19250331    34.2
19250401 19250430    89.5
19250501 19250531    92.7
19250601 19250630    58.4
19250701 19250731   114.9
19250801 19250831    47.3
19250901 19250930   118.6
19251001 19251031   107.2
19251101 19251130     8.5
19251201 19251231    15.2
19260101 19260131     0.0
19260201 19260228    44.6
19260301 19260331    50.4
19260401 19260430   128.5
19260501 19260531    71.4
19260601 19260630    49.2
19260701 19260731   112.0
19260801 19260831   105.0
19260901 19260930    49.9
19261001 19261031    46.6
19261101 19261130     3.7
19261201 19261231     6.1
19270101 19270131    18.2
19270201 19270228     9.6
19270301 19270331    83.1
19270401 19270430    38.9
19270501 19270531    55.8
19270601 19270630    42.0
19270701 19270731    55.0
19270801 19270831    61.2
19270901 19270930    41.3
19271001 19271031    54.5
19271101 19271130     4.6
19271201 19271231    11.5
19280101 19280131    26.3
19280201 19280229     4.6
19280301 19280331    12.7
19280401 19280430    30.6
19280501 19280531    42.9
19280601 19280630    58.8
19280701 19280731   146.2
19280801 19280831    65.4
19280901 19280930    57.3
19281001 19281031   103.9
19281101 19281130     4.8
19281201 19281231     4.8
19290101 19290131    28.0
19290201 19290228    11.0
19290301 19290331    11.4
19290401 19290430    19.7
19290501 19290531    66.9
19290601 19290630   136.6
19290701 19290731   103.1
19290801 19290831    60.4
19290901 19290930    33.1
19291001 19291031    31.9
19291101 19291130    53.8
19291201 19291231    61.6
19300101 19300131     1.1
19300201 19300228     0.9
19300301 19300331    51.0
19300401 19300430    45.9
19300501 19300531    72.4
19300601 19300630    37.1
19300701 19300731    82.3
19300801 19300831   123.8
19300901 19300930    52.0
19301001 19301031    20.1
19301101 19301130    26.9
19301201 19301231    26.9
19310101 19310131     6.1
19310201 19310228    23.0
19310301 19310331    11.8
19310401 19310430    49.2
19310501 19310531   131.0
19310601 19310630    92.3
19310701 19310731    84.5
19310801 19310831   154.8
19310901 19310930    96.3
19311001 19311031    46.3
19311101 19311130    51.2
19311201 19311231    12.5
19320101 19320131    20.6
19320201 19320229    11.1
19320301 19320331    15.2
19320401 19320430    97.3
19320501 19320531    35.2
19320601 19320630    74.1
19320701 19320731    93.6
19320801 19320831   134.2
19320901 19320930    34.4
19321001 19321031    65.5
19321101 19321130    24.5
19321201 19321231    12.3
19330101 19330131    18.6
19330201 19330228     3.3
19330301 19330331    54.4
19330401 19330430    23.2
19330501 19330531    78.0
19330601 19330630    47.4
19330701 19330731    67.8
19330801 19330831    55.5
19330901 19330930    76.8
19331001 19331031    96.1
19331101 19331130    53.0
19331201 19331231     9.6
19340101 19340131     3.5
19340201 19340228     2.4
19340301 19340331    63.8
19340401 19340430    53.7
19340501 19340531    24.4
19340601 19340630   106.2
19340701 19340731   111.1
19340801 19340831   100.3
19340901 19340930    92.3
19341001 19341031    25.1
19341101 19341130    58.5
19341201 19341231    10.0
19350101 19350131    18.8
19350201 19350228    28.8
19350301 19350331    12.8
19350401 19350430    47.9
19350501 19350531   101.2
19350601 19350630   182.3
19350701 19350731   183.2
19350801 19350831    86.4
19350901 19350930    94.3
19351001 19351031    24.5
19351101 19351130    20.6
19351201 19351231    32.1
19360101 19360131    15.0
19360201 19360229     8.7
19360301 19360331     3.7
19360401 19360430    36.7
19360501 19360531   189.4
19360601 19360630   106.7
19360701 19360731    60.7
19360801 19360831    88.9
19360901 19360930    39.6
19361001 19361031    24.5
19361101 19361130    21.6
19361201 19361231     3.3
19370101 19370131    19.9
19370201 19370228     5.9
19370301 19370331    35.8
19370401 19370430    16.4
19370501 19370531    95.0
19370601 19370630    85.8
19370701 19370731    86.8
19370801 19370831    85.5
19370901 19370930    62.5
19371001 19371031    43.3
19371101 19371130    15.8
19371201 19371231    12.9
19380101 19380131    86.4
19380201 19380228     6.9
19380301 19380331    19.3
19380401 19380430    24.8
19380501 19380531    34.3
19380601 19380630   148.0
19380701 19380731   101.6
19380801 19380831    53.9
19380901 19380930    46.2
19381001 19381031    46.7
19381101 19381130    34.4
19381201 19381231    13.9
19390101 19390131   120.5
19390201 19390228    40.2
19390301 19390331    28.2
19390401 19390430    31.3
19390501 19390531    70.4
19390601 19390630    54.2
19390701 19390731   169.1
19390801 19390831   110.1
19390901 19390930    11.5
19391001 19391031    71.2
19391101 19391130    79.9
19391201 19391231     7.5
19400101 19400131    13.4
19400201 19400229     2.0
19400301 19400331    15.8
19400401 19400430    62.0
19400501 19400531    47.2
19400601 19400630    37.8
19400701 19400731    41.6
19400801 19400831    27.4
19400901 19400930    59.4
19401001 19401031    35.5
19401101 19401130    17.0
19401201 19401231    22.5
19410101 19410131    11.8
19410201 19410228    12.5
19410301 19410331    42.0
19410401 19410430    21.5
