PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19970101 19970131 99999.9
19970201 19970228    63.6
19970301 19970331 99999.9
19970401 19970430    16.6
19970501 19970531   101.7
19970601 19970630    42.8
19970701 19970731    42.4
19970801 19970831   111.4
19970901 19970930    40.2
19971001 19971031 99999.9
19971101 19971130    27.4
19971201 19971231 99999.9
19980101 19980131     0.0
19980201 19980228     2.8
19980301 19980331     9.2
19980401 19980430    30.4
19980501 19980531    31.0
19980601 19980630    66.0
19980701 19980731   110.8
19980801 19980831    43.6
19980901 19980930    61.4
19981001 19981031    25.0
19981101 19981130    28.6
19981201 19981231     8.4
19990101 19990131    61.4
19990201 19990228 99999.9
19990301 19990331    34.0
19990401 19990430 99999.9
19990501 19990531    47.0
19990601 19990630    46.4
19990701 19990731    69.0
19990801 19990831    62.4
19990901 19990930    46.4
19991001 19991031    54.2
19991101 19991130    20.9
19991201 19991231 99999.9
20000101 20000131   170.9
20000201 20000229    53.8
20000301 20000331   127.0
20000401 20000430    62.3
20000501 20000531    35.6
20000601 20000630    25.9
20000701 20000731    66.0
20000801 20000831    57.3
20000901 20000930    16.8
20001001 20001031    13.6
20001101 20001130    11.2
20001201 20001231     9.8
20010101 20010131    53.2
20010201 20010228    64.8
20010301 20010331    11.0
20010401 20010430     3.1
20010501 20010531    36.3
20010601 20010630    53.6
20010701 20010731    87.4
20010801 20010831    93.4
20010901 20010930    97.6
20011001 20011031    44.2
20011101 20011130    60.4
20011201 20011231    30.9
20020101 20020131     4.5
20020201 20020228 99999.9
20020301 20020331     4.0
20020401 20020430 99999.9
20020501 20020531    15.8
20020601 20020630    48.2
20020701 20020731    83.0
20020801 20020831    66.2
20020901 20020930    47.4
20021001 20021031    37.4
20021101 20021130    37.4
20021201 20021231    41.0
20030101 20030131     0.8
20030201 20030228    28.0
20030301 20030331    59.4
20030401 20030430   102.2
20030501 20030531    81.2
20030601 20030630    76.8
20030701 20030731   147.4
20030801 20030831    73.8
20030901 20030930    99.6
20031001 20031031    55.6
20031101 20031130    55.2
20031201 20031231     8.6
20040101 20040131    19.6
20040201 20040229    27.4
20040301 20040331    54.8
20040401 20040430    15.8
20040501 20040531    63.0
20040601 20040630    65.4
20040701 20040731    67.0
20040801 20040831   101.0
20040901 20040930    54.4
20041001 20041031     7.4
20041101 20041130    36.0
20041201 20041231    10.0
20050101 20050131    11.6
20050201 20050228     2.0
20050301 20050331    25.4
20050401 20050430    60.6
20050501 20050531    58.4
20050601 20050630   121.4
20050701 20050731    39.6
20050801 20050831    71.6
20050901 20050930    87.8
20051001 20051031    43.8
20051101 20051130    20.8
20051201 20051231    12.4
20060101 20060131    91.2
20060201 20060228    18.4
20060301 20060331    27.2
20060401 20060430    86.8
20060501 20060531    41.4
20060601 20060630    44.8
20060701 20060731    52.8
20060801 20060831    40.0
20060901 20060930    34.0
20061001 20061031     4.8
20061101 20061130    36.6
20061201 20061231     7.8
20070101 20070131   218.8
20070201 20070228     1.0
20070301 20070331    11.0
20070401 20070430   136.2
20070501 20070531    37.0
20070601 20070630    46.2
20070701 20070731    59.2
20070801 20070831    59.0
20070901 20070930    68.0
20071001 20071031    86.0
20071101 20071130     4.4
20071201 20071231    45.2
20080101 20080131     9.6
20080201 20080229     3.6
20080301 20080331     3.2
20080401 20080430    16.0
20080501 20080531    50.6
20080601 20080630    24.4
20080701 20080731   101.8
20080801 20080831    44.2
20080901 20080930   116.0
20081001 20081031    65.4
20081101 20081130    73.2
20081201 20081231    35.8
20090101 20090131   111.8
20090201 20090228     5.8
20090301 20090331    35.6
20090401 20090430    24.2
20090501 20090531    23.4
20090601 20090630    95.4
20090701 20090731    72.0
20090801 20090831    37.0
20090901 20090930    77.8
20091001 20091031    12.8
20091101 20091130    38.2
20091201 20091231     8.8
20100101 20100131     8.2
20100201 20100228    19.0
20100301 20100331    25.8
20100401 20100430    34.4
20100501 20100531    83.2
20100601 20100630    71.4
20100701 20100731    62.6
20100801 20100831    66.4
20100901 20100930    26.8
20101001 20101031    31.4
20101101 20101130    19.2
20101201 20101231    15.2
20110101 20110131    21.0
20110201 20110228    19.2
20110301 20110331    20.4
20110401 20110430    24.8
20110501 20110531    46.0
20110601 20110630    26.0
20110701 20110731    72.6
20110801 20110831    70.2
20110901 20110930    50.2
20111001 20111031    56.6
20111101 20111130    26.8
20111201 20111231    47.0
20120101 20120131    55.2
20120201 20120229    20.2
20120301 20120331    65.0
20120401 20120430    12.4
20120501 20120531    37.8
20120601 20120630    89.4
20120701 20120731    50.4
20120801 20120831    68.0
20120901 20120930    54.4
20121001 20121031    15.2
20121101 20121130    74.6
20121201 20121231    11.4
20130101 20130131    25.0
20130201 20130228     3.6
20130301 20130331   167.6
20130401 20130430    52.6
20130501 20130531    80.4
20130601 20130630    35.6
20130701 20130731    67.8
20130801 20130831   106.0
20130901 20130930    64.2
20131001 20131031    57.0
20131101 20131130    15.4
20131201 20131231    15.6
20140101 20140131    13.4
20140201 20140228     6.2
20140301 20140331     7.2
20140401 20140430    10.8
20140501 20140531    61.4
20140601 20140630    47.0
20140701 20140731    99.8
20140801 20140831    33.8
20140901 20140930    67.4
20141001 20141031   115.4
20141101 20141130    45.8
20141201 20141231    26.2
20150101 20150131     2.6
20150201 20150228     4.2
20150301 20150331    28.8
20150401 20150430    46.8
20150501 20150531    42.8
20150601 20150630    60.6
20150701 20150731    48.6
20150801 20150831    96.8
20150901 20150930    50.2
20151001 20151031    21.4
20151101 20151130    35.0
20151201 20151231    32.4
20160101 20160131    59.6
20160201 20160229    14.0
20160301 20160331    45.2
20160401 20160430    25.4
20160501 20160531    44.0
20160601 20160630    80.0
20160701 20160731    72.8
20160801 20160831   116.2
20160901 20160930    85.0
20161001 20161031    60.6
20161101 20161130     7.0
20161201 20161231    23.8
20170101 20170131    59.0
20170201 20170228   159.8
20170301 20170331    56.6
20170401 20170430     9.0
20170501 20170531    69.4
20170601 20170630    26.2
20170701 20170731   104.2
20170801 20170831    56.8
20170901 20170930    73.8
20171001 20171031    27.0
20171101 20171130    30.7
20171201 20171231    20.6
20180101 20180131     2.0
