PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19740101 19740131   244.0
19740201 19740228    64.8
19740301 19740331     9.2
19740401 19740430    62.5
19740501 19740531    17.8
19740601 19740630     4.4
19740701 19740731     2.8
19740801 19740831    14.0
19740901 19740930    13.6
19741001 19741031    30.6
19741101 19741130    43.8
19741201 19741231     3.0
19750101 19750131    94.4
19750201 19750228    78.8
19750301 19750331    35.8
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    40.6
19750701 19750731    38.4
19750801 19750831    20.8
19750901 19750930    16.1
19751001 19751031    28.1
19751101 19751130     1.2
19751201 19751231   139.3
19760101 19760131   107.4
19760201 19760229   246.7
19760301 19760331    65.8
19760401 19760430     0.0
19760501 19760531     8.6
19760601 19760630     3.4
19760701 19760731    19.8
19760801 19760831     0.0
19760901 19760930    39.0
19761001 19761031    45.6
19761101 19761130    54.8
19761201 19761231    47.3
19770101 19770131    50.0
19770201 19770228    52.0
19770301 19770331    41.5
19770401 19770430    18.6
19770501 19770531    90.1
19770601 19770630    37.1
19770701 19770731     0.0
19770801 19770831     1.2
19770901 19770930     6.2
19771001 19771031     8.6
19771101 19771130     3.0
19771201 19771231    13.7
19780101 19780131    71.3
19780201 19780228    25.0
19780301 19780331    44.5
19780401 19780430     0.0
19780501 19780531    92.3
19780601 19780630    43.3
19780701 19780731    44.0
19780801 19780831    29.4
19780901 19780930    39.6
19781001 19781031    27.1
19781101 19781130    49.2
19781201 19781231    41.4
19790101 19790131    26.0
19790201 19790228     4.6
19790301 19790331    30.2
19790401 19790430     6.8
19790501 19790531    38.7
19790601 19790630     7.2
19790701 19790731     1.8
19790801 19790831    13.0
19790901 19790930    41.3
19791001 19791031     8.4
19791101 19791130     3.8
19791201 19791231     7.0
19800101 19800131    11.4
19800201 19800229    29.2
19800301 19800331    27.6
19800401 19800430     2.8
19800501 19800531    21.0
19800601 19800630    10.0
19800701 19800731    74.2
19800801 19800831    19.4
19800901 19800930     0.1
19801001 19801031    18.8
19801101 19801130     0.8
19801201 19801231    92.4
19810101 19810131    17.8
19810201 19810228    23.4
19810301 19810331    32.8
19810401 19810430    17.4
19810501 19810531    67.9
19810601 19810630    33.8
19810701 19810731    75.2
19810801 19810831     1.5
19810901 19810930    10.4
19811001 19811031    24.4
19811101 19811130    34.6
19811201 19811231     6.0
19820101 19820131    21.0
19820201 19820228     0.0
19820301 19820331    97.0
19820401 19820430     4.0
19820501 19820531     4.8
19820601 19820630     0.0
19820701 19820731     1.6
19820801 19820831     0.0
19820901 19820930     9.4
19821001 19821031     8.8
19821101 19821130     3.8
19821201 19821231     0.6
19830101 19830131    20.4
19830201 19830228    15.2
19830301 19830331   140.0
19830401 19830430    69.2
19830501 19830531   103.4
19830601 19830630     3.6
19830701 19830731     1.6
19830801 19830831    51.6
19830901 19830930    16.0
19831001 19831031     2.4
19831101 19831130    87.4
19831201 19831231    60.4
19840101 19840131   227.8
19840201 19840229    34.6
19840301 19840331     3.6
19840401 19840430    23.6
19840501 19840531     0.0
19840601 19840630    44.2
19840701 19840731    59.8
19840801 19840831     6.2
19840901 19840930    20.0
19841001 19841031    14.9
19841101 19841130     6.6
19841201 19841231    11.6
19850101 19850131     2.2
19850201 19850228    40.2
19850301 19850331     0.2
19850401 19850430     0.0
19850501 19850531    16.4
19850601 19850630     7.8
19850701 19850731    42.6
19850801 19850831    62.6
19850901 19850930     0.0
19851001 19851031    37.6
19851101 19851130   115.4
19851201 19851231    43.4
19860101 19860131    14.8
19860201 19860228     1.4
19860301 19860331     0.8
19860401 19860430     1.4
19860501 19860531    38.4
19860601 19860630    10.8
19860701 19860731    52.5
19860801 19860831    34.2
19860901 19860930    44.2
19861001 19861031    29.3
19861101 19861130    35.0
19861201 19861231     1.8
19870101 19870131    32.6
19870201 19870228    35.4
19870301 19870331    16.8
19870401 19870430     0.0
19870501 19870531    48.8
19870601 19870630    85.6
19870701 19870731     0.6
19870801 19870831    27.4
19870901 19870930     5.2
19871001 19871031    42.0
19871101 19871130    34.8
19871201 19871231    83.0
19880101 19880131     3.6
19880201 19880229    18.4
19880301 19880331    57.2
19880401 19880430    92.2
19880501 19880531    10.6
19880601 19880630    11.4
19880701 19880731    91.8
19880801 19880831    42.0
19880901 19880930    24.6
19881001 19881031     2.0
19881101 19881130    14.8
19881201 19881231    74.0
19890101 19890131    39.0
19890201 19890228    18.8
19890301 19890331    30.8
19890401 19890430   101.9
19890501 19890531   150.8
19890601 19890630    14.0
19890701 19890731    15.0
19890801 19890831     6.4
19890901 19890930     0.0
19891001 19891031   109.6
19891101 19891130    12.6
19891201 19891231     2.2
19900101 19900131    22.8
19900201 19900228    34.4
19900301 19900331    66.0
19900401 19900430   458.7
19900501 19900531    41.9
19900601 19900630    16.0
19900701 19900731    58.3
19900801 19900831     2.8
19900901 19900930     6.6
19901001 19901031     6.1
19901101 19901130     0.0
19901201 19901231    27.4
19910101 19910131   103.0
19910201 19910228   171.4
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531     9.0
19910601 19910630     1.2
19910701 19910731    13.8
19910801 19910831     0.2
19910901 19910930     2.2
19911001 19911031     7.6
19911101 19911130    34.8
19911201 19911231    85.2
19920101 19920131    10.6
19920201 19920229    45.6
19920301 19920331     0.0
19920401 19920430     1.6
19920501 19920531     8.0
19920601 19920630     3.2
19920701 19920731    19.6
19920801 19920831    21.2
19920901 19920930     6.2
19921001 19921031    47.6
19921101 19921130    47.0
19921201 19921231   202.4
19930101 19930131     9.8
19930201 19930228    50.6
19930301 19930331    10.8
19930401 19930430     2.4
19930501 19930531    14.6
19930601 19930630    58.0
19930701 19930731    27.4
19930801 19930831    26.2
19930901 19930930    22.2
19931001 19931031    51.0
19931101 19931130     7.6
19931201 19931231    47.6
19940101 19940131     1.2
19940201 19940228   125.8
19940301 19940331    15.0
19940401 19940430     0.0
19940501 19940531     1.6
19940601 19940630    29.2
19940701 19940731     1.2
19940801 19940831     0.0
19940901 19940930     0.4
19941001 19941031    14.8
19941101 19941130    39.2
19941201 19941231    11.8
19950101 19950131   165.6
19950201 19950228    15.8
19950301 19950331     0.0
19950401 19950430    14.0
19950501 19950531   108.2
19950601 19950630    23.4
19950701 19950731     1.6
19950801 19950831     0.0
19950901 19950930    23.4
19951001 19951031    16.8
19951101 19951130   136.8
19951201 19951231    19.4
19960101 19960131    58.6
19960201 19960229     2.2
19960301 19960331     0.0
19960401 19960430    47.4
19960501 19960531    22.8
19960601 19960630    20.4
19960701 19960731    38.6
19960801 19960831    47.8
19960901 19960930    24.5
19961001 19961031    53.7
19961101 19961130    14.9
19961201 19961231    32.7
19970101 19970131    72.2
19970201 19970228    42.6
19970301 19970331    23.7
19970401 19970430     0.0
19970501 19970531    29.8
19970601 19970630    14.0
19970701 19970731     4.5
19970801 19970831     0.7
19970901 19970930     9.5
19971001 19971031     8.8
19971101 19971130    75.2
19971201 19971231    77.1
19980101 19980131   191.1
19980201 19980228    35.5
19980301 19980331    21.7
19980401 19980430   105.1
19980501 19980531    69.8
19980601 19980630    46.7
19980701 19980731   112.0
19980801 19980831    39.2
19980901 19980930    41.3
19981001 19981031    37.0
19981101 19981130    21.5
19981201 19981231     0.9
19990101 19990131    55.5
19990201 19990228    36.5
19990301 19990331    18.8
19990401 19990430    45.1
19990501 19990531   100.2
19990601 19990630    22.4
19990701 19990731     6.8
19990801 19990831    12.8
19990901 19990930     4.0
19991001 19991031    78.3
19991101 19991130   105.2
19991201 19991231   118.1
20000101 20000131    30.6
20000201 20000229    68.6
20000301 20000331   114.9
20000401 20000430    24.4
20000501 20000531    80.7
20000601 20000630     1.5
20000701 20000731     0.9
20000801 20000831    24.0
20000901 20000930     4.0
20001001 20001031    59.4
20001101 20001130   125.7
20001201 20001231    17.0
20010101 20010131    37.0
20010201 20010228     9.2
20010301 20010331    19.8
20010401 20010430     0.0
20010501 20010531     0.2
20010601 20010630    53.2
20010701 20010731     1.2
20010801 20010831     1.2
20010901 20010930     2.0
20011001 20011031    38.8
20011101 20011130    52.4
20011201 20011231     4.0
20020101 20020131    34.9
20020201 20020228    44.0
20020301 20020331     9.0
20020401 20020430    13.6
20020501 20020531     1.8
20020601 20020630     2.0
20020701 20020731     0.0
20020801 20020831     6.6
20020901 20020930     6.3
20021001 20021031     0.0
20021101 20021130     4.7
20021201 20021231     0.2
20030101 20030131     5.4
20030201 20030228    39.3
20030301 20030331    30.8
20030401 20030430    39.4
20030501 20030531     6.2
20030601 20030630    29.9
20030701 20030731    13.7
20030801 20030831    31.0
20030901 20030930     0.0
20031001 20031031    12.8
20031101 20031130     5.0
20031201 20031231    22.2
20040101 20040131   146.8
20040201 20040229    58.3
20040301 20040331   111.6
20040401 20040430    37.7
20040501 20040531    59.2
20040601 20040630    11.6
20040701 20040731    11.8
20040801 20040831    17.9
20040901 20040930     8.4
20041001 20041031     1.0
20041101 20041130    35.0
20041201 20041231     0.6
20050101 20050131     3.2
20050201 20050228     6.6
20050301 20050331     0.8
20050401 20050430     0.0
20050501 20050531    53.4
20050601 20050630    40.6
20050701 20050731     0.0
20050801 20050831    10.2
20050901 20050930    15.6
20051001 20051031    10.6
20051101 20051130    40.8
20051201 20051231     6.8
20060101 20060131     6.6
20060201 20060228    33.2
20060301 20060331    15.6
20060401 20060430    53.4
20060501 20060531     0.0
20060601 20060630    48.8
20060701 20060731    52.0
20060801 20060831     2.8
20060901 20060930     3.8
20061001 20061031     0.0
20061101 20061130     0.2
20061201 20061231    34.0
20070101 20070131    71.0
20070201 20070228     5.0
20070301 20070331    52.2
20070401 20070430    19.0
20070501 20070531    55.8
20070601 20070630     7.6
20070701 20070731     0.2
20070801 20070831     7.2
20070901 20070930     0.6
20071001 20071031    14.2
20071101 20071130   126.6
20071201 20071231    88.2
20080101 20080131   149.2
20080201 20080229   175.2
20080301 20080331    26.4
20080401 20080430     0.0
20080501 20080531     2.4
20080601 20080630    43.8
20080701 20080731    11.2
20080801 20080831    18.0
20080901 20080930    54.6
20081001 20081031    13.4
20081101 20081130    63.8
20081201 20081231    39.6
20090101 20090131    61.4
20090201 20090228    20.6
20090301 20090331    10.0
20090401 20090430    36.5
20090501 20090531     3.8
20090601 20090630    41.1
20090701 20090731     4.6
20090801 20090831     1.4
20090901 20090930     5.0
20091001 20091031    70.2
20091101 20091130     2.8
20091201 20091231   128.0
20100101 20100131    57.0
20100201 20100228   140.6
20100301 20100331   181.2
20100401 20100430    28.4
20100501 20100531    24.8
20100601 20100630     3.4
20100701 20100731    68.6
20100801 20100831    21.4
20100901 20100930    36.2
20101001 20101031    44.2
20101101 20101130   121.6
20101201 20101231    33.8
20110101 20110131    21.0
20110201 20110228    57.8
20110301 20110331    67.2
20110401 20110430     1.0
20110501 20110531     8.2
20110601 20110630    18.4
20110701 20110731    21.2
20110801 20110831     5.0
20110901 20110930    52.4
20111001 20111031    13.8
20111101 20111130    76.6
20111201 20111231    75.2
20120101 20120131   218.4
20120201 20120229    69.2
20120301 20120331    98.2
20120401 20120430     2.4
20120501 20120531    31.6
20120601 20120630    16.6
20120701 20120731    37.6
20120801 20120831     0.0
20120901 20120930     7.2
20121001 20121031     0.6
20121101 20121130     2.6
20121201 20121231    16.0
20130101 20130131    20.4
20130201 20130228    13.6
20130301 20130331    28.4
20130401 20130430     0.6
20130501 20130531    42.6
20130601 20130630     3.2
20130701 20130731    23.0
20130801 20130831     0.0
20130901 20130930     2.8
20131001 20131031     2.4
20131101 20131130    37.0
20131201 20131231     0.8
20140101 20140131    43.6
20140201 20140228   105.6
20140301 20140331    35.8
20140401 20140430     7.0
20140501 20140531     3.0
20140601 20140630    20.6
20140701 20140731     2.4
20140801 20140831    59.8
20140901 20140930     8.4
20141001 20141031     0.0
20141101 20141130     0.8
20141201 20141231    35.2
20150101 20150131    81.6
20150201 20150228    66.6
20150301 20150331    22.0
20150401 20150430     8.8
20150501 20150531    31.2
20150601 20150630    45.8
20150701 20150731    24.4
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031    14.8
20151101 20151130    33.4
20151201 20151231    31.2
20160101 20160131    53.8
20160201 20160229    31.0
20160301 20160331   110.2
20160401 20160430     0.2
20160501 20160531    24.2
20160601 20160630   105.6
20160701 20160731     8.0
20160801 20160831    33.4
20160901 20160930    74.0
20161001 20161031    17.2
20161101 20161130     2.8
20161201 20161231    48.0
20170101 20170131    48.2
20170201 20170228     0.0
20170301 20170331     4.2
20170401 20170430    17.0
20170501 20170531    12.4
20170601 20170630    17.6
20170701 20170731     8.2
20170801 20170831     4.6
20170901 20170930     0.2
20171001 20171031    44.2
20171101 20171130    12.0
20171201 20171231    31.8
20180101 20180131     3.2
