PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19001101 19001130    31.0
19001201 19001231    22.6
19010101 19010131     2.1
19010201 19010228     0.0
19010301 19010331    49.5
19010401 19010430    20.3
19010501 19010531    16.7
19010601 19010630    30.9
19010701 19010731    47.7
19010801 19010831    73.7
19010901 19010930    17.3
19011001 19011031    14.2
19011101 19011130     3.6
19011201 19011231     0.0
19020101 19020131     0.0
19020201 19020228     0.0
19020301 19020331     8.9
19020401 19020430     5.3
19020501 19020531     0.0
19020601 19020630     1.3
19020701 19020731     0.0
19020801 19020831    35.6
19020901 19020930     0.0
19021001 19021031    10.1
19021101 19021130    67.4
19021201 19021231    45.7
19030101 19030131    69.4
19030201 19030228     0.0
19030301 19030331   104.7
19030401 19030430    14.5
19030501 19030531    98.0
19030601 19030630     0.0
19030701 19030731    44.5
19030801 19030831     7.1
19030901 19030930    22.1
19031001 19031031    11.0
19031101 19031130    21.8
19031201 19031231    31.0
19040101 19040131    52.6
19040201 19040229    27.4
19040301 19040331    20.3
19040401 19040430    50.8
19040501 19040531    28.9
19040601 19040630     4.6
19040701 19040731     6.6
19040801 19040831     0.0
19040901 19040930     8.9
19041001 19041031    40.1
19041101 19041130     0.0
19041201 19041231    29.5
19050101 19050131     9.7
19050201 19050228    24.9
19050301 19050331    44.2
19050401 19050430   156.1
19050501 19050531    13.9
19050601 19050630    13.5
19050701 19050731    10.4
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031    18.8
19051101 19051130    17.1
19051201 19051231     4.8
19060101 19060131    73.2
19060201 19060228    98.8
19060301 19060331   101.8
19060401 19060430     5.3
19060501 19060531    13.5
19060601 19060630    14.9
19060701 19060731     5.5
19060801 19060831     5.6
19060901 19060930   154.9
19061001 19061031    57.4
19061101 19061130    36.9
19061201 19061231    11.9
19070101 19070131    22.9
19070201 19070228     0.0
19070301 19070331    12.9
19070401 19070430    15.2
19070501 19070531     0.0
19070601 19070630    46.5
19070701 19070731    18.8
19070801 19070831    14.0
19070901 19070930     8.1
19071001 19071031     0.0
19071101 19071130     9.4
19071201 19071231    73.2
19080101 19080131    19.1
19080201 19080229    34.5
19080301 19080331    29.7
19080401 19080430    22.0
19080501 19080531     0.0
19080601 19080630     5.9
19080701 19080731    64.5
19080801 19080831    14.5
19080901 19080930     1.0
19081001 19081031    38.3
