PRCP       055055 18910101 20080831 missing_value=99999.9 CARROLL (THE RANCH)                       
19121201 19121231    43.7
19130101 19130131    35.8
19130201 19130228    70.1
19130301 19130331    84.2
19130401 19130430    71.1
19130501 19130531    94.7
19130601 19130630    80.5
19130701 19130731    11.9
19130801 19130831     8.4
19130901 19130930    50.8
19131001 19131031    53.9
19131101 19131130    11.9
19131201 19131231   102.3
19140101 19140131    39.6
19140201 19140228    46.0
19140301 19140331    95.1
19140401 19140430    23.1
19140501 19140531    47.9
19140601 19140630    16.0
19140701 19140731    30.5
19140801 19140831     0.0
19140901 19140930    34.0
19141001 19141031    34.0
19141101 19141130    47.9
19141201 19141231   134.4
19150101 19150131    24.6
19150201 19150228    39.3
19150301 19150331    11.4
19150401 19150430    28.3
19150501 19150531    27.1
19150601 19150630    40.4
19150701 19150731    78.1
19150801 19150831    41.0
19150901 19150930    53.8
19151001 19151031    52.1
19151101 19151130     1.8
19151201 19151231   110.3
19160101 19160131    72.1
19160201 19160229    62.6
19160301 19160331    33.5
19160401 19160430    79.8
19160501 19160531     1.8
19160601 19160630    81.7
19160701 19160731    61.1
19160801 19160831    78.5
19160901 19160930    40.9
19161001 19161031    66.2
19161101 19161130   100.5
19161201 19161231   103.9
19170101 19170131   158.9
19170201 19170228    34.0
19170301 19170331    10.2
19170401 19170430     6.9
19170501 19170531     0.0
19170601 19170630    57.1
19170701 19170731    28.0
19170801 19170831    37.1
19170901 19170930   118.1
19171001 19171031    50.8
19171101 19171130   138.2
19171201 19171231    69.4
19180101 19180131   154.3
19180201 19180228     0.0
19180301 19180331     6.4
19180401 19180430    22.1
19180501 19180531    24.1
19180601 19180630     8.6
19180701 19180731    40.4
19180801 19180831   118.3
19180901 19180930    15.2
19181001 19181031     2.3
19181101 19181130    38.4
19181201 19181231    18.8
19190101 19190131    56.4
19190201 19190228    21.3
19190301 19190331    28.3
19190401 19190430    21.8
19190501 19190531    53.5
19190601 19190630    22.4
19190701 19190731    13.7
19190801 19190831    14.2
19190901 19190930     3.6
19191001 19191031    51.6
19191101 19191130     2.3
19191201 19191231    57.6
19200101 19200131    48.6
19200201 19200229    95.3
19200301 19200331     0.0
19200401 19200430    28.7
19200501 19200531    26.6
19200601 19200630   192.0
19200701 19200731   118.4
19200801 19200831    71.4
19200901 19200930    67.9
19201001 19201031    24.9
19201101 19201130    47.8
19201201 19201231    52.1
19210101 19210131     8.8
19210201 19210228     5.6
19210301 19210331   110.7
19210401 19210430    96.8
19210501 19210531   106.4
19210601 19210630    85.4
19210701 19210731    75.4
19210801 19210831    18.3
19210901 19210930    19.3
19211001 19211031    81.5
19211101 19211130    22.1
19211201 19211231    97.1
19220101 19220131    45.3
19220201 19220228    58.7
19220301 19220331     3.3
19220401 19220430    17.5
19220501 19220531     4.3
19220601 19220630    38.3
19220701 19220731    87.9
19220801 19220831     9.3
19220901 19220930    41.6
19221001 19221031    67.9
19221101 19221130    31.5
19221201 19221231   141.1
19230101 19230131    15.4
19230201 19230228     0.0
19230301 19230331     8.4
19230401 19230430     0.0
19230501 19230531     0.0
19230601 19230630    78.1
19230701 19230731    41.2
19230801 19230831    17.7
19230901 19230930    51.3
19231001 19231031    75.2
19231101 19231130     6.9
19231201 19231231    91.7
19240101 19240131    70.8
19240201 19240229   102.9
19240301 19240331    31.3
19240401 19240430    64.4
19240501 19240531    17.0
19240601 19240630    50.3
19240701 19240731    42.7
19240801 19240831    48.3
19240901 19240930    97.5
19241001 19241031    41.6
19241101 19241130   182.8
19241201 19241231    53.4
19250101 19250131    44.9
19250201 19250228    43.1
19250301 19250331    43.7
19250401 19250430     0.0
19250501 19250531    86.0
19250601 19250630    10.3
19250701 19250731    33.3
19250801 19250831    21.3
19250901 19250930     0.0
19251001 19251031    20.2
19251101 19251130    76.1
19251201 19251231    76.0
19260101 19260131    49.0
19260201 19260228     4.6
19260301 19260331   135.5
19260401 19260430    76.3
19260501 19260531    92.9
19260601 19260630    15.5
19260701 19260731    27.1
19260801 19260831    14.3
19260901 19260930    79.1
19261001 19261031     6.5
19261101 19261130     2.1
19261201 19261231   120.5
19270101 19270131    39.2
19270201 19270228     0.0
19270301 19270331    36.1
19270401 19270430    60.6
19270501 19270531     0.0
19270601 19270630    31.0
19270701 19270731    11.7
19270801 19270831    15.2
19270901 19270930     3.0
19271001 19271031    42.6
19271101 19271130   106.7
19271201 19271231    99.8
19280101 19280131    29.3
19280201 19280229   175.2
19280301 19280331   130.4
19280401 19280430    36.2
19280501 19280531    12.0
19280601 19280630    93.0
19280701 19280731    80.9
19280801 19280831     0.0
19280901 19280930     0.9
19281001 19281031    19.3
19281101 19281130    24.4
19281201 19281231    24.0
19290101 19290131    43.0
19290201 19290228   133.5
19290301 19290331    25.2
19290401 19290430    56.4
19290501 19290531     2.2
19290601 19290630    21.4
19290701 19290731    19.3
19290801 19290831    60.0
19290901 19290930    33.1
19291001 19291031    22.2
19291101 19291130    55.8
19291201 19291231    25.4
19300101 19300131    56.7
19300201 19300228     7.6
19300301 19300331    42.7
19300401 19300430    46.8
19300501 19300531    13.8
19300601 19300630   130.4
19300701 19300731    39.1
19300801 19300831    20.8
19300901 19300930    19.2
19301001 19301031    91.6
19301101 19301130    19.5
19301201 19301231    27.4
19310101 19310131    34.0
19310201 19310228    15.2
19310301 19310331   113.5
19310401 19310430    64.8
19310501 19310531    79.0
19310601 19310630    88.9
19310701 19310731    36.9
19310801 19310831    37.0
19310901 19310930    16.5
19311001 19311031    11.2
19311101 19311130    81.4
19311201 19311231   110.0
19320101 19320131    22.8
19320201 19320229    26.6
19320301 19320331    62.3
19320401 19320430    32.7
19320501 19320531    23.9
19320601 19320630    30.3
19320701 19320731    27.2
19320801 19320831    21.6
19320901 19320930    89.9
19321001 19321031    49.8
19321101 19321130    66.8
19321201 19321231    74.2
19330101 19330131   148.8
19330201 19330228    22.4
19330301 19330331    36.9
19330401 19330430    11.2
19330501 19330531    18.8
19330601 19330630    64.2
19330701 19330731   121.6
19330801 19330831    24.1
19330901 19330930    67.0
19331001 19331031   127.0
19331101 19331130    89.9
19331201 19331231    56.5
19340101 19340131   117.0
19340201 19340228   136.3
19340301 19340331     0.0
19340401 19340430    15.7
19340501 19340531     0.0
19340601 19340630    25.1
19340701 19340731    68.4
19340801 19340831    53.6
19340901 19340930    52.4
19341001 19341031    95.4
19341101 19341130    29.8
19341201 19341231    63.4
19350101 19350131    72.9
19350201 19350228    44.2
19350301 19350331     8.2
19350401 19350430    35.9
19350501 19350531    14.0
19350601 19350630    13.9
19350701 19350731    44.5
19350801 19350831    14.0
19350901 19350930    66.2
19351001 19351031    54.3
19351101 19351130    13.4
19351201 19351231    49.3
19360101 19360131    63.6
19360201 19360229    63.0
19360301 19360331    57.2
19360401 19360430     7.4
19360501 19360531    44.4
19360601 19360630     7.4
19360701 19360731    68.9
19360801 19360831    40.2
19360901 19360930    39.7
19361001 19361031    14.2
19361101 19361130    13.1
19361201 19361231   114.4
19370101 19370131   111.8
19370201 19370228    52.5
19370301 19370331    52.1
19370401 19370430    12.7
19370501 19370531    19.7
19370601 19370630    29.1
19370701 19370731    47.5
19370801 19370831    40.7
19370901 19370930    22.9
19371001 19371031    63.7
19371101 19371130   105.0
19371201 19371231    49.7
19380101 19380131    42.3
19380201 19380228    43.2
19380301 19380331    21.6
19380401 19380430    47.6
19380501 19380531    59.2
19380601 19380630    37.5
19380701 19380731    34.5
19380801 19380831    72.9
19380901 19380930    35.8
19381001 19381031    50.0
19381101 19381130    87.5
19381201 19381231     7.4
19390101 19390131    87.9
19390201 19390228     3.6
19390301 19390331    98.6
19390401 19390430    67.6
19390501 19390531     2.8
19390601 19390630    30.7
19390701 19390731    10.1
19390801 19390831    49.4
19390901 19390930     5.0
19391001 19391031    37.7
19391101 19391130    21.1
19391201 19391231    13.2
19400101 19400131    59.4
19400201 19400229    38.2
19400301 19400331    61.2
19400401 19400430    56.8
19400501 19400531     3.6
19400601 19400630    21.3
19400701 19400731    10.3
19400801 19400831    21.1
19400901 19400930    48.3
19401001 19401031    16.1
19401101 19401130    32.1
19401201 19401231   128.2
19410101 19410131   140.7
19410201 19410228    56.8
19410301 19410331   166.8
19410401 19410430     4.1
19410501 19410531    54.3
19410601 19410630    75.2
19410701 19410731    12.9
19410801 19410831    12.0
19410901 19410930    12.5
19411001 19411031    89.1
19411101 19411130    11.2
19411201 19411231    10.5
19420101 19420131     8.1
19420201 19420228    71.9
19420301 19420331    48.0
19420401 19420430     0.0
19420501 19420531    45.8
19420601 19420630    37.1
19420701 19420731   152.3
19420801 19420831    17.4
19420901 19420930    22.6
19421001 19421031    81.0
19421101 19421130    81.6
19421201 19421231    72.0
19430101 19430131    76.9
19430201 19430228    65.0
19430301 19430331     2.8
19430401 19430430    60.8
19430501 19430531    31.5
19430601 19430630    37.9
19430701 19430731    22.9
19430801 19430831    28.8
19430901 19430930    78.4
19431001 19431031    27.4
19431101 19431130    74.4
19431201 19431231    25.6
19440101 19440131    35.3
19440201 19440229    38.7
19440301 19440331     7.1
19440401 19440430    23.1
19440501 19440531    67.8
19440601 19440630    12.7
19440701 19440731    50.1
19440801 19440831    96.1
19440901 19440930    10.9
19441001 19441031     3.9
19441101 19441130    31.6
19441201 19441231    43.2
19450101 19450131   100.3
19450201 19450228   110.4
19450301 19450331    15.5
19450401 19450430    41.1
19450501 19450531    52.2
19450601 19450630    79.0
19450701 19450731    35.8
19450801 19450831    65.7
19450901 19450930     5.3
19451001 19451031    23.9
19451101 19451130    71.4
19451201 19451231    12.9
19460101 19460131    49.4
19460201 19460228    15.5
19460301 19460331     9.4
19460401 19460430    20.8
19460501 19460531     9.2
19460601 19460630    21.9
19460701 19460731     8.7
19460801 19460831     0.8
19460901 19460930    35.9
19461001 19461031     6.6
19461101 19461130    39.8
19461201 19461231    20.9
19470101 19470131    26.4
19470201 19470228   142.7
19470301 19470331    24.7
19470401 19470430    13.7
19470501 19470531    16.5
19470601 19470630    13.5
19470701 19470731    31.2
19470801 19470831    52.8
19470901 19470930    33.5
19471001 19471031    72.8
19471101 19471130   116.4
19471201 19471231   167.7
19480101 19480131    93.5
19480201 19480229    13.0
19480301 19480331   105.5
19480401 19480430    49.3
19480501 19480531    40.5
19480601 19480630    81.0
19480701 19480731    28.2
19480801 19480831    26.4
19480901 19480930    49.8
19481001 19481031     8.9
19481101 19481130    46.2
19481201 19481231    60.9
19490101 19490131    92.9
19490201 19490228   131.2
19490301 19490331    22.4
19490401 19490430    53.3
19490501 19490531    13.6
19490601 19490630    64.8
19490701 19490731    21.6
19490801 19490831    79.8
19490901 19490930   125.1
19491001 19491031   157.0
19491101 19491130   117.6
19491201 19491231    35.6
19500101 19500131   122.3
19500201 19500228   189.2
19500301 19500331    13.5
19500401 19500430   129.5
19500501 19500531    49.4
19500601 19500630   108.9
19500701 19500731   143.8
19500801 19500831    39.0
19500901 19500930    43.2
19501001 19501031   141.6
19501101 19501130   203.3
19501201 19501231     9.9
19510101 19510131    59.4
19510201 19510228    59.7
19510301 19510331    30.3
19510401 19510430    16.6
19510501 19510531    22.7
19510601 19510630    55.8
19510701 19510731    26.6
19510801 19510831    49.1
19510901 19510930    33.1
19511001 19511031    10.9
19511101 19511130    16.0
19511201 19511231     7.1
19520101 19520131    33.6
19520201 19520229   104.9
19520301 19520331    63.4
19520401 19520430    31.7
19520501 19520531    70.1
19520601 19520630    54.5
19520701 19520731    29.8
19520801 19520831   116.8
19520901 19520930    21.8
19521001 19521031    68.5
19521101 19521130    22.9
19521201 19521231    63.3
19530101 19530131    28.0
19530201 19530228   132.9
19530301 19530331    13.5
19530401 19530430    19.3
19530501 19530531    89.5
19530601 19530630     3.4
19530701 19530731    28.7
19530801 19530831    83.3
19530901 19530930    21.7
19531001 19531031    35.9
19531101 19531130    58.3
