PRCP       055055 18910101 20080831 missing_value=99999.9 CARROLL (THE RANCH)                       
19870101 19870131   106.6
19870201 19870228    55.8
19870301 19870331   100.2
19870401 19870430     0.2
19870501 19870531    83.0
19870601 19870630    21.0
19870701 19870731    25.2
19870801 19870831   113.0
19870901 19870930    14.0
19871001 19871031    69.6
19871101 19871130    44.8
19871201 19871231    98.6
19880101 19880131    68.8
19880201 19880229    43.2
19880301 19880331     4.0
19880401 19880430   159.0
19880501 19880531    69.2
19880601 19880630    30.6
19880701 19880731    52.2
19880801 19880831    38.4
19880901 19880930    87.3
19881001 19881031     7.8
19881101 19881130    64.2
19881201 19881231   166.3
19890101 19890131    37.2
19890201 19890228    27.6
19890301 19890331    83.6
19890401 19890430    76.6
19890501 19890531    79.0
19890601 19890630    74.4
19890701 19890731   104.4
19890801 19890831     8.8
19890901 19890930     2.4
19891001 19891031    26.0
19891101 19891130    63.6
19891201 19891231    45.0
19900101 19900131    71.6
19900201 19900228    87.0
19900301 19900331    56.0
19900401 19900430   130.6
19900501 19900531    85.0
19900601 19900630    40.2
19900701 19900731    78.8
19900801 19900831    38.2
19900901 19900930    32.8
19901001 19901031    39.8
19901101 19901130     6.6
19901201 19901231    52.0
19910101 19910131   287.0
19910201 19910228    55.4
19910301 19910331    41.0
19910401 19910430     2.6
19910501 19910531   106.4
19910601 19910630    38.0
19910701 19910731    57.8
19910801 19910831     0.2
19910901 19910930    23.0
19911001 19911031    15.0
19911101 19911130    69.0
19911201 19911231   115.0
19920101 19920131    44.0
19920201 19920229   139.4
19920301 19920331    12.8
19920401 19920430    30.8
19920501 19920531    27.4
19920601 19920630    11.2
19920701 19920731    27.6
19920801 19920831    42.2
19920901 19920930    23.0
19921001 19921031    19.4
19921101 19921130    90.0
19921201 19921231   115.4
19930101 19930131    78.2
19930201 19930228    84.2
19930301 19930331    17.0
19930401 19930430     2.6
19930501 19930531    57.6
19930601 19930630    85.8
19930701 19930731    63.6
19930801 19930831    40.4
19930901 19930930    60.2
19931001 19931031    95.6
19931101 19931130    74.0
19931201 19931231    89.2
19940101 19940131    24.2
19940201 19940228    71.0
19940301 19940331    63.8
19940401 19940430     1.4
19940501 19940531    10.8
19940601 19940630    23.8
19940701 19940731    11.4
19940801 19940831     9.4
19940901 19940930    36.8
19941001 19941031    16.4
19941101 19941130    53.2
19941201 19941231    29.4
19950101 19950131   109.0
19950201 19950228    39.2
19950301 19950331     5.6
19950401 19950430     0.2
19950501 19950531    74.4
19950601 19950630    44.6
19950701 19950731    21.8
19950801 19950831     0.2
19950901 19950930    57.8
19951001 19951031    52.6
19951101 19951130   119.2
19951201 19951231   109.8
19960101 19960131   117.0
19960201 19960229    17.0
19960301 19960331     6.6
19960401 19960430     7.0
19960501 19960531    69.8
19960601 19960630    41.6
19960701 19960731    74.6
19960801 19960831    75.8
19960901 19960930    30.8
19961001 19961031    80.6
19961101 19961130    71.4
19961201 19961231   165.8
19970101 19970131   108.4
19970201 19970228   108.4
19970301 19970331    13.0
19970401 19970430     0.0
19970501 19970531    45.8
19970601 19970630    22.8
19970701 19970731     9.0
19970801 19970831     6.0
19970901 19970930    86.6
19971001 19971031    54.2
19971101 19971130    45.4
19971201 19971231   100.4
19980101 19980131    34.8
19980201 19980228    73.2
19980301 19980331     0.0
19980401 19980430    73.4
19980501 19980531    83.6
19980601 19980630   137.4
19980701 19980731   140.2
19980801 19980831    60.4
19980901 19980930   124.6
19981001 19981031    88.2
19981101 19981130    69.8
19981201 19981231    18.4
19990101 19990131    60.4
19990201 19990228    23.2
19990301 19990331    66.0
19990401 19990430   130.0
19990501 19990531     7.6
19990601 19990630    47.6
19990701 19990731    34.4
19990801 19990831    39.2
19990901 19990930    36.4
19991001 19991031    98.9
19991101 19991130   128.0
19991201 19991231    72.2
20000101 20000131    14.0
20000201 20000229    22.0
20000301 20000331    85.8
20000401 20000430    25.2
20000501 20000531    36.8
20000601 20000630    10.8
20000701 20000731    41.0
20000801 20000831    48.4
20000901 20000930    12.4
20001001 20001031   107.6
20001101 20001130   157.4
20001201 20001231    38.0
20010101 20010131    38.8
20010201 20010228    36.6
20010301 20010331   136.0
20010401 20010430    19.4
20010501 20010531    56.0
20010601 20010630    18.6
20010701 20010731    71.4
20010801 20010831    12.6
20010901 20010930    28.2
20011001 20011031    41.4
20011101 20011130    91.0
20011201 20011231    84.0
20020101 20020131    19.6
20020201 20020228    81.6
20020301 20020331    40.4
20020401 20020430     0.4
20020501 20020531     0.6
20020601 20020630    29.6
20020701 20020731     0.6
20020801 20020831     9.0
20020901 20020930    25.4
20021001 20021031     7.8
20021101 20021130    25.7
20021201 20021231    68.3
20030101 20030131    16.8
20030201 20030228    88.2
20030301 20030331    39.8
20030401 20030430    87.9
20030501 20030531     7.8
20030601 20030630    32.1
20030701 20030731    37.4
20030801 20030831    76.9
20030901 20030930     8.0
20031001 20031031    50.9
20031101 20031130    51.8
20031201 20031231    35.8
20040101 20040131   194.6
20040201 20040229    81.5
20040301 20040331    23.8
20040401 20040430    26.2
20040501 20040531    16.3
20040601 20040630    19.9
20040701 20040731    42.2
20040801 20040831    39.3
20040901 20040930    41.5
20041001 20041031    49.5
20041101 20041130    82.4
20041201 20041231   157.8
20050101 20050131    41.2
20050201 20050228    29.4
20050301 20050331    15.0
20050401 20050430     0.0
20050501 20050531     9.4
20050601 20050630   158.6
20050701 20050731    55.9
20050801 20050831     0.0
20050901 20050930    67.7
20051001 20051031    67.4
20051101 20051130    76.0
20051201 20051231    26.8
20060101 20060131    61.0
20060201 20060228    31.8
20060301 20060331    17.6
20060401 20060430    54.4
20060501 20060531     5.5
20060601 20060630    31.5
20060701 20060731    66.0
20060801 20060831    19.8
20060901 20060930    29.7
20061001 20061031    19.0
20061101 20061130    51.9
20061201 20061231     9.6
20070101 20070131    20.8
20070201 20070228    53.6
20070301 20070331   112.0
20070401 20070430    17.6
20070501 20070531    24.4
20070601 20070630    43.8
20070701 20070731     8.4
20070801 20070831    91.8
20070901 20070930     0.0
20071001 20071031    26.2
20071101 20071130    29.8
20071201 20071231    93.8
20080101 20080131    71.8
20080201 20080229   141.8
20080301 20080331     1.5
20080401 20080430 99999.9
20080501 20080531 99999.9
20080601 20080630    57.9
20080701 20080731     1.6
20080801 20080831    27.0
