PRCP       014042 19100901 20130430 missing_value=99999.9 OENPELLI                                  
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     9.6
19321101 19321130   128.0
19321201 19321231   179.2
19330101 19330131   290.5
19330201 19330228   234.2
19330301 19330331   298.5
19330401 19330430     4.6
19330501 19330531     0.0
19330601 19330630    34.7
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     2.5
19331001 19331031    30.0
19331101 19331130    91.6
19331201 19331231   299.7
19340101 19340131   281.3
19340201 19340228   264.1
19340301 19340331   473.1
19340401 19340430    49.0
19340501 19340531    24.3
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930    22.1
19341001 19341031    22.6
19341101 19341130    56.3
19341201 19341231   183.6
19350101 19350131   333.0
19350201 19350228   150.9
19350301 19350331   301.8
19350401 19350430     4.3
19350501 19350531     0.3
19350601 19350630    20.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     2.0
19351101 19351130    71.4
19351201 19351231   189.1
19360101 19360131   242.5
19360201 19360229   280.1
19360301 19360331   225.5
19360401 19360430    11.4
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731    41.9
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031    21.6
19361101 19361130    59.4
19361201 19361231   269.8
19370101 19370131   272.1
19370201 19370228   242.5
19370301 19370331   306.8
19370401 19370430    31.5
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     3.3
19371001 19371031    19.1
19371101 19371130    86.7
19371201 19371231   129.9
19380101 19380131   378.0
19380201 19380228   497.8
19380301 19380331   101.3
19380401 19380430    68.3
19380501 19380531    10.6
19380601 19380630     1.5
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    10.9
19381101 19381130   169.6
19381201 19381231   134.5
19390101 19390131   391.3
19390201 19390228   186.2
19390301 19390331   245.9
19390401 19390430    24.7
19390501 19390531     1.0
19390601 19390630     5.1
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     6.7
19391101 19391130    74.9
19391201 19391231   122.3
19400101 19400131   520.9
19400201 19400229   221.3
19400301 19400331   418.4
19400401 19400430    64.5
19400501 19400531     8.6
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    58.4
19401201 19401231   231.4
19410101 19410131   397.1
19410201 19410228   273.6
19410301 19410331   240.8
19410401 19410430   101.4
19410501 19410531    10.7
19410601 19410630     0.5
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.3
19411001 19411031     1.0
19411101 19411130    97.5
19411201 19411231    92.8
19420101 19420131   232.7
19420201 19420228   248.2
19420301 19420331    47.8
19420401 19420430     0.0
19420501 19420531     0.0
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     9.7
19421001 19421031    69.4
19421101 19421130    76.3
19421201 19421231   374.9
19430101 19430131   228.1
19430201 19430228   639.7
19430301 19430331   112.2
19430401 19430430    93.4
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     4.1
19431101 19431130   276.5
19431201 19431231   214.1
19440101 19440131   214.1
19440201 19440229   281.8
19440301 19440331   243.6
19440401 19440430    48.2
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130   114.6
19441201 19441231   352.1
19450101 19450131   334.3
19450201 19450228   234.8
19450301 19450331   312.5
19450401 19450430    69.0
19450501 19450531    23.9
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930    10.9
19451001 19451031    19.1
19451101 19451130    40.8
19451201 19451231   206.1
19460101 19460131   245.9
19460201 19460228   384.5
19460301 19460331   211.1
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.3
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.3
19461001 19461031     0.5
19461101 19461130    53.6
19461201 19461231   118.6
19470101 19470131   190.1
19470201 19470228   362.4
19470301 19470331   284.6
19470401 19470430    44.8
19470501 19470531     3.3
19470601 19470630     0.5
19470701 19470731     0.0
19470801 19470831     1.6
19470901 19470930    32.8
19471001 19471031    26.7
19471101 19471130    91.8
19471201 19471231   179.2
19480101 19480131   153.1
19480201 19480229   279.6
19480301 19480331    98.0
19480401 19480430   413.9
19480501 19480531     2.3
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130   276.4
19481201 19481231   196.1
19490101 19490131   258.1
19490201 19490228   214.1
19490301 19490331   353.2
19490401 19490430    44.7
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     9.0
19491101 19491130   178.5
19491201 19491231   237.6
19500101 19500131   447.3
19500201 19500228   320.0
19500301 19500331   164.8
19500401 19500430    34.2
19500501 19500531     0.3
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    18.1
19501001 19501031    81.9
19501101 19501130   199.5
19501201 19501231   395.4
19510101 19510131   197.3
19510201 19510228   231.2
19510301 19510331   135.1
19510401 19510430     3.6
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.3
19510901 19510930     0.3
19511001 19511031    59.7
19511101 19511130    19.1
19511201 19511231   129.3
19520101 19520131   257.4
19520201 19520229   113.4
19520301 19520331   174.9
19520401 19520430     0.0
19520501 19520531    18.8
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    19.8
19521101 19521130   163.3
19521201 19521231   142.2
19530101 19530131   285.2
19530201 19530228   167.7
19530301 19530331   194.6
19530401 19530430   169.7
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031    17.8
19531101 19531130    86.0
19531201 19531231   176.9
19540101 19540131   332.1
19540201 19540228   192.9
19540301 19540331   274.4
19540401 19540430   257.5
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031   102.5
19541101 19541130    30.2
19541201 19541231   152.4
19550101 19550131   227.9
19550201 19550228   347.3
19550301 19550331   165.3
19550401 19550430    72.3
19550501 19550531    66.5
19550601 19550630     7.2
19550701 19550731    21.1
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    34.5
19551101 19551130   232.2
19551201 19551231    65.7
19560101 19560131   310.4
19560201 19560229   420.2
19560301 19560331   341.4
19560401 19560430   143.1
19560501 19560531    89.8
19560601 19560630     0.3
19560701 19560731    63.2
19560801 19560831     5.8
19560901 19560930     0.5
19561001 19561031    51.6
19561101 19561130   158.0
19561201 19561231   248.2
19570101 19570131   399.2
19570201 19570228   353.9
19570301 19570331   491.2
19570401 19570430    72.4
19570501 19570531     1.8
19570601 19570630     0.0
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.8
19571101 19571130    68.8
19571201 19571231   319.5
19580101 19580131   246.7
19580201 19580228   225.7
19580301 19580331   278.7
19580401 19580430    86.9
19580501 19580531    99.2
19580601 19580630     8.7
19580701 19580731     1.3
19580801 19580831     3.8
19580901 19580930     0.0
19581001 19581031    19.9
19581101 19581130   148.3
19581201 19581231   120.3
19590101 19590131   323.0
19590201 19590228   279.5
19590301 19590331   216.8
19590401 19590430   339.8
19590501 19590531    21.2
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130    31.5
19591201 19591231   272.1
19600101 19600131   317.1
19600201 19600229   296.6
19600301 19600331   336.8
19600401 19600430    43.3
19600501 19600531    21.9
19600601 19600630     0.0
19600701 19600731     0.3
19600801 19600831     0.3
19600901 19600930    14.7
19601001 19601031     2.8
19601101 19601130    95.6
19601201 19601231   244.8
19610101 19610131   373.6
19610201 19610228   155.7
19610301 19610331    74.3
19610401 19610430    10.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731    19.8
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    20.4
19611101 19611130    75.6
19611201 19611231   163.9
19620101 19620131   497.4
19620201 19620228   654.9
19620301 19620331    57.3
19620401 19620430    12.7
19620501 19620531     0.0
19620601 19620630     0.6
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930    12.8
19621001 19621031    53.6
19621101 19621130    54.2
19621201 19621231   281.6
19630101 19630131   213.0
19630201 19630228   263.3
19630301 19630331   207.4
19630401 19630430    86.7
19630501 19630531     1.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130    56.4
19631201 19631231   276.2
19640101 19640131   416.1
19640201 19640229   379.7
19640301 19640331   415.1
19640401 19640430   142.1
19640501 19640531    11.7
19640601 19640630     0.3
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    16.5
19641001 19641031    93.1
19641101 19641130   248.5
19641201 19641231   166.7
19650101 19650131   365.1
19650201 19650228   350.7
19650301 19650331   529.8
19650401 19650430     0.3
19650501 19650531     6.4
19650601 19650630     0.6
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     1.0
19651101 19651130     3.0
19651201 19651231   502.8
19660101 19660131   276.3
19660201 19660228   236.4
19660301 19660331   169.2
19660401 19660430     3.2
19660501 19660531     0.0
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    26.4
19661101 19661130   100.5
19661201 19661231   195.6
19670101 19670131   217.9
19670201 19670228   480.6
19670301 19670331   158.4
19670401 19670430    34.8
19670501 19670531     0.6
19670601 19670630     0.3
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.5
19671101 19671130    39.5
