PRCP       015593 19501001 20080430 missing_value=99999.9 ALCOOTA                                   
19720901 19720930     3.6
19721001 19721031     0.8
19721101 19721130     5.8
19721201 19721231    14.0
19730101 19730131    16.5
19730201 19730228    29.4
19730301 19730331     0.8
19730401 19730430    30.5
19730501 19730531    10.2
19730601 19730630    33.4
19730701 19730731    36.1
19730801 19730831    36.1
19730901 19730930    23.7
19731001 19731031    22.7
19731101 19731130    71.4
19731201 19731231    38.9
19740101 19740131   716.5
19740201 19740228   172.2
19740301 19740331    34.4
19740401 19740430   102.6
19740501 19740531    37.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    32.0
19740901 19740930    56.0
19741001 19741031    51.6
19741101 19741130    13.0
19741201 19741231    39.0
19750101 19750131    22.0
19750201 19750228   108.2
19750301 19750331    93.6
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    37.2
19750701 19750731    24.2
19750801 19750831    11.6
19750901 19750930    55.0
19751001 19751031    30.0
19751101 19751130    19.4
19751201 19751231   136.3
19760101 19760131   176.8
19760201 19760229   182.8
19760301 19760331   105.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     5.2
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    57.6
19761101 19761130    71.0
19761201 19761231     6.6
19770101 19770131    36.5
19770201 19770228   261.0
19770301 19770331    17.4
19770401 19770430     0.0
19770501 19770531    15.8
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930    13.0
19771001 19771031     0.0
19771101 19771130   113.4
19771201 19771231     9.4
19780101 19780131    73.6
19780201 19780228     5.4
19780301 19780331    12.2
19780401 19780430     0.0
19780501 19780531    60.4
19780601 19780630    31.2
19780701 19780731   130.6
19780801 19780831    17.4
19780901 19780930     2.0
19781001 19781031    39.8
19781101 19781130    28.6
19781201 19781231    49.6
19790101 19790131   100.4
19790201 19790228    50.0
19790301 19790331    57.0
19790401 19790430     8.0
19790501 19790531    84.8
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     5.6
19790901 19790930    17.2
19791001 19791031     3.0
19791101 19791130    75.6
19791201 19791231     5.6
19800101 19800131   121.6
19800201 19800229     9.8
