PRCP       036051 18970101 20060831 missing_value=99999.9 WESTLAND                                  
19181201 19181231    11.8
19190101 19190131    12.2
19190201 19190228   149.7
19190301 19190331    32.5
19190401 19190430    22.1
19190501 19190531    25.9
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     3.8
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231    63.6
19200101 19200131    13.7
19200201 19200229    28.5
19200301 19200331     4.3
19200401 19200430   101.6
19200501 19200531   128.7
19200601 19200630    62.3
19200701 19200731   142.6
19200801 19200831     8.2
19200901 19200930    17.2
19201001 19201031   105.4
19201101 19201130    58.6
19201201 19201231    58.5
19210101 19210131    53.6
19210201 19210228    28.5
19210301 19210331    95.2
19210401 19210430    39.1
19210501 19210531    16.2
19210601 19210630   103.2
19210701 19210731    25.9
19210801 19210831     9.1
19210901 19210930    19.3
19211001 19211031    60.2
19211101 19211130     0.0
19211201 19211231    36.0
19220101 19220131    82.8
19220201 19220228    12.5
19220301 19220331     0.0
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630     3.3
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    18.8
19221101 19221130     5.3
19221201 19221231   138.5
19230101 19230131    17.7
19230201 19230228     3.8
19230301 19230331     0.0
19230401 19230430     4.1
19230501 19230531     2.8
19230601 19230630    52.8
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    14.0
19231101 19231130     0.0
19231201 19231231    54.3
19240101 19240131   104.4
19240201 19240229   164.4
19240301 19240331   154.6
19240401 19240430    67.3
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     4.8
19240801 19240831    44.2
19240901 19240930    10.1
19241001 19241031    49.9
19241101 19241130    21.6
19241201 19241231    49.7
19250101 19250131    53.6
19250201 19250228     3.8
19250301 19250331   165.5
19250401 19250430     0.0
19250501 19250531     1.5
19250601 19250630     3.5
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930    12.4
19251001 19251031     0.0
19251101 19251130     9.4
19251201 19251231     5.6
19260101 19260131    18.3
19260201 19260228     3.8
19260301 19260331    23.6
19260401 19260430     0.0
19260501 19260531     8.9
19260601 19260630     0.0
19260701 19260731     0.5
19260801 19260831     0.0
19260901 19260930    92.0
19261001 19261031     1.3
19261101 19261130     6.4
19261201 19261231    27.9
19270101 19270131    13.3
19270201 19270228     1.8
19270301 19270331    29.2
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     8.1
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    18.3
19271001 19271031     0.0
19271101 19271130    12.5
19271201 19271231   167.1
19280101 19280131    11.4
19280201 19280229    47.0
19280301 19280331    55.4
19280401 19280430    68.1
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     3.8
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    31.2
19281201 19281231    56.6
19290101 19290131     0.0
19290201 19290228    10.5
19290301 19290331    53.4
19290401 19290430    70.2
19290501 19290531     0.0
19290601 19290630    20.3
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     1.8
19291101 19291130    22.4
19291201 19291231    52.6
19300101 19300131   190.4
19300201 19300228    54.4
19300301 19300331    18.8
19300401 19300430     5.8
19300501 19300531    89.9
19300601 19300630     8.9
19300701 19300731    29.3
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    95.7
19301101 19301130     2.0
19301201 19301231     1.0
19310101 19310131     9.7
19310201 19310228     0.0
19310301 19310331    67.0
19310401 19310430     5.8
19310501 19310531    16.2
19310601 19310630    12.7
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    25.5
19311001 19311031    12.6
19311101 19311130    80.0
19311201 19311231    65.6
19320101 19320131     0.0
19320201 19320229    34.0
19320301 19320331     0.0
19320401 19320430    28.7
19320501 19320531    69.2
19320601 19320630    16.5
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     1.5
19321001 19321031     8.4
19321101 19321130    45.5
19321201 19321231     2.5
19330101 19330131     9.7
19330201 19330228    30.4
19330301 19330331     0.0
19330401 19330430     0.0
19330501 19330531     2.5
19330601 19330630    12.2
19330701 19330731    78.5
19330801 19330831     6.4
19330901 19330930     5.3
19331001 19331031    12.7
19331101 19331130    68.9
19331201 19331231    31.7
19340101 19340131    45.6
19340201 19340228    37.1
19340301 19340331     0.8
19340401 19340430    60.2
19340501 19340531     2.3
19340601 19340630    23.1
19340701 19340731    28.4
19340801 19340831     0.0
19340901 19340930     2.3
19341001 19341031    29.2
19341101 19341130     0.5
19341201 19341231     1.8
19350101 19350131     0.0
19350201 19350228    10.2
19350301 19350331     0.0
19350401 19350430    16.5
19350501 19350531     0.0
19350601 19350630    76.2
19350701 19350731    19.9
19350801 19350831     9.1
19350901 19350930    34.0
19351001 19351031    17.8
19351101 19351130     6.4
19351201 19351231    33.0
19360101 19360131    78.7
19360201 19360229     6.6
19360301 19360331   129.8
19360401 19360430     2.8
19360501 19360531    36.4
19360601 19360630    10.2
19360701 19360731    30.5
19360801 19360831     2.5
19360901 19360930    12.7
19361001 19361031     0.0
19361101 19361130     5.1
19361201 19361231    34.4
19370101 19370131    60.4
19370201 19370228    68.8
19370301 19370331   214.1
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    27.6
19370701 19370731     6.9
19370801 19370831     3.8
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130    25.9
19371201 19371231     0.0
19380101 19380131    33.0
19380201 19380228    30.5
19380301 19380331     7.6
19380401 19380430     0.0
19380501 19380531     8.9
19380601 19380630     0.0
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     7.6
19381101 19381130    17.8
19381201 19381231   105.4
19390101 19390131    37.1
19390201 19390228    22.9
19390301 19390331     0.0
19390401 19390430    31.8
19390501 19390531     0.0
19390601 19390630    14.0
19390701 19390731    22.9
19390801 19390831    27.9
19390901 19390930     0.0
19391001 19391031   137.2
19391101 19391130    15.2
19391201 19391231    22.4
19400101 19400131    11.4
19400201 19400229   208.3
19400301 19400331     0.0
19400401 19400430     0.0
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831    41.9
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    11.4
19401201 19401231    29.2
19410101 19410131   211.3
19410201 19410228     8.9
19410301 19410331   129.4
19410401 19410430    68.5
19410501 19410531    64.2
19410601 19410630    43.2
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     7.6
19411101 19411130    68.6
19411201 19411231    24.1
19420101 19420131     0.0
19420201 19420228     0.0
19420301 19420331     0.0
19420401 19420430     5.8
19420501 19420531    93.9
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    70.9
19421101 19421130    12.7
19421201 19421231    85.1
19430101 19430131    41.9
19430201 19430228    29.2
19430301 19430331    50.8
19430401 19430430    12.7
19430501 19430531     0.0
19430601 19430630    12.7
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    33.0
19431001 19431031     0.0
19431101 19431130     5.1
19431201 19431231     9.1
19440101 19440131    49.6
19440201 19440229   179.3
19440301 19440331     6.4
19440401 19440430     0.0
19440501 19440531    19.0
19440601 19440630     0.0
19440701 19440731    21.6
19440801 19440831     0.0
19440901 19440930     3.8
19441001 19441031     0.0
19441101 19441130     0.0
19441201 19441231    47.0
19450101 19450131    16.6
19450201 19450228    24.2
19450301 19450331     7.6
19450401 19450430     0.0
19450501 19450531    38.1
19450601 19450630    16.5
19450701 19450731    60.9
19450801 19450831     0.0
19450901 19450930     3.8
19451001 19451031    63.5
19451101 19451130     0.0
19451201 19451231     6.4
19460101 19460131   165.1
19460201 19460228    10.2
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    19.0
19461201 19461231    34.8
19470101 19470131     8.9
19470201 19470228   155.0
19470301 19470331    11.4
19470401 19470430     0.0
19470501 19470531    22.9
19470601 19470630    24.9
19470701 19470731     0.0
19470801 19470831    66.1
19470901 19470930    58.7
19471001 19471031    26.7
19471101 19471130    19.6
19471201 19471231    30.0
19480101 19480131    13.0
19480201 19480229    28.9
19480301 19480331    25.5
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630    23.4
19480701 19480731    12.7
19480801 19480831     0.0
19480901 19480930     2.3
19481001 19481031    13.5
19481101 19481130    16.0
19481201 19481231    39.9
19490101 19490131    43.9
19490201 19490228    75.8
19490301 19490331   190.5
19490401 19490430     4.3
19490501 19490531     0.0
19490601 19490630    14.2
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     4.5
19491001 19491031   122.9
19491101 19491130     0.0
19491201 19491231    31.7
19500101 19500131   185.4
19500201 19500228    63.6
19500301 19500331   262.2
19500401 19500430    78.7
19500501 19500531    58.4
19500601 19500630    20.8
19500701 19500731   144.8
19500801 19500831     0.0
19500901 19500930    29.2
19501001 19501031    48.0
19501101 19501130    85.4
19501201 19501231    51.8
19510101 19510131   135.5
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    22.9
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031    15.3
19511101 19511130    15.2
19511201 19511231    23.7
19520101 19520131     0.0
19520201 19520229    33.7
19520301 19520331     0.0
19520401 19520430    29.2
19520501 19520531    66.6
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     2.8
19520901 19520930     2.3
19521001 19521031    21.2
19521101 19521130    44.6
19521201 19521231    54.3
19530101 19530131   166.6
19530201 19530228   131.3
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     2.3
19530801 19530831    24.5
19530901 19530930     1.3
19531001 19531031    18.0
19531101 19531130     0.0
19531201 19531231     3.9
19540101 19540131   218.4
19540201 19540228   145.2
19540301 19540331     0.0
19540401 19540430    41.5
19540501 19540531     0.0
19540601 19540630    26.8
19540701 19540731    15.7
19540801 19540831    32.8
19540901 19540930     0.8
19541001 19541031    61.1
19541101 19541130     2.5
19541201 19541231    84.3
19550101 19550131    47.2
19550201 19550228    87.3
19550301 19550331   230.8
19550401 19550430    75.2
19550501 19550531   105.7
19550601 19550630     8.2
19550701 19550731    41.7
19550801 19550831     4.4
19550901 19550930     0.0
19551001 19551031    11.8
19551101 19551130     1.3
19551201 19551231    32.4
19560101 19560131    27.2
19560201 19560229    96.8
19560301 19560331   253.7
19560401 19560430    21.7
19560501 19560531    47.7
19560601 19560630    30.4
19560701 19560731    96.9
19560801 19560831     1.8
19560901 19560930     0.0
19561001 19561031    27.8
19561101 19561130    15.2
19561201 19561231    76.5
19570101 19570131    92.2
19570201 19570228    83.4
19570301 19570331    14.6
19570401 19570430    48.4
19570501 19570531     0.0
19570601 19570630    38.3
19570701 19570731    33.5
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    34.5
19571101 19571130     0.0
19571201 19571231    79.8
19580101 19580131    81.7
19580201 19580228    12.4
19580301 19580331    37.8
19580401 19580430     0.0
19580501 19580531     0.0
19580601 19580630    51.3
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     4.2
19581001 19581031    41.5
19581101 19581130     8.4
19581201 19581231     7.0
19590101 19590131    69.0
19590201 19590228     6.5
19590301 19590331    39.0
19590401 19590430   119.9
19590501 19590531    31.2
19590601 19590630     0.0
