PRCP       048031 18970501 20180131 missing_value=99999.9 COLLARENEBRI (VIEWPOINT)                  
19930301 19930331    45.0
19930401 19930430     0.0
19930501 19930531     8.2
19930601 19930630    24.2
19930701 19930731    85.6
19930801 19930831    22.2
19930901 19930930    81.6
19931001 19931031    82.6
19931101 19931130    47.0
19931201 19931231    41.6
19940101 19940131     9.2
19940201 19940228    90.4
19940301 19940331    80.6
19940401 19940430     1.6
19940501 19940531     0.0
19940601 19940630     2.0
19940701 19940731     2.0
19940801 19940831     2.6
19940901 19940930     2.8
19941001 19941031    13.0
19941101 19941130    63.8
19941201 19941231    52.0
19950101 19950131   266.4
19950201 19950228    20.6
19950301 19950331     1.0
19950401 19950430     2.6
19950501 19950531   109.4
19950601 19950630    36.4
19950701 19950731     4.0
19950801 19950831     0.6
19950901 19950930    44.8
19951001 19951031    36.8
19951101 19951130    80.2
19951201 19951231    46.6
19960101 19960131   172.6
19960201 19960229    23.2
19960301 19960331     0.0
19960401 19960430    13.2
19960501 19960531   117.8
19960601 19960630    40.6
19960701 19960731    34.6
19960801 19960831    72.2
19960901 19960930    18.9
19961001 19961031    13.3
19961101 19961130    44.8
19961201 19961231   143.0
19970101 19970131    40.0
19970201 19970228    76.5
19970301 19970331    33.6
19970401 19970430     0.0
19970501 19970531    47.0
19970601 19970630    17.6
19970701 19970731     4.4
19970801 19970831     2.8
19970901 19970930    13.6
19971001 19971031    45.8
19971101 19971130    10.6
19971201 19971231   145.5
19980101 19980131    46.2
19980201 19980228    59.0
19980301 19980331     0.0
19980401 19980430    34.6
19980501 19980531   107.6
19980601 19980630    31.6
19980701 19980731   148.0
19980801 19980831    55.8
19980901 19980930   102.0
19981001 19981031    62.2
19981101 19981130    20.4
19981201 19981231     8.0
19990101 19990131    58.4
19990201 19990228    14.6
19990301 19990331    74.0
19990401 19990430    84.2
19990501 19990531    15.2
19990601 19990630    46.6
19990701 19990731    45.2
19990801 19990831    39.6
19990901 19990930    22.4
19991001 19991031   137.0
19991101 19991130    84.4
19991201 19991231    46.8
20000101 20000131    27.8
20000201 20000229    50.3
20000301 20000331   178.2
20000401 20000430    21.2
20000501 20000531    36.0
20000601 20000630    73.0
20000701 20000731    25.0
20000801 20000831    13.4
20000901 20000930     6.2
20001001 20001031   125.8
20001101 20001130   241.2
20001201 20001231     4.8
20010101 20010131    84.0
20010201 20010228    33.8
20010301 20010331    51.0
20010401 20010430    36.6
20010501 20010531    15.0
20010601 20010630    37.6
20010701 20010731    41.8
20010801 20010831     3.2
20010901 20010930    16.6
20011001 20011031    59.0
20011101 20011130    43.8
20011201 20011231    31.2
20020101 20020131     1.0
20020201 20020228    63.8
20020301 20020331    42.0
20020401 20020430    59.2
20020501 20020531     1.6
20020601 20020630    14.0
20020701 20020731     0.2
20020801 20020831    12.4
20020901 20020930    18.4
20021001 20021031     8.0
20021101 20021130    11.6
20021201 20021231    65.2
20030101 20030131     9.8
20030201 20030228    73.2
20030301 20030331    31.2
20030401 20030430    48.6
20030501 20030531     1.4
20030601 20030630     9.0
20030701 20030731    15.2
20030801 20030831    61.6
20030901 20030930     0.4
20031001 20031031    45.2
20031101 20031130    23.7
20031201 20031231    35.8
20040101 20040131   218.8
20040201 20040229    67.4
20040301 20040331   201.1
20040401 20040430    21.7
20040501 20040531    18.5
20040601 20040630     9.6
20040701 20040731    26.5
20040801 20040831    31.8
20040901 20040930    32.0
20041001 20041031    16.5
20041101 20041130    74.7
20041201 20041231   137.4
20050101 20050131    25.5
20050201 20050228    29.3
20050301 20050331    23.1
20050401 20050430     0.0
20050501 20050531    37.2
20050601 20050630   148.1
20050701 20050731    11.0
20050801 20050831    22.0
20050901 20050930    33.6
20051001 20051031    64.0
20051101 20051130   112.9
20051201 20051231    39.3
20060101 20060131    27.6
20060201 20060228    71.4
20060301 20060331    47.4
20060401 20060430    53.7
20060501 20060531     0.0
20060601 20060630    21.7
20060701 20060731    68.4
20060801 20060831     3.0
20060901 20060930    14.0
20061001 20061031     1.0
20061101 20061130    75.6
20061201 20061231    31.6
20070101 20070131    58.0
20070201 20070228    45.6
20070301 20070331    20.2
20070401 20070430    23.5
20070501 20070531    50.0
20070601 20070630    49.8
20070701 20070731     0.0
20070801 20070831    18.4
20070901 20070930    10.6
20071001 20071031    91.0
20071101 20071130    38.4
20071201 20071231   182.4
20080101 20080131    80.2
20080201 20080229   127.1
20080301 20080331     8.2
20080401 20080430     2.4
20080501 20080531     6.8
20080601 20080630    57.6
20080701 20080731    36.0
20080801 20080831    13.2
20080901 20080930    70.1
20081001 20081031    38.2
20081101 20081130   106.6
20081201 20081231    53.2
20090101 20090131    35.2
20090201 20090228   123.0
20090301 20090331     1.2
20090401 20090430    35.0
20090501 20090531    73.8
20090601 20090630    18.8
20090701 20090731    14.5
20090801 20090831     3.0
20090901 20090930    15.7
20091001 20091031    50.0
20091101 20091130     7.8
20091201 20091231   125.5
20100101 20100131    73.2
20100201 20100228    61.0
20100301 20100331    70.2
20100401 20100430    17.8
20100501 20100531    14.2
20100601 20100630    14.0
20100701 20100731    82.2
20100801 20100831    44.0
20100901 20100930    53.2
20101001 20101031    64.0
20101101 20101130   178.0
20101201 20101231   128.2
20110101 20110131    21.0
20110201 20110228    30.4
20110301 20110331    29.8
20110401 20110430    14.0
20110501 20110531    24.0
20110601 20110630    35.2
20110701 20110731    16.0
20110801 20110831    36.4
20110901 20110930    94.4
20111001 20111031    33.3
20111101 20111130   136.4
20111201 20111231   115.8
20120101 20120131   112.4
20120201 20120229   111.2
20120301 20120331     3.6
20120401 20120430    22.6
20120501 20120531    36.4
20120601 20120630    31.4
20120701 20120731    75.2
20120801 20120831     1.0
20120901 20120930     9.6
20121001 20121031     4.2
20121101 20121130     6.6
20121201 20121231    39.1
20130101 20130131    29.6
20130201 20130228    30.1
20130301 20130331    90.3
20130401 20130430     0.0
20130501 20130531    48.6
20130601 20130630    13.9
20130701 20130731    11.4
20130801 20130831     3.2
20130901 20130930    32.0
20131001 20131031    16.2
20131101 20131130    11.6
20131201 20131231    10.0
20140101 20140131     6.8
20140201 20140228    15.4
20140301 20140331   113.8
20140401 20140430    19.0
20140501 20140531     3.9
20140601 20140630    37.3
20140701 20140731     7.2
20140801 20140831    38.8
20140901 20140930     5.8
20141001 20141031     1.5
20141101 20141130    18.1
20141201 20141231    83.2
20150101 20150131    66.7
20150201 20150228     0.0
20150301 20150331    20.2
20150401 20150430    76.0
20150501 20150531    25.4
20150601 20150630    53.0
20150701 20150731    52.0
20150801 20150831     9.2
20150901 20150930     1.2
20151001 20151031    13.0
20151101 20151130    18.4
20151201 20151231    29.7
20160101 20160131   167.6
20160201 20160229     0.0
20160301 20160331     7.6
20160401 20160430    10.0
20160501 20160531    32.0
20160601 20160630   143.2
20160701 20160731    19.2
20160801 20160831    48.6
20160901 20160930   124.5
20161001 20161031    45.0
20161101 20161130    15.6
20161201 20161231    33.0
20170101 20170131    37.0
20170201 20170228     6.6
20170301 20170331    25.4
20170401 20170430    14.0
20170501 20170531     3.4
20170601 20170630    19.4
20170701 20170731    20.2
20170801 20170831     9.8
20170901 20170930     1.9
20171001 20171031    53.2
20171101 20171130    51.0
20171201 20171231    17.2
20180101 20180131    16.4
