PRCP       010505 18910101 20170930 missing_value=99999.9 ARTHUR RIVER COMP                         
19121201 19121231    25.3
19130101 19130131     5.6
19130201 19130228    10.4
19130301 19130331    11.3
19130401 19130430   131.7
19130501 19130531    26.1
19130601 19130630    96.4
19130701 19130731   103.5
19130801 19130831   131.9
19130901 19130930    43.5
19131001 19131031    29.0
19131101 19131130    18.1
19131201 19131231    61.5
19140101 19140131     0.0
19140201 19140228    79.9
19140301 19140331     4.5
19140401 19140430    29.4
19140501 19140531    28.1
19140601 19140630    72.4
19140701 19140731    69.2
19140801 19140831    27.0
19140901 19140930     8.1
19141001 19141031    54.3
19141101 19141130    49.6
19141201 19141231    13.5
19150101 19150131    57.5
19150201 19150228    41.6
19150301 19150331    15.3
19150401 19150430    16.6
19150501 19150531    77.4
19150601 19150630    82.6
19150701 19150731    90.7
19150801 19150831    77.9
19150901 19150930    83.6
19151001 19151031    55.4
19151101 19151130     3.6
19151201 19151231     0.0
19160101 19160131    22.8
19160201 19160229    27.9
19160301 19160331    22.7
19160401 19160430     4.6
19160501 19160531    56.7
19160601 19160630    73.0
19160701 19160731    97.9
19160801 19160831    95.8
19160901 19160930     3.2
19161001 19161031    43.4
19161101 19161130    26.2
19161201 19161231     0.6
19170101 19170131     3.1
19170201 19170228    20.3
19170301 19170331    24.9
19170401 19170430    52.1
19170501 19170531    89.5
19170601 19170630   151.5
19170701 19170731   136.5
19170801 19170831    88.6
19170901 19170930    98.5
19171001 19171031    53.3
19171101 19171130     0.8
19171201 19171231    18.8
19180101 19180131    50.4
19180201 19180228    42.1
19180301 19180331    18.3
19180401 19180430    29.0
19180501 19180531    85.7
19180601 19180630    95.2
19180701 19180731    36.4
19180801 19180831    77.8
19180901 19180930    57.6
19181001 19181031    38.8
19181101 19181130    16.5
19181201 19181231     1.3
19190101 19190131     5.6
19190201 19190228     0.3
19190301 19190331     8.9
19190401 19190430    71.2
19190501 19190531    32.8
19190601 19190630    76.8
19190701 19190731    88.0
19190801 19190831    70.4
19190901 19190930    38.7
19191001 19191031    35.7
19191101 19191130    17.6
19191201 19191231     4.8
19200101 19200131     3.8
19200201 19200229    38.1
19200301 19200331    25.2
19200401 19200430     6.6
19200501 19200531    82.7
19200601 19200630    94.9
19200701 19200731    70.4
19200801 19200831   134.2
19200901 19200930    34.4
19201001 19201031    15.8
19201101 19201130     3.6
19201201 19201231     1.3
19210101 19210131     9.7
19210201 19210228    23.0
19210301 19210331     6.7
19210401 19210430    10.2
19210501 19210531   139.2
19210601 19210630   105.3
19210701 19210731    81.6
19210801 19210831    54.4
19210901 19210930    46.7
19211001 19211031    51.6
19211101 19211130    22.3
19211201 19211231    19.4
19220101 19220131     3.1
19220201 19220228    14.7
19220301 19220331    63.8
19220401 19220430    18.1
19220501 19220531    58.0
19220601 19220630    37.2
19220701 19220731   100.7
19220801 19220831    77.1
19220901 19220930    47.5
19221001 19221031    21.5
19221101 19221130    17.9
19221201 19221231    11.7
19230101 19230131    13.0
19230201 19230228     0.0
19230301 19230331    26.4
19230401 19230430    66.7
19230501 19230531   120.7
19230601 19230630   174.6
19230701 19230731    59.2
19230801 19230831    60.4
19230901 19230930    93.2
19231001 19231031    22.2
19231101 19231130     0.5
19231201 19231231     5.9
19240101 19240131     1.8
19240201 19240229     5.3
19240301 19240331     2.3
19240401 19240430     3.8
19240501 19240531   120.2
19240601 19240630    42.3
19240701 19240731    72.8
19240801 19240831    80.5
19240901 19240930    26.9
19241001 19241031    63.3
19241101 19241130    22.7
19241201 19241231     0.0
19250101 19250131     9.2
19250201 19250228     4.8
19250301 19250331    39.1
19250401 19250430     6.6
19250501 19250531    35.6
19250601 19250630    45.6
19250701 19250731    55.3
19250801 19250831    18.1
19250901 19250930    27.2
19251001 19251031    21.9
19251101 19251130     0.0
19251201 19251231    19.3
19260101 19260131     0.8
19260201 19260228     6.6
19260301 19260331    52.3
19260401 19260430    84.8
19260501 19260531    67.3
19260601 19260630    73.6
19260701 19260731   197.5
19260801 19260831    39.9
19260901 19260930    52.2
19261001 19261031    68.7
19261101 19261130    20.4
19261201 19261231     0.5
19270101 19270131     6.3
19270201 19270228     1.8
19270301 19270331    61.4
19270401 19270430    14.2
19270501 19270531    36.0
19270601 19270630   102.6
19270701 19270731    70.9
19270801 19270831    48.3
19270901 19270930    53.5
19271001 19271031    30.2
19271101 19271130     7.9
19271201 19271231     3.8
19280101 19280131    24.3
19280201 19280229     0.0
19280301 19280331     0.3
19280401 19280430    47.9
19280501 19280531    57.2
19280601 19280630    55.2
19280701 19280731   136.1
19280801 19280831   105.6
19280901 19280930    72.7
19281001 19281031    27.3
19281101 19281130     3.3
19281201 19281231     3.3
19290101 19290131     0.5
19290201 19290228    27.9
19290301 19290331     1.5
19290401 19290430    10.9
19290501 19290531   137.5
19290601 19290630   116.4
19290701 19290731    50.7
19290801 19290831    44.2
19290901 19290930    30.1
19291001 19291031    16.1
19291101 19291130    37.3
19291201 19291231     5.9
19300101 19300131     0.0
19300201 19300228     6.4
19300301 19300331    18.0
19300401 19300430    18.6
19300501 19300531    40.8
19300601 19300630   116.6
19300701 19300731   137.0
19300801 19300831    35.5
19300901 19300930    55.4
19301001 19301031    19.0
19301101 19301130    10.6
19301201 19301231    23.9
19310101 19310131     0.0
19310201 19310228     0.5
19310301 19310331    23.4
19310401 19310430    28.0
19310501 19310531    67.5
19310601 19310630    51.6
19310701 19310731    72.4
19310801 19310831    83.0
19310901 19310930   106.5
19311001 19311031    24.2
19311101 19311130    10.4
19311201 19311231    10.9
19320101 19320131    19.3
19320201 19320229    10.7
19320301 19320331    10.7
19320401 19320430    27.4
19320501 19320531    76.7
19320601 19320630    80.9
19320701 19320731   130.2
19320801 19320831    66.5
19320901 19320930    34.0
19321001 19321031    56.2
19321101 19321130     4.3
19321201 19321231     5.6
19330101 19330131    16.4
19330201 19330228     0.5
19330301 19330331    10.2
19330401 19330430    19.6
19330501 19330531    73.2
19330601 19330630   133.3
19330701 19330731    55.7
19330801 19330831    74.1
19330901 19330930    40.8
19331001 19331031    57.4
19331101 19331130    11.4
19331201 19331231    10.4
19340101 19340131     5.6
19340201 19340228    18.1
19340301 19340331   117.3
19340401 19340430    24.1
19340501 19340531    67.1
19340601 19340630   134.9
19340701 19340731   102.5
19340801 19340831    89.1
19340901 19340930    67.6
19341001 19341031    21.0
19341101 19341130    24.9
19341201 19341231     8.1
19350101 19350131     7.4
19350201 19350228    22.1
19350301 19350331     0.0
19350401 19350430    41.9
19350501 19350531    45.2
19350601 19350630    76.3
19350701 19350731   144.2
19350801 19350831    54.8
19350901 19350930    42.7
19351001 19351031    61.6
19351101 19351130     1.5
19351201 19351231     1.3
19360101 19360131    12.2
19360201 19360229     5.6
19360301 19360331    10.4
19360401 19360430    32.1
19360501 19360531    66.1
19360601 19360630   123.7
19360701 19360731    39.3
19360801 19360831    76.8
19360901 19360930    26.0
19361001 19361031    14.2
19361101 19361130     3.0
19361201 19361231    19.0
19370101 19370131     0.0
19370201 19370228     0.0
19370301 19370331    50.3
19370401 19370430    58.2
19370501 19370531    91.0
19370601 19370630   111.8
19370701 19370731    33.9
19370801 19370831    95.8
19370901 19370930    22.7
19371001 19371031    25.8
19371101 19371130    21.6
19371201 19371231     0.3
19380101 19380131     1.6
19380201 19380228     0.0
19380301 19380331    41.0
19380401 19380430    32.5
19380501 19380531    46.0
19380601 19380630    30.1
19380701 19380731    86.1
19380801 19380831    71.4
19380901 19380930    49.8
19381001 19381031    17.6
19381101 19381130     8.4
19381201 19381231     4.3
19390101 19390131    26.7
19390201 19390228    31.0
19390301 19390331     0.0
19390401 19390430    26.5
19390501 19390531    68.4
19390601 19390630    87.4
19390701 19390731   149.2
19390801 19390831   108.3
19390901 19390930    10.5
19391001 19391031    65.4
19391101 19391130    27.7
19391201 19391231     0.0
19400101 19400131     4.6
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     3.8
19400501 19400531    30.7
19400601 19400630    33.1
19400701 19400731    55.5
19400801 19400831    31.9
19400901 19400930    21.9
19401001 19401031    15.2
19401101 19401130     3.8
19401201 19401231    40.6
19410101 19410131     2.4
19410201 19410228    11.2
19410301 19410331    12.8
19410401 19410430    50.0
19410501 19410531    48.7
19410601 19410630    94.0
19410701 19410731    84.1
19410801 19410831    47.1
19410901 19410930    77.1
19411001 19411031    32.8
19411101 19411130    11.3
19411201 19411231     8.1
19420101 19420131     4.6
19420201 19420228     1.0
19420301 19420331    67.6
19420401 19420430    37.9
19420501 19420531    85.0
19420601 19420630    76.6
19420701 19420731    71.3
19420801 19420831    91.7
19420901 19420930    58.9
19421001 19421031    32.6
19421101 19421130     3.1
19421201 19421231    17.1
19430101 19430131    39.1
19430201 19430228    27.9
19430301 19430331    85.2
19430401 19430430    77.7
19430501 19430531    46.3
19430601 19430630    74.1
19430701 19430731    63.8
19430801 19430831    60.8
19430901 19430930    70.4
19431001 19431031    24.2
19431101 19431130     1.0
19431201 19431231    12.2
19440101 19440131     6.1
19440201 19440229     0.0
19440301 19440331     3.3
19440401 19440430     4.8
19440501 19440531    61.8
19440601 19440630    45.3
19440701 19440731    98.4
19440801 19440831    51.2
19440901 19440930    26.1
19441001 19441031     2.3
19441101 19441130     4.8
19441201 19441231    14.8
19450101 19450131     0.0
19450201 19450228     1.3
19450301 19450331    16.3
19450401 19450430     4.6
19450501 19450531    57.5
19450601 19450630   253.4
19450701 19450731    80.5
19450801 19450831   128.5
19450901 19450930    56.8
19451001 19451031     7.9
19451101 19451130    23.6
19451201 19451231     3.0
19460101 19460131     0.0
19460201 19460228     0.0
19460301 19460331     6.6
19460401 19460430    55.6
19460501 19460531    74.7
19460601 19460630   109.3
19460701 19460731   189.2
19460801 19460831    63.7
19460901 19460930    22.7
19461001 19461031     5.4
19461101 19461130    51.4
19461201 19461231    16.1
19470101 19470131     0.0
19470201 19470228     9.5
19470301 19470331     4.6
19470401 19470430    44.7
19470501 19470531   118.3
19470601 19470630   136.6
19470701 19470731    40.1
19470801 19470831    27.1
19470901 19470930    29.5
19471001 19471031    77.1
19471101 19471130    11.9
19471201 19471231     4.3
19480101 19480131     2.1
19480201 19480229     0.3
19480301 19480331     6.7
19480401 19480430    22.2
19480501 19480531     3.6
19480601 19480630    52.5
19480701 19480731    78.3
19480801 19480831    83.9
19480901 19480930    72.9
19481001 19481031    25.7
19481101 19481130    21.1
19481201 19481231    19.1
19490101 19490131     4.4
19490201 19490228     0.0
19490301 19490331     6.6
19490401 19490430    23.9
19490501 19490531    25.7
19490601 19490630    52.1
19490701 19490731   106.8
19490801 19490831   102.8
19490901 19490930    19.9
19491001 19491031    82.1
19491101 19491130    59.4
19491201 19491231     0.0
19500101 19500131     9.4
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     2.3
19500501 19500531    69.9
19500601 19500630    71.8
19500701 19500731    59.7
19500801 19500831    38.8
19500901 19500930    35.0
19501001 19501031    37.8
19501101 19501130    16.1
19501201 19501231    13.8
19510101 19510131     7.2
19510201 19510228    25.4
19510301 19510331     3.8
19510401 19510430    44.5
19510501 19510531    42.8
19510601 19510630   112.0
19510701 19510731    34.9
19510801 19510831    48.0
19510901 19510930    15.0
19511001 19511031    31.3
19511101 19511130    50.4
19511201 19511231   100.1
19520101 19520131     8.7
19520201 19520229    13.7
19520301 19520331    15.8
19520401 19520430     2.9
19520501 19520531    60.2
19520601 19520630   127.4
19520701 19520731    60.6
19520801 19520831    33.4
19520901 19520930    44.9
19521001 19521031    36.9
19521101 19521130    26.2
19521201 19521231    15.8
19530101 19530131     1.0
19530201 19530228    11.4
19530301 19530331     9.8
19530401 19530430    39.0
19530501 19530531    86.8
19530601 19530630    93.9
19530701 19530731    75.3
19530801 19530831    21.9
19530901 19530930    40.8
19531001 19531031    58.5
19531101 19531130    13.2
19531201 19531231     0.0
19540101 19540131     3.6
19540201 19540228     2.8
19540301 19540331     0.0
19540401 19540430     7.1
19540501 19540531    50.2
19540601 19540630    38.2
19540701 19540731    90.1
19540801 19540831    43.5
19540901 19540930    20.2
19541001 19541031    11.5
19541101 19541130    18.4
19541201 19541231     1.6
19550101 19550131     2.5
19550201 19550228   294.4
19550301 19550331     1.8
19550401 19550430    59.4
19550501 19550531    61.7
19550601 19550630    52.7
19550701 19550731    58.4
19550801 19550831   173.3
19550901 19550930    56.6
19551001 19551031    37.1
19551101 19551130     3.9
19551201 19551231    11.2
19560101 19560131     7.6
19560201 19560229     2.5
19560301 19560331    32.5
19560401 19560430    16.8
19560501 19560531    92.3
19560601 19560630    69.4
19560701 19560731    85.9
19560801 19560831    10.7
19560901 19560930    23.7
19561001 19561031    14.4
19561101 19561130    23.2
19561201 19561231     8.5
19570101 19570131     8.9
19570201 19570228     3.6
19570301 19570331     7.1
19570401 19570430    26.2
19570501 19570531    65.3
19570601 19570630   125.2
19570701 19570731    24.4
19570801 19570831    43.1
19570901 19570930    12.3
19571001 19571031    14.1
19571101 19571130     0.3
19571201 19571231     0.8
19580101 19580131     1.3
19580201 19580228    18.8
19580301 19580331     1.0
19580401 19580430    15.1
19580501 19580531    79.3
19580601 19580630    26.2
19580701 19580731   175.4
19580801 19580831    34.2
19580901 19580930    71.9
19581001 19581031    26.5
19581101 19581130    20.4
19581201 19581231    29.4
19590101 19590131     8.3
19590201 19590228    31.5
19590301 19590331    13.1
19590401 19590430    39.1
19590501 19590531    24.5
19590601 19590630   119.2
19590701 19590731    22.6
19590801 19590831    52.3
19590901 19590930    39.7
19591001 19591031    34.6
19591101 19591130    11.4
