PRCP       019061 19100101 20171231 missing_value=99999.9 YEDNALUE                                  
19311201 19311231    19.1
19320101 19320131     0.3
19320201 19320229    39.1
19320301 19320331    16.7
19320401 19320430    40.2
19320501 19320531    27.2
19320601 19320630    40.6
19320701 19320731    15.6
19320801 19320831    44.2
19320901 19320930    55.9
19321001 19321031    15.7
19321101 19321130     5.9
19321201 19321231     0.6
19330101 19330131     6.9
19330201 19330228     0.0
19330301 19330331     9.9
19330401 19330430     1.3
19330501 19330531    23.1
19330601 19330630     0.0
19330701 19330731    14.0
19330801 19330831    45.2
19330901 19330930    29.1
19331001 19331031     6.9
19331101 19331130    24.9
19331201 19331231    19.3
19340101 19340131     2.8
19340201 19340228    18.5
19340301 19340331    18.3
19340401 19340430     5.6
19340501 19340531     4.6
19340601 19340630    14.3
19340701 19340731    27.2
19340801 19340831    22.3
19340901 19340930    14.0
19341001 19341031    31.1
19341101 19341130    76.3
19341201 19341231     4.8
19350101 19350131    11.4
19350201 19350228     0.0
19350301 19350331    12.2
19350401 19350430    22.2
19350501 19350531     0.0
19350601 19350630    11.3
19350701 19350731     6.3
19350801 19350831    24.4
19350901 19350930    16.6
19351001 19351031    19.7
19351101 19351130     0.5
19351201 19351231     6.8
19360101 19360131    36.8
19360201 19360229    18.3
19360301 19360331     4.3
19360401 19360430     4.1
19360501 19360531    26.4
19360601 19360630    14.0
19360701 19360731    31.0
19360801 19360831    22.6
19360901 19360930     6.4
19361001 19361031    38.5
19361101 19361130     6.9
19361201 19361231    18.3
19370101 19370131   131.8
19370201 19370228    31.0
19370301 19370331     5.3
19370401 19370430    12.9
19370501 19370531    19.5
19370601 19370630    39.5
19370701 19370731    16.3
19370801 19370831    45.4
19370901 19370930    13.7
19371001 19371031    20.9
19371101 19371130    44.5
19371201 19371231    10.9
19380101 19380131    34.1
19380201 19380228    46.7
19380301 19380331     0.3
19380401 19380430    17.5
19380501 19380531     1.3
19380601 19380630    13.0
19380701 19380731    22.8
19380801 19380831    32.4
19380901 19380930     1.0
19381001 19381031    54.4
19381101 19381130     7.1
19381201 19381231     0.0
19390101 19390131    23.9
19390201 19390228    53.6
19390301 19390331    30.7
19390401 19390430    19.8
19390501 19390531    23.8
19390601 19390630    83.4
19390701 19390731    28.9
19390801 19390831    29.6
19390901 19390930     1.3
19391001 19391031     4.3
19391101 19391130    49.4
19391201 19391231     0.8
19400101 19400131    12.4
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     9.2
19400501 19400531     5.6
19400601 19400630     0.0
19400701 19400731    24.1
19400801 19400831    10.2
19400901 19400930     5.8
19401001 19401031     7.3
19401101 19401130     0.0
19401201 19401231     2.8
19410101 19410131   104.9
19410201 19410228     0.0
19410301 19410331    21.1
19410401 19410430     0.5
19410501 19410531     0.8
19410601 19410630    35.6
19410701 19410731    30.7
19410801 19410831    25.6
19410901 19410930    10.2
19411001 19411031     9.2
19411101 19411130    15.0
19411201 19411231     7.1
19420101 19420131    13.7
19420201 19420228     0.0
19420301 19420331     1.5
19420401 19420430    31.5
19420501 19420531    41.9
19420601 19420630    38.3
19420701 19420731    38.2
19420801 19420831    57.0
19420901 19420930    19.6
19421001 19421031    45.0
19421101 19421130     8.1
19421201 19421231     8.1
19430101 19430131     1.0
19430201 19430228    43.1
19430301 19430331     1.5
19430401 19430430    23.6
19430501 19430531     2.6
19430601 19430630    23.6
19430701 19430731    38.7
19430801 19430831    26.4
19430901 19430930     5.1
19431001 19431031    20.1
19431101 19431130    19.3
19431201 19431231     2.5
19440101 19440131     4.8
19440201 19440229    14.2
19440301 19440331     0.0
19440401 19440430    14.7
19440501 19440531    17.8
19440601 19440630     2.0
19440701 19440731    10.1
19440801 19440831    12.7
19440901 19440930     0.0
19441001 19441031     6.4
19441101 19441130    20.6
19441201 19441231    30.9
19450101 19450131     9.9
19450201 19450228     1.8
19450301 19450331     6.6
19450401 19450430     0.0
19450501 19450531    13.6
19450601 19450630   102.2
19450701 19450731    24.9
19450801 19450831    15.7
19450901 19450930    12.9
19451001 19451031    17.8
19451101 19451130    18.6
19451201 19451231    33.6
19460101 19460131    74.6
19460201 19460228    95.8
19460301 19460331    11.1
19460401 19460430    19.6
19460501 19460531     9.9
19460601 19460630    13.8
19460701 19460731    26.2
19460801 19460831     5.7
19460901 19460930     9.1
19461001 19461031    14.0
19461101 19461130    14.0
19461201 19461231    59.2
19470101 19470131     6.6
19470201 19470228    59.0
19470301 19470331    96.8
19470401 19470430    21.6
19470501 19470531     0.5
19470601 19470630    21.9
19470701 19470731    49.1
19470801 19470831    13.0
19470901 19470930    37.1
19471001 19471031    68.0
19471101 19471130    32.5
19471201 19471231    12.2
19480101 19480131     0.0
19480201 19480229     3.3
19480301 19480331     0.0
19480401 19480430     8.6
19480501 19480531     5.8
19480601 19480630    18.6
19480701 19480731    13.1
19480801 19480831    28.2
19480901 19480930     0.5
19481001 19481031    29.5
19481101 19481130    13.5
19481201 19481231    53.6
19490101 19490131    16.0
19490201 19490228    42.9
19490301 19490331     1.3
19490401 19490430    12.7
19490501 19490531    57.5
19490601 19490630     5.9
19490701 19490731    28.4
19490801 19490831    11.9
19490901 19490930    82.3
19491001 19491031    53.7
19491101 19491130    41.9
19491201 19491231     6.4
19500101 19500131     0.8
19500201 19500228   144.3
19500301 19500331    41.4
