PRCP       094061 18880101 20180131 missing_value=99999.9 SANDFORD (MAYDENA)                        
19091201 19091231    43.5
19100101 19100131    61.7
19100201 19100228     8.8
19100301 19100331    22.8
19100401 19100430    59.7
19100501 19100531    29.9
19100601 19100630    69.8
19100701 19100731    41.9
19100801 19100831    14.2
19100901 19100930    75.7
19101001 19101031    50.1
19101101 19101130    24.5
19101201 19101231    59.1
19110101 19110131     9.2
19110201 19110228    59.0
19110301 19110331    96.2
19110401 19110430    46.9
19110501 19110531   115.3
19110601 19110630    39.4
19110701 19110731    28.0
19110801 19110831    20.6
19110901 19110930    23.9
19111001 19111031    52.9
19111101 19111130    28.6
19111201 19111231    72.6
19120101 19120131    17.5
19120201 19120229     2.8
19120301 19120331    76.3
19120401 19120430    42.4
19120501 19120531    17.6
19120601 19120630    80.3
19120701 19120731    40.9
19120801 19120831    19.1
19120901 19120930   101.9
19121001 19121031    62.6
19121101 19121130    38.2
19121201 19121231    72.0
19130101 19130131    32.4
19130201 19130228     1.9
19130301 19130331    52.0
19130401 19130430    57.9
19130501 19130531    10.5
19130601 19130630    52.1
19130701 19130731    28.4
19130801 19130831    53.5
19130901 19130930    32.2
19131001 19131031    51.6
19131101 19131130    94.9
19131201 19131231    25.7
19140101 19140131     4.6
19140201 19140228     7.1
19140301 19140331    43.2
19140401 19140430    68.7
19140501 19140531    22.0
19140601 19140630     5.8
19140701 19140731    41.2
19140801 19140831    16.8
19140901 19140930    21.7
19141001 19141031     7.4
19141101 19141130    46.9
19141201 19141231    40.8
19150101 19150131     3.8
19150201 19150228    48.3
19150301 19150331    36.7
19150401 19150430    61.1
19150501 19150531    62.3
19150601 19150630    33.0
19150701 19150731    19.6
19150801 19150831    43.8
19150901 19150930    18.9
19151001 19151031    67.3
19151101 19151130    38.6
19151201 19151231     2.4
19160101 19160131   104.4
19160201 19160229    54.6
19160301 19160331    10.0
19160401 19160430   124.5
19160501 19160531    15.7
19160601 19160630    44.6
19160701 19160731    63.6
19160801 19160831    72.6
19160901 19160930    29.7
19161001 19161031    64.5
19161101 19161130   147.8
19161201 19161231   149.8
19170101 19170131    27.2
19170201 19170228    40.2
19170301 19170331    70.1
19170401 19170430    91.8
19170501 19170531    61.6
19170601 19170630    85.5
19170701 19170731    44.6
19170801 19170831    28.5
19170901 19170930   124.0
19171001 19171031    52.5
19171101 19171130    53.3
19171201 19171231    23.1
19180101 19180131    14.7
19180201 19180228    55.6
19180301 19180331    43.6
19180401 19180430    57.3
19180501 19180531    52.0
19180601 19180630    25.5
19180701 19180731    56.4
19180801 19180831    50.0
19180901 19180930    49.4
19181001 19181031    70.3
19181101 19181130    23.4
19181201 19181231    45.2
19190101 19190131    45.8
19190201 19190228    42.7
19190301 19190331   115.2
19190401 19190430    18.6
19190501 19190531    11.8
19190601 19190630    52.9
19190701 19190731    48.9
19190801 19190831    25.5
19190901 19190930    11.2
19191001 19191031    27.5
19191101 19191130     6.9
19191201 19191231    28.5
19200101 19200131    25.0
19200201 19200229     6.4
19200301 19200331    44.9
19200401 19200430    33.3
19200501 19200531    49.9
19200601 19200630    88.2
19200701 19200731    17.4
19200801 19200831    45.2
19200901 19200930    67.6
19201001 19201031    18.1
19201101 19201130    22.3
19201201 19201231    50.9
19210101 19210131    55.9
19210201 19210228    35.3
19210301 19210331    31.9
19210401 19210430    25.6
19210501 19210531    25.2
19210601 19210630    24.7
19210701 19210731    65.4
19210801 19210831    63.7
19210901 19210930    17.5
19211001 19211031    24.2
19211101 19211130    14.3
19211201 19211231    21.9
19220101 19220131    39.0
19220201 19220228    86.9
19220301 19220331    12.9
19220401 19220430    37.4
19220501 19220531    15.8
19220601 19220630    49.4
19220701 19220731   111.3
19220801 19220831    51.7
19220901 19220930    13.0
19221001 19221031    70.8
19221101 19221130    10.1
19221201 19221231   136.7
19230101 19230131    60.5
19230201 19230228    18.5
19230301 19230331    61.0
19230401 19230430     1.4
19230501 19230531    82.0
19230601 19230630    91.7
19230701 19230731    40.9
19230801 19230831    38.6
19230901 19230930    60.7
19231001 19231031    56.6
19231101 19231130   160.7
19231201 19231231    39.7
19240101 19240131   113.6
19240201 19240229    79.3
19240301 19240331    50.7
19240401 19240430    62.3
19240501 19240531    14.8
19240601 19240630    80.7
19240701 19240731    12.5
19240801 19240831    63.0
19240901 19240930    37.6
19241001 19241031    60.1
19241101 19241130    76.9
19241201 19241231    13.6
19250101 19250131    59.7
19250201 19250228    20.9
19250301 19250331    49.2
19250401 19250430    55.4
19250501 19250531    60.5
19250601 19250630    35.4
19250701 19250731    58.2
19250801 19250831    37.8
19250901 19250930    15.7
19251001 19251031    37.2
19251101 19251130    16.0
19251201 19251231    28.5
19260101 19260131    36.6
19260201 19260228    27.0
19260301 19260331    10.2
19260401 19260430    59.0
19260501 19260531    66.6
19260601 19260630    99.4
19260701 19260731    55.6
19260801 19260831    27.7
19260901 19260930    42.4
19261001 19261031    82.3
19261101 19261130    17.3
19261201 19261231    43.8
19270101 19270131    19.1
19270201 19270228    43.0
19270301 19270331    29.9
19270401 19270430    13.3
19270501 19270531    55.0
19270601 19270630    25.2
19270701 19270731    30.2
19270801 19270831    30.2
19270901 19270930    26.9
19271001 19271031    48.8
19271101 19271130    20.8
19271201 19271231    60.1
19280101 19280131   100.8
19280201 19280229    36.6
19280301 19280331    16.2
19280401 19280430    72.4
19280501 19280531    37.3
19280601 19280630    45.1
19280701 19280731    21.0
19280801 19280831    21.7
19280901 19280930    50.7
19281001 19281031    56.6
19281101 19281130    34.0
19281201 19281231    53.5
19290101 19290131    51.4
19290201 19290228    39.9
19290301 19290331    14.9
19290401 19290430   131.5
19290501 19290531    74.1
19290601 19290630    38.6
19290701 19290731    35.9
19290801 19290831    11.7
19290901 19290930    30.2
