PRCP       094061 18880101 20180131 missing_value=99999.9 SANDFORD (MAYDENA)                        
19830901 19830930    78.6
19831001 19831031    40.4
19831101 19831130    38.6
19831201 19831231    20.6
19840101 19840131     9.0
19840201 19840229    14.8
19840301 19840331    32.4
19840401 19840430    17.8
19840501 19840531    20.2
19840601 19840630    18.2
19840701 19840731    53.6
19840801 19840831   120.2
19840901 19840930    97.6
19841001 19841031    57.4
19841101 19841130    51.2
19841201 19841231    82.4
19850101 19850131    48.4
19850201 19850228    40.4
19850301 19850331    37.0
19850401 19850430    96.6
19850501 19850531    46.6
19850601 19850630    30.0
19850701 19850731    28.8
19850801 19850831    37.8
19850901 19850930    58.0
19851001 19851031    39.8
19851101 19851130    49.8
19851201 19851231   159.0
19860101 19860131   103.0
19860201 19860228    10.4
19860301 19860331    31.6
19860401 19860430    44.2
19860501 19860531    91.6
19860601 19860630    23.6
19860701 19860731    74.4
19860801 19860831    49.2
19860901 19860930    19.0
19861001 19861031    62.2
19861101 19861130    26.0
19861201 19861231    86.0
19870101 19870131    55.0
19870201 19870228    16.0
19870301 19870331    31.0
19870401 19870430    26.0
19870501 19870531    41.2
19870601 19870630    30.6
19870701 19870731    37.0
19870801 19870831    19.2
19870901 19870930    41.8
19871001 19871031    51.8
19871101 19871130    57.8
19871201 19871231    69.8
19880101 19880131    36.6
19880201 19880229    10.0
19880301 19880331    20.2
19880401 19880430    15.4
19880501 19880531    38.8
19880601 19880630    60.4
19880701 19880731    38.4
19880801 19880831    52.4
19880901 19880930    44.6
19881001 19881031    62.2
19881101 19881130    74.6
19881201 19881231    30.4
19890101 19890131    56.4
19890201 19890228    15.0
19890301 19890331    56.2
19890401 19890430    27.2
19890501 19890531    31.2
19890601 19890630    39.2
19890701 19890731    51.2
19890801 19890831    38.8
19890901 19890930    23.2
19891001 19891031    97.6
19891101 19891130    22.2
19891201 19891231    23.4
19900101 19900131    20.4
19900201 19900228    48.4
19900301 19900331    21.8
19900401 19900430    34.8
19900501 19900531    21.0
19900601 19900630    24.0
19900701 19900731   101.6
19900801 19900831    63.6
19900901 19900930    34.6
19901001 19901031    39.6
19901101 19901130    33.6
19901201 19901231    35.0
19910101 19910131    57.2
19910201 19910228    14.6
19910301 19910331    38.6
19910401 19910430    26.8
19910501 19910531     5.6
19910601 19910630    42.0
19910701 19910731    27.4
19910801 19910831    70.8
19910901 19910930    47.4
19911001 19911031    47.4
19911101 19911130    52.8
19911201 19911231    79.0
19920101 19920131    26.4
19920201 19920229    28.8
19920301 19920331     2.6
19920401 19920430    58.4
19920501 19920531    25.0
19920601 19920630    23.6
19920701 19920731    74.0
19920801 19920831    43.2
19920901 19920930    62.2
19921001 19921031    34.2
19921101 19921130    45.8
19921201 19921231    31.0
19930101 19930131    32.8
19930201 19930228    80.0
19930301 19930331    40.0
19930401 19930430     8.0
19930501 19930531    27.4
19930601 19930630    31.4
19930701 19930731    20.2
19930801 19930831    20.0
19930901 19930930    32.0
19931001 19931031    36.2
19931101 19931130    67.4
19931201 19931231   145.2
19940101 19940131     8.4
19940201 19940228    17.2
19940301 19940331    19.0
19940401 19940430    54.6
19940501 19940531    34.0
19940601 19940630    19.6
19940701 19940731    22.4
19940801 19940831    77.0
19940901 19940930    47.2
19941001 19941031    40.0
19941101 19941130    27.0
19941201 19941231     1.6
19950101 19950131    78.0
19950201 19950228    25.4
19950301 19950331     7.6
19950401 19950430   104.8
19950501 19950531     7.8
19950601 19950630    56.6
19950701 19950731    69.2
19950801 19950831    61.2
19950901 19950930    29.2
19951001 19951031    39.0
19951101 19951130    46.2
19951201 19951231    88.0
19960101 19960131   110.8
19960201 19960229    87.4
19960301 19960331    49.6
19960401 19960430   141.2
19960501 19960531    12.8
19960601 19960630    19.4
19960701 19960731    37.6
19960801 19960831    22.2
19960901 19960930    59.8
19961001 19961031    32.6
19961101 19961130    52.1
19961201 19961231    21.2
19970101 19970131   112.4
19970201 19970228    37.0
19970301 19970331 99999.9
19970401 19970430    26.0
19970501 19970531    23.6
19970601 19970630    18.4
19970701 19970731    21.0
19970801 19970831    65.2
19970901 19970930    45.0
19971001 19971031    34.0
19971101 19971130    41.4
19971201 19971231    15.8
19980101 19980131    29.0
19980201 19980228 99999.9
19980301 19980331     7.4
19980401 19980430    47.6
19980501 19980531    26.8
19980601 19980630    72.4
19980701 19980731    40.0
19980801 19980831    18.6
19980901 19980930    40.8
19981001 19981031    52.4
19981101 19981130    47.6
19981201 19981231    94.8
19990101 19990131    10.4
19990201 19990228   108.0
19990301 19990331    69.8
19990401 19990430    41.4
19990501 19990531    29.4
19990601 19990630    14.8
19990701 19990731    43.6
19990801 19990831    15.4
19990901 19990930    13.2
19991001 19991031    42.0
19991101 19991130    40.0
19991201 19991231    35.8
20000101 20000131    61.4
20000201 20000229    20.4
20000301 20000331    20.6
20000401 20000430    11.4
20000501 20000531    40.2
20000601 20000630    24.6
20000701 20000731    94.2
20000801 20000831    45.2
20000901 20000930    18.0
20001001 20001031    55.0
20001101 20001130    35.6
20001201 20001231    19.6
20010101 20010131 99999.9
20010201 20010228     3.8
20010301 20010331    43.0
20010401 20010430    67.0
20010501 20010531    25.0
20010601 20010630    60.6
20010701 20010731    22.4
20010801 20010831    54.6
20010901 20010930    36.0
20011001 20011031    93.2
20011101 20011130   117.0
20011201 20011231    45.0
20020101 20020131 99999.9
20020201 20020228    26.8
20020301 20020331    19.4
20020401 20020430    14.0
20020501 20020531    31.2
20020601 20020630    50.8
20020701 20020731    17.0
20020801 20020831    56.6
20020901 20020930    30.6
20021001 20021031    42.0
20021101 20021130     9.8
20021201 20021231     8.4
20030101 20030131    20.6
20030201 20030228    12.0
20030301 20030331   171.4
20030401 20030430    42.6
20030501 20030531    39.4
20030601 20030630    31.2
20030701 20030731    32.8
20030801 20030831    83.6
20030901 20030930    53.4
20031001 20031031    17.4
20031101 20031130     5.0
20031201 20031231    31.8
20040101 20040131    52.4
20040201 20040229    19.8
20040301 20040331    26.8
20040401 20040430    49.0
20040501 20040531    32.4
20040601 20040630    63.0
20040701 20040731    36.0
20040801 20040831    64.0
20040901 20040930    22.2
20041001 20041031    25.0
20041101 20041130    76.2
20041201 20041231    22.0
20050101 20050131    42.6
20050201 20050228    73.6
20050301 20050331    24.4
20050401 20050430    33.0
20050501 20050531    28.6
20050601 20050630    26.0
20050701 20050731    24.6
20050801 20050831    39.4
20050901 20050930   109.6
20051001 20051031    52.8
20051101 20051130    45.8
20051201 20051231    90.0
20060101 20060131    31.8
20060201 20060228    16.2
20060301 20060331    16.8
20060401 20060430    36.8
20060501 20060531    27.8
20060601 20060630     7.2
20060701 20060731    42.6
20060801 20060831     8.4
20060901 20060930    28.0
20061001 20061031    36.6
20061101 20061130    20.8
20061201 20061231    41.0
20070101 20070131   106.8
20070201 20070228    34.2
20070301 20070331    24.0
20070401 20070430    21.0
20070501 20070531    12.6
20070601 20070630    36.0
20070701 20070731    43.8
20070801 20070831    30.6
20070901 20070930    53.2
20071001 20071031    28.0
20071101 20071130     1.8
20071201 20071231    78.6
20080101 20080131     3.2
20080201 20080229    72.8
20080301 20080331    39.2
20080401 20080430    13.4
20080501 20080531    14.0
20080601 20080630    18.4
20080701 20080731    34.2
20080801 20080831    40.6
20080901 20080930    24.4
20081001 20081031    21.0
20081101 20081130    63.2
20081201 20081231    24.8
20090101 20090131     9.8
20090201 20090228    33.8
20090301 20090331    63.4
20090401 20090430 99999.9
20090501 20090531    38.6
20090601 20090630   146.0
20090701 20090731    58.4
20090801 20090831    68.2
20090901 20090930   107.8
20091001 20091031    49.2
20091101 20091130    63.8
20091201 20091231    50.2
20100101 20100131    16.6
20100201 20100228    37.0
20100301 20100331    19.6
20100401 20100430    24.0
20100501 20100531    29.0
20100601 20100630    10.0
20100701 20100731     7.0
20100801 20100831    62.8
20100901 20100930    67.8
20101001 20101031    44.0
20101101 20101130    93.4
20101201 20101231    30.8
20110101 20110131    52.6
20110201 20110228    49.0
20110301 20110331    30.0
20110401 20110430    80.0
20110501 20110531    36.2
20110601 20110630    79.8
20110701 20110731    26.8
20110801 20110831    37.8
20110901 20110930    36.8
20111001 20111031    41.6
20111101 20111130    56.6
20111201 20111231    59.4
20120101 20120131    65.8
20120201 20120229    17.6
20120301 20120331    21.6
20120401 20120430    26.8
20120501 20120531   106.2
20120601 20120630    32.2
20120701 20120731    26.2
20120801 20120831    45.6
20120901 20120930    48.0
20121001 20121031    35.8
20121101 20121130    31.2
20121201 20121231    31.8
20130101 20130131    17.4
20130201 20130228    21.2
20130301 20130331    52.8
20130401 20130430    25.4
20130501 20130531    38.0
20130601 20130630    35.6
20130701 20130731    89.8
20130801 20130831    41.6
20130901 20130930    51.2
20131001 20131031    68.6
20131101 20131130    83.6
20131201 20131231    21.4
20140101 20140131    11.0
20140201 20140228    33.6
20140301 20140331    23.0
20140401 20140430    32.6
20140501 20140531    48.0
20140601 20140630    28.6
20140701 20140731    75.0
20140801 20140831    42.0
20140901 20140930    29.2
20141001 20141031    30.8
20141101 20141130    35.0
20141201 20141231    70.4
20150101 20150131   118.6
20150201 20150228    19.2
20150301 20150331 99999.9
20150401 20150430    21.0
20150501 20150531    39.4
20150601 20150630    30.2
20150701 20150731    19.0
20150801 20150831    48.0
20150901 20150930    22.2
20151001 20151031    14.6
20151101 20151130    34.8
20151201 20151231    25.4
20160101 20160131    49.0
20160201 20160229    28.4
20160301 20160331    19.2
20160401 20160430     7.2
20160501 20160531    82.6
20160601 20160630    86.4
20160701 20160731    41.8
20160801 20160831    19.8
20160901 20160930    64.6
20161001 20161031    75.2
20161101 20161130    42.0
20161201 20161231    44.4
20170101 20170131    53.4
20170201 20170228    11.4
20170301 20170331    22.8
20170401 20170430    22.4
20170501 20170531    54.4
20170601 20170630     9.6
20170701 20170731    42.6
20170801 20170831    39.6
20170901 20170930    32.8
20171001 20171031 99999.9
20171101 20171130    48.8
20171201 20171231   107.2
20180101 20180131    21.8
