PRCP       039040 19100101 20171231 missing_value=99999.9 GIN GIN POST OFFICE                       
20060501 20060531    10.0
20060601 20060630   103.2
20060701 20060731    75.2
20060801 20060831    23.6
20060901 20060930    27.8
20061001 20061031     2.0
20061101 20061130    54.4
20061201 20061231   107.4
20070101 20070131    21.8
20070201 20070228   200.6
20070301 20070331    22.8
20070401 20070430    43.8
20070501 20070531    22.7
20070601 20070630   134.4
20070701 20070731     0.8
20070801 20070831   114.0
20070901 20070930    74.0
20071001 20071031    63.0
20071101 20071130    82.7
20071201 20071231    75.8
20080101 20080131   150.8
20080201 20080229   304.4
20080301 20080331    60.8
20080401 20080430    15.4
20080501 20080531    93.6
20080601 20080630    35.0
20080701 20080731   116.8
20080801 20080831     0.0
20080901 20080930    23.2
20081001 20081031    69.6
20081101 20081130    51.6
20081201 20081231   101.8
20090101 20090131   177.4
20090201 20090228   133.9
20090301 20090331    40.0
20090401 20090430   104.0
20090501 20090531    59.6
20090601 20090630    44.4
20090701 20090731     0.4
20090801 20090831     4.6
20090901 20090930    22.2
20091001 20091031     1.8
20091101 20091130    28.2
20091201 20091231   201.6
20100101 20100131   112.0
20100201 20100228   250.0
20100301 20100331   309.6
20100401 20100430    43.2
20100501 20100531    22.0
20100601 20100630    12.8
20100701 20100731    26.6
20100801 20100831   108.2
20100901 20100930   197.8
20101001 20101031    40.0
20101101 20101130    83.8
20101201 20101231   805.1
20110101 20110131   125.6
20110201 20110228    90.6
20110301 20110331   243.4
20110401 20110430    89.8
20110501 20110531    82.0
20110601 20110630    21.0
20110701 20110731    12.6
20110801 20110831    79.2
20110901 20110930    24.0
20111001 20111031    46.7
20111101 20111130     0.0
20111201 20111231   188.4
20120101 20120131   272.0
20120201 20120229   103.4
20120301 20120331   246.0
20120401 20120430    25.4
20120501 20120531    15.0
20120601 20120630    95.4
20120701 20120731    72.4
20120801 20120831     9.4
20120901 20120930    14.4
20121001 20121031    28.6
20121101 20121130    88.6
20121201 20121231   118.2
20130101 20130131   528.4
20130201 20130228   176.2
20130301 20130331   180.3
20130401 20130430    60.4
20130501 20130531    61.6
20130601 20130630    34.6
20130701 20130731    19.0
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031    22.0
20131101 20131130    51.8
20131201 20131231    47.2
20140101 20140131    22.6
20140201 20140228    43.6
20140301 20140331   172.4
20140401 20140430    50.2
20140501 20140531    56.8
20140601 20140630    10.2
20140701 20140731    11.6
20140801 20140831    79.4
20140901 20140930    24.6
20141001 20141031    18.0
20141101 20141130    81.0
20141201 20141231   168.2
20150101 20150131   198.4
20150201 20150228   115.0
20150301 20150331    20.6
20150401 20150430    62.6
20150501 20150531    57.8
20150601 20150630    46.4
20150701 20150731     6.6
20150801 20150831    47.0
20150901 20150930    30.0
20151001 20151031    83.8
20151101 20151130    81.9
20151201 20151231    33.6
20160101 20160131   174.9
20160201 20160229   158.8
20160301 20160331    92.8
20160401 20160430    38.4
20160501 20160531    15.8
20160601 20160630   149.0
20160701 20160731    51.6
20160801 20160831    41.6
20160901 20160930    59.2
20161001 20161031    31.8
20161101 20161130   133.6
20161201 20161231    76.4
20170101 20170131    46.4
20170201 20170228    26.4
20170301 20170331   478.9
20170401 20170430    12.8
20170501 20170531    55.2
20170601 20170630     2.2
20170701 20170731    10.8
20170801 20170831     8.8
20170901 20170930     0.0
20171001 20171031   531.6
20171101 20171130   112.2
20171201 20171231    92.8
