PRCP       039040 19100101 20171231 missing_value=99999.9 GIN GIN POST OFFICE                       
19311201 19311231   192.7
19320101 19320131    21.3
19320201 19320229    33.0
19320301 19320331    23.4
19320401 19320430    46.1
19320501 19320531    38.1
19320601 19320630    11.7
19320701 19320731     5.3
19320801 19320831     3.3
19320901 19320930    36.1
19321001 19321031   135.9
19321101 19321130    31.0
19321201 19321231    75.3
19330101 19330131   177.6
19330201 19330228    81.1
19330301 19330331     3.5
19330401 19330430    67.7
19330501 19330531     5.5
19330601 19330630    50.9
19330701 19330731   143.1
19330801 19330831    48.6
19330901 19330930    99.1
19331001 19331031   277.1
19331101 19331130   196.3
19331201 19331231   220.0
19340101 19340131    24.0
19340201 19340228   368.8
19340301 19340331    32.4
19340401 19340430   191.7
19340501 19340531    65.5
19340601 19340630    84.5
19340701 19340731    39.2
19340801 19340831    66.5
19340901 19340930    32.8
19341001 19341031    49.1
19341101 19341130   163.7
19341201 19341231   137.8
19350101 19350131    66.3
19350201 19350228    95.8
19350301 19350331    31.1
19350401 19350430    40.6
19350501 19350531    60.5
19350601 19350630     4.9
19350701 19350731   108.6
19350801 19350831    19.9
19350901 19350930    91.4
19351001 19351031    60.4
19351101 19351130    17.8
19351201 19351231   144.0
19360101 19360131   122.3
19360201 19360229    30.1
19360301 19360331   166.1
19360401 19360430    20.6
19360501 19360531    68.6
19360601 19360630   101.8
19360701 19360731    31.0
19360801 19360831     0.0
19360901 19360930    12.4
19361001 19361031    35.1
19361101 19361130    55.2
19361201 19361231   102.7
19370101 19370131    74.2
19370201 19370228    89.5
19370301 19370331   377.6
19370401 19370430    18.9
19370501 19370531     3.1
19370601 19370630    28.0
19370701 19370731    41.6
19370801 19370831    26.7
19370901 19370930     1.5
19371001 19371031   120.2
19371101 19371130    50.7
19371201 19371231    73.8
19380101 19380131   210.9
19380201 19380228    37.1
19380301 19380331   185.9
19380401 19380430    59.0
19380501 19380531   187.8
19380601 19380630    51.8
19380701 19380731    68.1
19380801 19380831    42.7
19380901 19380930     3.8
19381001 19381031    71.3
19381101 19381130   167.5
19381201 19381231    32.7
19390101 19390131   377.2
19390201 19390228    48.3
19390301 19390331   244.7
19390401 19390430   105.0
19390501 19390531    16.4
19390601 19390630   155.2
19390701 19390731    56.2
19390801 19390831    53.4
19390901 19390930     0.0
19391001 19391031    84.4
19391101 19391130    90.8
19391201 19391231    99.2
19400101 19400131    48.3
19400201 19400229   212.8
19400301 19400331   150.0
19400401 19400430    60.3
19400501 19400531     9.3
19400601 19400630    12.2
19400701 19400731    31.8
19400801 19400831    19.0
19400901 19400930     8.1
19401001 19401031     8.4
19401101 19401130    32.8
19401201 19401231    99.6
19410101 19410131   189.5
19410201 19410228    96.5
19410301 19410331   151.2
19410401 19410430    50.0
19410501 19410531    93.2
19410601 19410630    76.2
19410701 19410731     1.3
19410801 19410831     5.9
19410901 19410930    10.2
19411001 19411031    47.9
19411101 19411130    33.7
19411201 19411231    10.6
19420101 19420131   274.8
19420201 19420228   269.2
19420301 19420331    11.5
19420401 19420430   101.8
19420501 19420531    67.1
19420601 19420630    22.7
19420701 19420731    54.2
19420801 19420831     0.8
19420901 19420930    28.2
19421001 19421031    75.7
19421101 19421130    77.7
19421201 19421231   372.5
19430101 19430131   228.5
19430201 19430228   171.2
19430301 19430331    37.1
19430401 19430430    22.9
19430501 19430531    73.2
19430601 19430630    59.5
19430701 19430731     1.8
19430801 19430831    27.7
19430901 19430930    34.4
19431001 19431031   213.9
19431101 19431130    69.4
19431201 19431231   173.7
19440101 19440131   151.3
19440201 19440229   113.3
19440301 19440331    45.5
19440401 19440430    46.6
19440501 19440531    43.6
19440601 19440630    17.3
19440701 19440731    59.2
19440801 19440831    42.4
19440901 19440930    14.6
19441001 19441031    27.2
19441101 19441130    38.3
19441201 19441231    90.5
19450101 19450131   182.5
19450201 19450228   186.9
19450301 19450331    30.6
19450401 19450430    41.4
19450501 19450531    48.7
19450601 19450630    47.9
19450701 19450731    94.0
19450801 19450831     0.0
19450901 19450930    42.4
19451001 19451031    97.2
19451101 19451130    51.4
19451201 19451231    98.7
19460101 19460131   159.6
19460201 19460228    23.0
19460301 19460331    81.4
19460401 19460430    60.5
19460501 19460531    16.2
19460601 19460630     2.0
19460701 19460731     5.9
19460801 19460831     1.3
19460901 19460930    15.8
19461001 19461031    63.7
19461101 19461130    67.4
19461201 19461231    47.0
19470101 19470131   119.6
19470201 19470228   560.6
19470301 19470331   386.5
19470401 19470430    78.0
19470501 19470531    21.1
19470601 19470630     5.3
19470701 19470731     7.6
19470801 19470831    33.3
19470901 19470930   123.0
19471001 19471031    28.6
19471101 19471130   156.8
19471201 19471231   106.4
19480101 19480131    33.5
19480201 19480229   158.9
19480301 19480331   245.6
19480401 19480430   113.7
19480501 19480531   149.1
19480601 19480630   140.7
19480701 19480731    61.5
19480801 19480831     3.3
19480901 19480930    53.2
19481001 19481031    26.1
19481101 19481130    38.8
19481201 19481231   137.1
19490101 19490131    99.5
19490201 19490228   292.9
19490301 19490331   347.0
19490401 19490430    33.8
19490501 19490531    18.6
19490601 19490630    66.2
19490701 19490731    30.2
19490801 19490831     7.3
19490901 19490930    73.7
19491001 19491031   140.6
19491101 19491130   125.2
19491201 19491231    79.2
19500101 19500131   121.7
19500201 19500228   543.7
19500301 19500331   130.9
19500401 19500430   109.4
19500501 19500531    56.1
19500601 19500630   126.1
19500701 19500731   199.3
19500801 19500831    37.7
19500901 19500930     4.8
19501001 19501031    78.7
19501101 19501130   254.2
19501201 19501231    72.6
19510101 19510131   201.7
19510201 19510228    89.9
19510301 19510331    39.9
19510401 19510430    21.8
19510501 19510531     9.1
19510601 19510630    14.2
19510701 19510731     9.4
19510801 19510831    19.1
19510901 19510930    24.9
19511001 19511031    42.1
19511101 19511130    16.5
19511201 19511231    58.2
19520101 19520131   166.0
19520201 19520229    39.6
19520301 19520331   252.0
19520401 19520430    91.2
19520501 19520531   138.8
19520601 19520630    69.8
19520701 19520731    35.1
19520801 19520831    34.5
19520901 19520930    48.5
19521001 19521031    76.6
19521101 19521130   140.4
19521201 19521231    70.6
19530101 19530131   152.1
19530201 19530228   204.5
19530301 19530331   247.8
19530401 19530430   116.3
19530501 19530531    43.6
19530601 19530630    12.4
19530701 19530731     5.6
19530801 19530831   134.1
19530901 19530930     3.0
19531001 19531031   134.8
19531101 19531130   136.4
19531201 19531231    52.3
19540101 19540131   159.8
19540201 19540228   399.0
19540301 19540331    30.9
19540401 19540430    17.4
19540501 19540531    25.2
19540601 19540630    23.3
19540701 19540731   384.1
19540801 19540831    64.0
19540901 19540930    74.1
19541001 19541031    54.4
19541101 19541130    72.9
19541201 19541231    48.4
19550101 19550131    84.8
19550201 19550228   218.3
19550301 19550331   256.6
19550401 19550430   274.5
19550501 19550531   213.2
19550601 19550630    13.5
19550701 19550731    55.7
19550801 19550831     5.6
19550901 19550930    43.5
19551001 19551031   110.9
19551101 19551130    29.0
19551201 19551231   112.4
19560101 19560131   170.6
19560201 19560229   328.2
19560301 19560331   341.6
19560401 19560430   106.0
19560501 19560531    98.6
19560601 19560630   153.4
19560701 19560731    42.2
19560801 19560831     0.0
19560901 19560930    19.3
19561001 19561031    83.5
19561101 19561130    97.8
19561201 19561231   368.4
19570101 19570131    42.9
19570201 19570228    85.4
19570301 19570331    34.5
19570401 19570430    16.5
19570501 19570531     2.5
19570601 19570630    23.5
19570701 19570731    48.2
19570801 19570831    39.9
19570901 19570930     0.0
19571001 19571031    20.3
19571101 19571130    63.3
19571201 19571231    37.3
19580101 19580131   124.6
19580201 19580228   309.0
19580301 19580331    69.8
19580401 19580430   150.5
19580501 19580531    13.7
19580601 19580630   180.6
19580701 19580731     3.5
19580801 19580831    15.0
19580901 19580930    30.9
19581001 19581031    39.3
19581101 19581130    20.8
19581201 19581231   150.4
19590101 19590131   325.3
19590201 19590228   150.1
19590301 19590331   149.3
19590401 19590430    47.8
19590501 19590531    66.3
19590601 19590630     3.8
19590701 19590731    60.3
19590801 19590831    17.8
19590901 19590930    41.7
19591001 19591031    69.7
19591101 19591130    94.6
19591201 19591231   106.1
19600101 19600131   128.2
19600201 19600229   105.3
19600301 19600331    16.0
19600401 19600430    15.3
19600501 19600531    49.6
19600601 19600630     3.1
19600701 19600731    20.8
19600801 19600831    25.9
19600901 19600930     2.6
19601001 19601031   105.7
19601101 19601130    43.2
19601201 19601231    74.1
19610101 19610131   133.8
19610201 19610228   161.2
19610301 19610331   111.5
19610401 19610430    36.1
19610501 19610531    29.4
19610601 19610630    18.5
19610701 19610731    28.2
19610801 19610831    22.6
19610901 19610930    15.5
19611001 19611031   155.2
19611101 19611130   159.7
19611201 19611231   108.8
19620101 19620131   191.3
19620201 19620228   131.4
19620301 19620331   193.9
19620401 19620430   101.6
19620501 19620531    53.3
19620601 19620630    22.9
19620701 19620731    50.7
19620801 19620831    16.8
19620901 19620930    56.9
19621001 19621031    10.2
19621101 19621130    36.6
19621201 19621231   260.2
19630101 19630131   181.1
19630201 19630228    47.0
19630301 19630331   285.5
19630401 19630430    36.1
19630501 19630531    24.4
19630601 19630630    40.7
19630701 19630731     1.8
19630801 19630831    36.7
19630901 19630930     2.8
19631001 19631031    17.8
19631101 19631130    63.7
19631201 19631231    92.3
19640101 19640131   194.5
19640201 19640229    95.5
19640301 19640331    91.2
19640401 19640430    39.2
19640501 19640531    53.1
19640601 19640630    29.0
19640701 19640731    87.4
19640801 19640831    48.3
19640901 19640930   113.8
19641001 19641031    38.8
19641101 19641130    73.8
19641201 19641231    62.0
19650101 19650131    94.3
19650201 19650228   136.9
19650301 19650331    20.9
19650401 19650430    97.6
19650501 19650531    45.2
19650601 19650630    48.6
19650701 19650731     1.5
19650801 19650831    26.4
19650901 19650930    52.3
19651001 19651031   129.0
19651101 19651130    36.0
19651201 19651231    97.1
19660101 19660131   111.0
19660201 19660228   240.7
19660301 19660331   145.1
19660401 19660430    33.5
19660501 19660531    19.5
19660601 19660630   114.0
19660701 19660731    40.6
19660801 19660831    97.8
19660901 19660930    13.5
19661001 19661031   101.0
19661101 19661130    30.4
19661201 19661231   115.3
19670101 19670131   335.6
19670201 19670228    73.8
19670301 19670331    62.1
19670401 19670430    18.9
19670501 19670531    69.4
19670601 19670630   237.5
19670701 19670731    51.4
19670801 19670831    25.0
19670901 19670930     2.3
19671001 19671031    70.2
19671101 19671130   137.4
19671201 19671231   139.2
19680101 19680131   697.3
19680201 19680229   123.4
19680301 19680331   172.3
19680401 19680430   121.7
19680501 19680531    72.9
19680601 19680630     3.1
19680701 19680731    32.7
19680801 19680831    34.5
19680901 19680930     8.6
19681001 19681031    15.6
19681101 19681130   164.1
19681201 19681231   203.0
19690101 19690131    18.2
19690201 19690228    44.9
19690301 19690331    28.3
19690401 19690430    19.1
19690501 19690531    94.7
19690601 19690630    10.7
19690701 19690731    27.3
19690801 19690831    26.2
19690901 19690930     6.9
19691001 19691031   212.6
19691101 19691130   143.1
19691201 19691231    83.7
19700101 19700131   152.5
19700201 19700228   158.7
19700301 19700331    33.8
19700401 19700430    37.6
19700501 19700531     0.0
19700601 19700630    20.3
19700701 19700731     1.3
19700801 19700831    24.9
19700901 19700930    59.9
19701001 19701031    41.4
19701101 19701130    82.1
19701201 19701231   411.0
19710101 19710131   290.2
19710201 19710228   585.6
19710301 19710331    35.2
19710401 19710430    35.4
19710501 19710531    18.1
19710601 19710630    43.9
19710701 19710731    12.7
19710801 19710831    52.4
19710901 19710930    48.7
19711001 19711031    72.9
19711101 19711130    36.3
19711201 19711231   121.8
19720101 19720131    71.7
19720201 19720229   247.8
19720301 19720331   210.4
19720401 19720430   274.6
19720501 19720531    52.4
19720601 19720630    18.8
19720701 19720731     2.0
19720801 19720831    12.0
19720901 19720930     4.0
19721001 19721031    64.0
19721101 19721130   119.7
19721201 19721231    10.9
19730101 19730131   289.1
19730201 19730228   287.8
19730301 19730331    64.3
19730401 19730430    58.4
19730501 19730531    26.6
19730601 19730630    53.2
19730701 19730731   331.6
19730801 19730831    11.5
19730901 19730930   114.8
19731001 19731031    59.7
19731101 19731130   137.9
19731201 19731231   268.1
19740101 19740131   678.4
19740201 19740228    68.4
19740301 19740331    78.6
19740401 19740430   101.7
19740501 19740531    18.0
19740601 19740630     3.0
19740701 19740731     0.0
19740801 19740831     7.7
19740901 19740930    88.2
19741001 19741031    65.3
19741101 19741130   177.4
19741201 19741231    26.0
19750101 19750131    81.4
19750201 19750228    41.8
19750301 19750331    56.0
19750401 19750430   101.7
19750501 19750531     0.0
19750601 19750630    34.2
19750701 19750731    30.0
19750801 19750831    40.8
19750901 19750930    28.2
19751001 19751031    74.4
19751101 19751130   141.8
19751201 19751231   154.0
19760101 19760131   167.2
19760201 19760229   111.3
19760301 19760331   353.7
19760401 19760430    50.0
19760501 19760531    31.6
19760601 19760630    23.6
19760701 19760731    54.4
19760801 19760831     4.0
19760901 19760930    79.4
19761001 19761031    29.6
19761101 19761130   156.8
19761201 19761231    94.0
19770101 19770131    42.0
19770201 19770228    77.0
19770301 19770331   255.2
19770401 19770430    61.0
19770501 19770531   127.0
19770601 19770630     2.0
19770701 19770731    16.6
19770801 19770831     0.0
19770901 19770930     2.4
19771001 19771031    18.3
19771101 19771130    59.5
19771201 19771231    65.0
19780101 19780131   154.6
19780201 19780228    68.0
19780301 19780331   130.1
19780401 19780430     0.0
19780501 19780531    73.4
19780601 19780630    62.8
19780701 19780731   123.4
19780801 19780831    64.2
19780901 19780930    42.3
19781001 19781031     6.6
19781101 19781130   212.8
19781201 19781231   213.2
19790101 19790131    88.0
19790201 19790228    62.8
19790301 19790331    60.0
19790401 19790430    36.6
19790501 19790531    28.0
19790601 19790630    36.6
19790701 19790731     8.2
19790801 19790831     5.4
19790901 19790930     0.0
19791001 19791031   185.4
19791101 19791130    52.0
19791201 19791231    68.8
19800101 19800131   249.6
19800201 19800229    93.7
19800301 19800331    19.5
19800401 19800430     2.0
19800501 19800531    96.0
19800601 19800630     6.4
19800701 19800731    28.8
19800801 19800831    16.4
19800901 19800930     0.0
19801001 19801031    69.0
19801101 19801130    41.4
19801201 19801231   180.8
19810101 19810131   241.0
19810201 19810228   333.6
19810301 19810331    64.8
19810401 19810430    58.0
19810501 19810531    98.6
19810601 19810630    24.0
19810701 19810731    35.4
19810801 19810831    10.6
19810901 19810930    28.1
19811001 19811031    32.4
19811101 19811130   255.8
19811201 19811231   113.0
19820101 19820131   212.4
19820201 19820228    78.8
19820301 19820331   251.0
19820401 19820430    35.7
19820501 19820531    73.4
19820601 19820630     0.0
19820701 19820731    11.6
19820801 19820831    18.6
19820901 19820930    27.6
19821001 19821031    30.6
19821101 19821130     5.2
19821201 19821231    98.2
19830101 19830131   110.6
19830201 19830228    20.2
19830301 19830331   172.4
19830401 19830430   199.8
19830501 19830531   335.0
19830601 19830630    64.2
19830701 19830731    24.0
19830801 19830831    31.0
19830901 19830930     9.4
19831001 19831031   108.4
19831101 19831130   158.0
19831201 19831231    47.8
19840101 19840131   236.0
19840201 19840229    64.8
19840301 19840331    23.4
19840401 19840430    59.8
19840501 19840531     9.0
19840601 19840630    26.4
19840701 19840731   128.3
19840801 19840831    31.4
19840901 19840930    77.8
19841001 19841031    75.1
19841101 19841130    64.2
19841201 19841231   109.2
19850101 19850131    86.5
19850201 19850228    76.2
19850301 19850331   115.8
19850401 19850430    22.2
19850501 19850531    21.8
19850601 19850630   184.0
19850701 19850731    32.6
19850801 19850831    19.6
19850901 19850930    53.0
19851001 19851031    61.8
19851101 19851130    65.2
19851201 19851231   133.0
19860101 19860131   145.0
19860201 19860228   178.0
19860301 19860331     7.0
19860401 19860430    41.0
19860501 19860531    87.6
19860601 19860630    11.0
19860701 19860731    27.6
19860801 19860831    61.9
19860901 19860930    11.2
19861001 19861031   194.2
19861101 19861130   107.6
19861201 19861231   152.2
19870101 19870131    91.2
19870201 19870228    77.8
19870301 19870331    71.5
19870401 19870430    37.0
19870501 19870531    78.0
19870601 19870630    18.6
19870701 19870731    67.6
19870801 19870831    13.4
19870901 19870930    12.2
19871001 19871031   198.5
19871101 19871130   173.2
19871201 19871231    51.5
19880101 19880131    22.2
19880201 19880229    63.0
19880301 19880331    57.1
19880401 19880430   161.4
19880501 19880531    32.8
19880601 19880630    65.7
19880701 19880731   157.7
19880801 19880831    82.0
19880901 19880930    25.6
19881001 19881031    33.8
19881101 19881130    42.4
19881201 19881231   274.6
19890101 19890131    40.0
19890201 19890228   110.4
19890301 19890331   189.8
19890401 19890430   193.6
19890501 19890531   166.7
19890601 19890630    45.8
