PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19251201 19251231    27.2
19260101 19260131    27.8
19260201 19260228    11.4
19260301 19260331   153.7
19260401 19260430    92.1
19260501 19260531   135.5
19260601 19260630    76.3
19260701 19260731    72.0
19260801 19260831    14.7
19260901 19260930    37.8
19261001 19261031    10.4
19261101 19261130     3.5
19261201 19261231    85.9
19270101 19270131    54.4
19270201 19270228     3.3
19270301 19270331    38.0
19270401 19270430   469.2
19270501 19270531    25.4
19270601 19270630    24.1
19270701 19270731    10.2
19270801 19270831     0.5
19270901 19270930    34.9
19271001 19271031    67.5
19271101 19271130    82.8
19271201 19271231    37.8
19280101 19280131    52.3
19280201 19280229   227.6
19280301 19280331    71.4
19280401 19280430    46.2
19280501 19280531    57.8
19280601 19280630   200.8
19280701 19280731   176.6
19280801 19280831    11.2
19280901 19280930     1.8
19281001 19281031    31.5
19281101 19281130     9.4
19281201 19281231    15.2
19290101 19290131    12.5
19290201 19290228   345.3
19290301 19290331    70.6
19290401 19290430    95.0
19290501 19290531    83.3
19290601 19290630    32.5
19290701 19290731    46.6
19290801 19290831    71.6
19290901 19290930   112.1
19291001 19291031   119.3
19291101 19291130    67.1
19291201 19291231    60.0
19300101 19300131    37.1
19300201 19300228    17.0
19300301 19300331    59.3
19300401 19300430    70.4
19300501 19300531   118.2
19300601 19300630   260.7
19300701 19300731    56.4
19300801 19300831    11.6
19300901 19300930     1.0
19301001 19301031    45.9
19301101 19301130    31.2
19301201 19301231    86.1
19310101 19310131    33.0
19310201 19310228    36.5
19310301 19310331   105.6
19310401 19310430   234.2
19310501 19310531    81.0
19310601 19310630    22.2
19310701 19310731   156.2
19310801 19310831     5.8
19310901 19310930   108.1
19311001 19311031    38.9
19311101 19311130    90.0
19311201 19311231    91.2
19320101 19320131    16.8
19320201 19320229    68.4
19320301 19320331   133.8
19320401 19320430    51.7
19320501 19320531    20.2
19320601 19320630    11.7
19320701 19320731    52.3
19320801 19320831    63.5
19320901 19320930   195.0
19321001 19321031    29.1
19321101 19321130    89.0
19321201 19321231    48.8
19330101 19330131   352.0
19330201 19330228     2.6
19330301 19330331    71.9
19330401 19330430   151.7
19330501 19330531    81.6
19330601 19330630    37.6
19330701 19330731   121.4
19330801 19330831     7.1
19330901 19330930    86.7
19331001 19331031    34.0
19331101 19331130    80.3
19331201 19331231    88.6
19340101 19340131   101.2
19340201 19340228   261.7
19340301 19340331    29.0
19340401 19340430   105.7
19340501 19340531   134.4
19340601 19340630   103.6
19340701 19340731   170.7
19340801 19340831    73.2
19340901 19340930    87.2
19341001 19341031    57.7
19341101 19341130    74.5
