PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19990901 19990930    49.0
19991001 19991031   221.5
19991101 19991130    34.6
19991201 19991231   159.2
20000101 20000131    25.7
20000201 20000229    26.4
20000301 20000331   219.7
20000401 20000430    66.2
20000501 20000531    32.0
20000601 20000630    49.6
20000701 20000731    40.9
20000801 20000831    22.8
20000901 20000930    48.6
20001001 20001031    53.8
20001101 20001130   178.9
20001201 20001231    27.8
20010101 20010131 99999.9
20010201 20010228   162.7
20010301 20010331   163.0
20010401 20010430    52.8
20010501 20010531    46.2
20010601 20010630    13.1
20010701 20010731   128.3
20010801 20010831    50.8
20010901 20010930    24.8
20011001 20011031    50.1
20011101 20011130    57.9
20011201 20011231    38.3
20020101 20020131    53.2
20020201 20020228   279.6
20020301 20020331   100.5
20020401 20020430    33.1
20020501 20020531    50.6
20020601 20020630    18.5
20020701 20020731    39.7
20020801 20020831    16.7
20020901 20020930    11.0
20021001 20021031     2.7
20021101 20021130    11.4
20021201 20021231    48.9
20030101 20030131    44.7
20030201 20030228   129.9
20030301 20030331    74.7
20030401 20030430   114.9
20030501 20030531   257.7
20030601 20030630    53.2
20030701 20030731    24.6
20030801 20030831    38.4
20030901 20030930     6.0
20031001 20031031    63.3
20031101 20031130    65.8
20031201 20031231    33.8
20040101 20040131    37.4
20040201 20040229   143.7
20040301 20040331    55.4
20040401 20040430   162.3
20040501 20040531    11.0
20040601 20040630     6.4
20040701 20040731    50.2
20040801 20040831    41.3
20040901 20040930    45.8
20041001 20041031   189.1
20041101 20041130    75.6
20041201 20041231    74.9
20050101 20050131    74.3
20050201 20050228   102.4
20050301 20050331    80.6
20050401 20050430    15.9
20050501 20050531    13.0
20050601 20050630    60.5
20050701 20050731   103.1
20050801 20050831     5.5
20050901 20050930    54.7
20051001 20051031    91.2
20051101 20051130   173.1
20051201 20051231    33.6
20060101 20060131   116.9
20060201 20060228    33.2
20060301 20060331    19.1
20060401 20060430     4.0
20060501 20060531    33.4
20060601 20060630    88.4
20060701 20060731    56.6
20060801 20060831    18.8
20060901 20060930   200.8
20061001 20061031     3.0
20061101 20061130    34.1
20061201 20061231    62.9
20070101 20070131    50.4
20070201 20070228   256.5
20070301 20070331   143.2
20070401 20070430   109.6
20070501 20070531    13.1
20070601 20070630   457.8
20070701 20070731    37.9
20070801 20070831   103.0
20070901 20070930 99999.9
20071001 20071031 99999.9
20071101 20071130 99999.9
20071201 20071231 99999.9
20080101 20080131 99999.9
20080201 20080229 99999.9
20080301 20080331 99999.9
20080401 20080430 99999.9
20080501 20080531 99999.9
20080601 20080630 99999.9
20080701 20080731 99999.9
20080801 20080831 99999.9
20080901 20080930    74.8
20081001 20081031    55.2
20081101 20081130    49.2
20081201 20081231    68.4
20090101 20090131    11.7
20090201 20090228   171.5
20090301 20090331    33.7
20090401 20090430   197.0
20090501 20090531   148.9
20090601 20090630    60.2
20090701 20090731    46.6
20090801 20090831     8.2
20090901 20090930    16.2
20091001 20091031    85.6
20091101 20091130 99999.9
20091201 20091231 99999.9
20100101 20100131    39.8
20100201 20100228 99999.9
20100301 20100331 99999.9
20100401 20100430 99999.9
20100501 20100531 99999.9
20100601 20100630 99999.9
20100701 20100731 99999.9
20100801 20100831 99999.9
20100901 20100930 99999.9
20101001 20101031 99999.9
20101101 20101130 99999.9
20101201 20101231 99999.9
20110101 20110131    43.6
20110201 20110228 99999.9
20110301 20110331 99999.9
20110401 20110430 99999.9
20110501 20110531 99999.9
20110601 20110630 99999.9
20110701 20110731 99999.9
20110801 20110831 99999.9
20110901 20110930 99999.9
20111001 20111031 99999.9
20111101 20111130 99999.9
20111201 20111231 99999.9
20120101 20120131 99999.9
20120201 20120229 99999.9
20120301 20120331 99999.9
20120401 20120430 99999.9
20120501 20120531 99999.9
20120601 20120630 99999.9
20120701 20120731 99999.9
20120801 20120831 99999.9
20120901 20120930 99999.9
20121001 20121031 99999.9
20121101 20121130 99999.9
20121201 20121231 99999.9
20130101 20130131   184.4
